problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP1_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP1_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP1_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP1_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP1_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP1_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP1_BC,raw,auto,meanCoreNearGap,5,0.322838516845181,0.280871350786082,0.0405170596670643,0.0625
DASCMOP1_BC,raw,beta,meanCoreNearGap,5,0.322838516845181,0.310157986986421,0.00459716906134999,0.4375
DASCMOP1_BC,raw,temperature,meanCoreNearGap,5,0.322838516845181,0.320039366623053,0.0027991502221284,0.3125
DASCMOP1_BC,raw,auto,meanECE,5,0.335799707940187,0.302792332372893,0.0338873135215838,0.0625
DASCMOP1_BC,raw,beta,meanECE,5,0.335799707940187,0.286398039121093,0.0517111981166661,0.0625
DASCMOP1_BC,raw,temperature,meanECE,5,0.335799707940187,0.32942060590112,0.000876175034839166,0.4375
DASCMOP2_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP2_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP2_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP2_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP2_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP2_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP2_BC,raw,auto,meanCoreNearGap,5,0.258129134103194,0.237458754397564,0.0166829000978787,0.0625
DASCMOP2_BC,raw,beta,meanCoreNearGap,5,0.258129134103194,0.263456839861487,-0.0117846829972981,0.4375
DASCMOP2_BC,raw,temperature,meanCoreNearGap,5,0.258129134103194,0.257687081239382,0.000372810750175312,0.125
DASCMOP2_BC,raw,auto,meanECE,5,0.254235378474012,0.231815464282578,0.0217210094315289,0.0625
DASCMOP2_BC,raw,beta,meanECE,5,0.254235378474012,0.210811547008817,0.0435600809834184,0.0625
DASCMOP2_BC,raw,temperature,meanECE,5,0.254235378474012,0.253956587770512,0.000203579327472836,0.0625
DASCMOP3_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP3_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP3_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP3_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP3_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP3_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP3_BC,raw,auto,meanCoreNearGap,5,0.240466741696322,0.217683799675404,0.019966793920317,0.125
DASCMOP3_BC,raw,beta,meanCoreNearGap,5,0.240466741696322,0.227457247214439,0.00985438045754292,0.0625
DASCMOP3_BC,raw,temperature,meanCoreNearGap,5,0.240466741696322,0.23846597178091,-0.000194208304889337,0.8125
DASCMOP3_BC,raw,auto,meanECE,5,0.228930017556595,0.200933007365299,0.0280577348683876,0.0625
DASCMOP3_BC,raw,beta,meanECE,5,0.228930017556595,0.191266442268253,0.0341928574262595,0.0625
DASCMOP3_BC,raw,temperature,meanECE,5,0.228930017556595,0.228829330752159,0.000100686804436118,0.4375
DASCMOP4_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP4_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP4_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP4_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP4_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP4_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP4_BC,raw,auto,meanCoreNearGap,5,0.478857142857142,0.468119487153373,0.010791584547564,0.25
DASCMOP4_BC,raw,beta,meanCoreNearGap,5,0.478857142857142,0.467577356177939,0.0113337155229979,0.25
DASCMOP4_BC,raw,temperature,meanCoreNearGap,5,0.478857142857142,0.478857142857142,-0.000225313260401538,0.25
DASCMOP4_BC,raw,auto,meanECE,5,0.469999999999999,0.461428987821787,0.0144061795095591,0.25
DASCMOP4_BC,raw,beta,meanECE,5,0.469999999999999,0.459431016935828,0.0164041503955179,0.25
DASCMOP4_BC,raw,temperature,meanECE,5,0.469999999999999,0.469999999999999,0,1
DASCMOP5_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP5_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP5_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP5_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP5_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP5_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP5_BC,raw,auto,meanCoreNearGap,5,0.487426086679421,0.467472343782636,0.0190736600099256,0.125
DASCMOP5_BC,raw,beta,meanCoreNearGap,5,0.487426086679421,0.45058899569998,0.0222047735480093,0.125
DASCMOP5_BC,raw,temperature,meanCoreNearGap,5,0.487426086679421,0.488019182249948,0,0.875
DASCMOP5_BC,raw,auto,meanECE,5,0.469933833547462,0.446996070659192,0.0225884006850179,0.125
DASCMOP5_BC,raw,beta,meanECE,5,0.469933833547462,0.433718007671923,0.0362158258755387,0.125
DASCMOP5_BC,raw,temperature,meanECE,5,0.469933833547462,0.47060982349474,0.000715538547434891,0.25
DASCMOP6_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP6_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP6_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP6_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP6_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP6_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP6_BC,raw,auto,meanCoreNearGap,5,0.483989272388941,0.463045027835918,0.0183165870776286,0.0625
DASCMOP6_BC,raw,beta,meanCoreNearGap,5,0.483989272388941,0.434121845825254,0.0472397690882926,0.1875
DASCMOP6_BC,raw,temperature,meanCoreNearGap,5,0.483989272388941,0.484538702426698,-8.00756893802879e-05,1
DASCMOP6_BC,raw,auto,meanECE,5,0.471433676116113,0.431354898387757,0.0295266815706099,0.0625
DASCMOP6_BC,raw,beta,meanECE,5,0.471433676116113,0.419120568748848,0.0523131073672643,0.0625
DASCMOP6_BC,raw,temperature,meanECE,5,0.471433676116113,0.470995369192539,-8.37687431967105e-05,1
DASCMOP7_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP7_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP7_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP7_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP7_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP7_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP7_BC,raw,auto,meanCoreNearGap,5,0.479999999999999,0.479999999999999,0,1
DASCMOP7_BC,raw,beta,meanCoreNearGap,5,0.479999999999999,0.479999999999999,0,1
DASCMOP7_BC,raw,temperature,meanCoreNearGap,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP7_BC,raw,auto,meanECE,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP7_BC,raw,beta,meanECE,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP7_BC,raw,temperature,meanECE,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP8_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP8_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP8_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP8_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP8_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP8_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP8_BC,raw,auto,meanCoreNearGap,5,0.481882120436228,0.460663194821194,0.0212189256150337,0.0625
DASCMOP8_BC,raw,beta,meanCoreNearGap,5,0.481882120436228,0.471807916266852,0.0100742041693762,0.1875
