problem,calibratorVariant,run,updateCount,auditReadyUpdateCount,boundaryStarted,meanECE,meanCoreNearGap,TWS,TGP,finalCalibrator,dominantCalibrator
DASCMOP1_BC,auto,1,911,899,1,0.320306861614266,0.273724139536541,0,0,beta,beta
DASCMOP1_BC,auto,2,911,899,1,0.294700677102944,0.282321457178117,0,0,temperature,beta
DASCMOP1_BC,auto,3,911,897,1,0.302792332372893,0.280871350786082,0,0,beta,beta
DASCMOP1_BC,auto,4,911,901,1,0.31354260089742,0.30532808355772,0,0,temperature,temperature
DASCMOP1_BC,auto,5,911,899,1,0.282329066055847,0.277376137677574,0,0,raw,beta
DASCMOP1_BC,beta,1,911,899,1,0.299840523060634,0.340257636314238,0,0,beta,beta
DASCMOP1_BC,beta,2,911,899,1,0.273108114084125,0.312891045457246,0,0,beta,beta
DASCMOP1_BC,beta,3,912,898,1,0.286398039121093,0.309081050713934,0,0,beta,beta
DASCMOP1_BC,beta,4,911,901,1,0.302867098201946,0.302307903925885,0,0,beta,beta
DASCMOP1_BC,beta,5,911,899,1,0.278688288829155,0.310157986986421,0,0,beta,beta
DASCMOP1_BC,raw,1,911,899,1,0.359132058122812,0.32508549363675,0,0,raw,raw
DASCMOP1_BC,raw,2,911,899,1,0.328587990624528,0.322838516845181,0,0,raw,raw
DASCMOP1_BC,raw,3,911,897,1,0.338109237237759,0.313678219775284,0,0,raw,raw
DASCMOP1_BC,raw,4,911,901,1,0.335799707940187,0.354276548654902,0,0,raw,raw
DASCMOP1_BC,raw,5,911,899,1,0.309863229741544,0.31156015718773,0,0,raw,raw
DASCMOP1_BC,temperature,1,911,899,1,0.361533297691883,0.322655609791345,0,0,temperature,temperature
DASCMOP1_BC,temperature,2,911,899,1,0.328248170234732,0.320039366623053,0,0,temperature,temperature
DASCMOP1_BC,temperature,3,911,897,1,0.336156596194538,0.31723860955277,0,0,temperature,temperature
DASCMOP1_BC,temperature,4,911,901,1,0.32942060590112,0.347485893624086,0,0,temperature,temperature
DASCMOP1_BC,temperature,5,911,899,1,0.308987054706705,0.307289664148227,0,0,temperature,temperature
DASCMOP2_BC,auto,1,911,902,1,0.235190325673165,0.236784542905452,0,0,temperature,temperature
