problem,calibratorVariant,queryVariant,run,poolCount,candidateCount,eligibleCount,selectedCount,oracleCount,meanDB,medianDB,QPTau,rhoUtilityNegDB
DASCMOP1_BC,auto,Full,1,897,25664,22166,6974,6974,0.000863302150223209,0.00103132169749846,1,0.2665595710052
DASCMOP1_BC,auto,Full,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,auto,Full,3,896,25867,21684,7066,7066,0.000877503309801457,0.0010223265883552,1,0.231255430410675
DASCMOP1_BC,auto,Full,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,auto,Full,5,898,25955,21796,7037,7037,0.000885084783839004,0.00103881162202256,1,0.262062066562336
DASCMOP1_BC,auto,HighProbBoundary,1,897,25664,22166,6974,6974,0.000739760355686268,0.000875368447996907,1,-0.051732449520516
DASCMOP1_BC,auto,HighProbBoundary,2,898,26177,21828,6931,6931,0.00069762794871499,0.000837125123132838,1,-0.166130965921923
DASCMOP1_BC,auto,HighProbBoundary,3,896,25867,21684,7066,7066,0.000720440604808848,0.000857018552092414,1,-0.020854682894964
DASCMOP1_BC,auto,HighProbBoundary,4,898,24787,16914,6990,6990,0.000760709488023545,0.000865622918180503,1,-0.0195835811776744
DASCMOP1_BC,auto,HighProbBoundary,5,898,25955,21796,7037,7037,0.000745865039487493,0.000870863684021784,1,0.0187158572489517
DASCMOP1_BC,auto,ParetoOnly,1,897,25664,22166,6974,6974,0.000863302150223209,0.00103132169749846,1,0.2665595710052
DASCMOP1_BC,auto,ParetoOnly,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,auto,ParetoOnly,3,896,25867,21684,7066,7066,0.000877503309801457,0.0010223265883552,1,0.231255430410675
DASCMOP1_BC,auto,ParetoOnly,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,auto,ParetoOnly,5,898,25955,21796,7037,7037,0.000885084783839004,0.00103881162202256,1,0.262062066562336
DASCMOP1_BC,auto,RandBoundary,1,897,25664,22166,6974,6974,0.000776272407712045,0.000893682920518529,1,-0.0442766063425153
DASCMOP1_BC,auto,RandBoundary,2,898,26177,21828,6931,6931,0.000733706788974334,0.000870002311249386,1,-0.074864388298367
DASCMOP1_BC,auto,RandBoundary,3,896,25867,21684,7066,7066,0.000769722304211916,0.000892231035858652,1,-0.0119182228909134
DASCMOP1_BC,auto,RandBoundary,4,898,24787,16914,6990,6990,0.000749195271672225,0.000858495956538808,1,-0.0228048307366046
DASCMOP1_BC,auto,RandBoundary,5,898,25955,21796,7037,7037,0.000779711801991331,0.000895700150513741,1,0.00308005154103553
DASCMOP1_BC,auto,UncertainOnly,1,897,25664,22166,6974,6974,0.000726944117213424,0.000847857379254177,1,-0.124853645725089
DASCMOP1_BC,auto,UncertainOnly,2,898,26177,21828,6931,6931,0.000669610628102725,0.000801736836859232,1,-0.156352441176223
DASCMOP1_BC,auto,UncertainOnly,3,896,25867,21684,7066,7066,0.000726481437229529,0.000849152639736892,1,-0.125481282854275
DASCMOP1_BC,auto,UncertainOnly,4,898,24787,16914,6990,6990,0.000752549410998523,0.000860466507112468,1,-0.0547354291641895
DASCMOP1_BC,auto,UncertainOnly,5,898,25955,21796,7037,7037,0.000752229331420013,0.000872509634849236,1,-0.076211033586483
DASCMOP1_BC,beta,Full,1,897,24006,20224,6973,6973,0.000903435768932716,0.00103035373349597,1,0.17968327172849
DASCMOP1_BC,beta,Full,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,beta,Full,3,897,24747,20693,6915,6915,0.000866773464422519,0.00102825455412752,1,0.223565766160282
DASCMOP1_BC,beta,Full,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,beta,Full,5,898,25021,20707,7035,7035,0.000905598596379382,0.00103364222272423,1,0.236929908764538
DASCMOP1_BC,beta,HighProbBoundary,1,897,24006,20224,6973,6973,0.000797542116095007,0.000915617672097345,1,0.0666922982077456
DASCMOP1_BC,beta,HighProbBoundary,2,898,26177,21828,6931,6931,0.00069859912923784,0.000837485806412473,1,0.0762304057932033
DASCMOP1_BC,beta,HighProbBoundary,3,897,24747,20693,6915,6915,0.000757460316646015,0.00087935828583414,1,0.118988110273842
DASCMOP1_BC,beta,HighProbBoundary,4,898,24787,16914,6990,6990,0.000757740056621111,0.00086526853710329,1,0.132918110567452
DASCMOP1_BC,beta,HighProbBoundary,5,898,25021,20707,7035,7035,0.000721436772757653,0.000868299604670013,1,0.219754459418126
DASCMOP1_BC,beta,ParetoOnly,1,897,24006,20224,6973,6973,0.000903435768932716,0.00103035373349597,1,0.17968327172849
DASCMOP1_BC,beta,ParetoOnly,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,beta,ParetoOnly,3,897,24747,20693,6915,6915,0.000866773464422519,0.00102825455412752,1,0.223565766160282
DASCMOP1_BC,beta,ParetoOnly,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,beta,ParetoOnly,5,898,25021,20707,7035,7035,0.000905598596379382,0.00103364222272423,1,0.236929908764538
DASCMOP1_BC,beta,RandBoundary,1,897,24006,20224,6973,6973,0.000798328624018175,0.000908783030133273,1,-0.0448872732163883
DASCMOP1_BC,beta,RandBoundary,2,898,26177,21828,6931,6931,0.0007251746578704,0.000863512394324788,1,-0.00792995631999869
DASCMOP1_BC,beta,RandBoundary,3,897,24747,20693,6915,6915,0.000779088069803269,0.000900413050350404,1,-0.0265326917960404
DASCMOP1_BC,beta,RandBoundary,4,898,24787,16914,6990,6990,0.000749164579675318,0.000858957642855236,1,-0.0100844400602396
DASCMOP1_BC,beta,RandBoundary,5,898,25021,20707,7035,7035,0.000791788085858075,0.000900093338219272,1,0.0125816929571407
DASCMOP1_BC,beta,UncertainOnly,1,897,24006,20224,6973,6973,0.000799836307556569,0.000915467260632502,1,-0.0950235661871199
DASCMOP1_BC,beta,UncertainOnly,2,898,26177,21828,6931,6931,0.000700102234915943,0.000837485806412473,1,-0.0251416840869871
DASCMOP1_BC,beta,UncertainOnly,3,897,24747,20693,6915,6915,0.000757759297807635,0.00087935828583414,1,0.00422708105604343
DASCMOP1_BC,beta,UncertainOnly,4,898,24787,16914,6990,6990,0.000756910954462314,0.000864837530775571,1,-0.0163940389400953
DASCMOP1_BC,beta,UncertainOnly,5,898,25021,20707,7035,7035,0.000728481508670003,0.000869635512697308,1,0.0715935954907306
