calibratorVariant,queryVariant,runCount,meanDB,medianDB,QPTau,rhoUtilityNegDB,selectedCount
auto,Full,185,0.0716081574091111,0.06276457093606792,0.8829087248346571,-0.0264515128654188,3900.3351351351353
auto,HighProbBoundary,185,0.07001211663015756,0.061356292971150236,0.884329223365921,-0.05008413250393898,3900.3351351351353
auto,ParetoOnly,185,0.0716081574091111,0.06276457093606792,0.8829087248346571,-0.026446749827131102,3900.3351351351353
auto,RandBoundary,185,0.07063964487324494,0.06076178336745968,0.8839578421606854,-0.009527212204676255,3900.3351351351353
auto,UncertainOnly,185,0.06968159007215095,0.06097725585724766,0.8845083891393364,0.0074027171030609205,3900.3351351351353
beta,Full,185,0.07281676686951949,0.06335893272073115,0.8817745909708324,-0.029431624101399073,3915.0054054054053
beta,HighProbBoundary,185,0.07087896322493151,0.06052691612924057,0.8834453920658158,0.0049771454776276845,3915.0054054054053
beta,ParetoOnly,185,0.07281676686951949,0.06335893272073115,0.8817745909708324,-0.029424214803673326,3915.0054054054053
beta,RandBoundary,185,0.07188118704726104,0.06128382942418176,0.8829928902732604,-0.009637486098397277,3915.0054054054053
beta,UncertainOnly,185,0.07090008592969776,0.060586258963376105,0.8834552144883039,-0.010738856983553308,3915.0054054054053
raw,Full,185,0.07113306765515308,0.06144903303504163,0.8824418130390762,-0.02789580169187253,3847.1783783783785
raw,HighProbBoundary,185,0.069503334610495,0.0593456801263744,0.8842118026750666,-0.002100716320100831,3847.1783783783785
raw,ParetoOnly,185,0.07113306765515308,0.06144903303504163,0.8824418130390762,-0.02789580169187253,3847.1783783783785
raw,RandBoundary,185,0.07000521553324492,0.0588659449127024,0.8837709000396452,-0.008242932121789347,3847.1783783783785
raw,UncertainOnly,185,0.07087105382239894,0.06124542185766326,0.8834938976866129,-0.014633506358230023,3847.1783783783785
temperature,Full,185,0.07106641471272501,0.06135438066550098,0.882173895688219,-0.033078889044630376,3864.9405405405405
temperature,HighProbBoundary,185,0.06942561548992639,0.0594334509109109,0.8838363915735327,-0.004295612628416857,3864.9405405405405
temperature,ParetoOnly,185,0.07106641471272501,0.06135438066550098,0.882173895688219,-0.033078889044630376,3864.9405405405405
temperature,RandBoundary,185,0.07007992840548986,0.059207423913917034,0.8834172001271065,-0.010611116126172764,3864.9405405405405
temperature,UncertainOnly,185,0.07071719671889783,0.061222906735631036,0.8831634973446398,-0.01705245986640159,3864.9405405405405
