problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP1_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP5_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP6_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP7_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP8_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,beta,meanECE,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,beta,meanCoreNearGap,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,beta,TWS,1,NaN,NaN,NaN,NaN
DASCMOP9_BC,raw,beta,TGP,1,NaN,NaN,NaN,NaN
