problem,calibratorVariant,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP1_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,meanSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,medianSelectionOverlapPareto,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,selectionDiffPoolRate,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,meanDB,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,medianDB,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,QPTau,1,NaN,NaN,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,FullV2,rhoUtilityNegDB,1,NaN,NaN,NaN,NaN
