problem,calibratorVariant,queryVariant,run,poolCount,candidateCount,eligibleCount,selectedCount,oracleAuditEnabled,stopGoReason,stopGoTargetVariant,stopGoBaseVariant,stopGoMedianSelectionOverlapPareto,stopGoSelectionDiffPoolRate,stopGoMedianBoundaryScoreDispersion,oracleCount,meanDB,medianDB,QPTau,rhoUtilityNegDB,overlapPoolCount,meanSelectionOverlapPareto,medianSelectionOverlapPareto,selectionDiffPoolCount,selectionDiffPoolRate,dispersionPoolCount,meanBoundaryScoreDispersion,medianBoundaryScoreDispersion
DASCMOP1_BC,raw,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP1_BC,raw,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP1_BC,beta,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP2_BC,raw,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP2_BC,raw,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP2_BC,beta,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP2_BC,beta,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP3_BC,raw,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP3_BC,raw,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP3_BC,beta,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP3_BC,beta,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP4_BC,raw,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP4_BC,raw,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP4_BC,beta,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP4_BC,beta,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP5_BC,raw,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP5_BC,raw,FullV2,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
DASCMOP5_BC,beta,ParetoOnly,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN
