problem,calibratorVariant,queryVariant,run,generation,FE,budget,candidateCount,eligibleCount,selectedCount,oracleCount,selectionOverlapPareto,selectionDiffersPareto,boundaryScoreDispersion,oracleAuditEnabled,stopGoReason,stopGoTargetVariant,stopGoBaseVariant,stopGoMedianSelectionOverlapPareto,stopGoSelectionDiffPoolRate,stopGoMedianBoundaryScoreDispersion,meanDB,medianDB,QPTau,rhoUtilityNegDB
DASCMOP1_BC,raw,ParetoOnly,1,11,968,3,2,2,2,0,0.666666666666667,0,0.106085073262725,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,11,968,3,2,2,2,0,0.666666666666667,0,0.106085073262725,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,12,1056,3,3,3,3,0,1,0,0.161674686865226,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,12,1056,3,3,3,3,0,1,0,0.161674686865226,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,13,1144,3,3,3,3,0,1,0,0.105026919105742,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,13,1144,3,3,3,3,0,1,0,0.105026919105742,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,14,1232,3,4,4,3,0,1,0,0.0353033758473739,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,14,1232,3,4,4,3,0,0.666666666666667,1,0.0353033758473739,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,15,1320,3,6,6,3,0,1,0,0.035610308853586,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,15,1320,3,6,6,3,0,1,0,0.035610308853586,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,16,1408,3,6,6,3,0,1,0,0.0197938642423506,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,16,1408,3,6,6,3,0,1,0,0.0197938642423506,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,17,1496,3,6,5,3,0,1,0,0.0590468346853281,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,17,1496,3,6,5,3,0,1,0,0.0590468346853281,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,18,1584,3,8,8,3,0,1,0,0.0391111579961622,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,18,1584,3,8,8,3,0,0.666666666666667,1,0.0391111579961622,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,19,1672,3,6,6,3,0,1,0,0.0816098615425609,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,19,1672,3,6,6,3,0,1,0,0.0816098615425609,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,20,1760,3,5,5,3,0,1,0,0.055695788292623,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,20,1760,3,5,5,3,0,1,0,0.055695788292623,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,21,1848,3,4,4,3,0,1,0,0.131993291638321,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,21,1848,3,4,4,3,0,1,0,0.131993291638321,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,ParetoOnly,1,22,1936,3,3,3,3,0,1,0,0.00296147484257592,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,raw,FullSoftTrust,1,22,1936,3,3,3,3,0,1,0,0.00296147484257592,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,1,11,968,3,2,2,2,0,0.666666666666667,0,0.106085073262725,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,FullSoftTrust,1,11,968,3,2,2,2,0,0.666666666666667,0,0.106085073262725,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,1,12,1056,3,3,3,3,0,1,0,0.161674686865226,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,FullSoftTrust,1,12,1056,3,3,3,3,0,1,0,0.161674686865226,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,1,13,1144,3,3,3,3,0,1,0,0.105026919105742,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,FullSoftTrust,1,13,1144,3,3,3,3,0,1,0,0.105026919105742,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,1,14,1232,3,4,4,3,0,1,0,0.0353033758473739,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,FullSoftTrust,1,14,1232,3,4,4,3,0,0.666666666666667,1,0.0353033758473739,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
DASCMOP1_BC,beta,ParetoOnly,1,15,1320,3,6,6,3,0,1,0,0.035610308853586,0,overlap_collapsed,FullSoftTrust,ParetoOnly,1,0.166666666666667,0.0573713114889755,NaN,NaN,NaN,NaN
