problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP7_BC,2,stable_no_side,50000,0.01,38,38,0,0
LIRCMOP7_BC,2,stable_no_side,51000,0.01,38,41,1,1
LIRCMOP7_BC,2,stable_no_side,52000,0.01,38,44,2,2
LIRCMOP7_BC,2,stable_no_side,53000,0.01,38,49,5,4
LIRCMOP7_BC,2,stable_no_side,54000,0.01,38,49,6,5
LIRCMOP7_BC,2,stable_no_side,55000,0.01,38,51,7,6
LIRCMOP7_BC,2,stable_no_side,56000,0.01,38,50,10,9
LIRCMOP7_BC,2,stable_no_side,57000,0.01,38,52,13,11
LIRCMOP7_BC,2,stable_no_side,58000,0.01,38,52,14,12
LIRCMOP7_BC,2,stable_no_side,59000,0.01,38,52,15,14
LIRCMOP7_BC,2,stable_no_side,60000,0.01,38,54,16,15
LIRCMOP7_BC,2,stable_no_side,61000,0.01,38,54,18,17
LIRCMOP7_BC,2,stable_no_side,62000,0.01,38,57,18,17
LIRCMOP7_BC,2,stable_no_side,63000,0.01,38,64,22,20
LIRCMOP7_BC,2,stable_no_side,64000,0.01,38,69,25,22
LIRCMOP7_BC,2,stable_no_side,65000,0.01,38,68,26,21
LIRCMOP7_BC,2,stable_no_side,66000,0.01,38,65,25,21
LIRCMOP7_BC,2,stable_no_side,67000,0.01,38,70,26,23
LIRCMOP7_BC,2,stable_no_side,68000,0.01,38,70,25,21
LIRCMOP7_BC,2,stable_no_side,69000,0.01,38,71,25,22
LIRCMOP7_BC,2,stable_no_side,70000,0.01,38,72,28,22
LIRCMOP7_BC,2,stable_no_side,71000,0.01,38,78,32,25
LIRCMOP7_BC,2,stable_no_side,72000,0.01,38,79,32,26
LIRCMOP7_BC,2,stable_no_side,73000,0.01,38,83,33,27
LIRCMOP7_BC,2,stable_no_side,74000,0.01,38,85,36,29
LIRCMOP7_BC,2,stable_no_side,75000,0.01,38,90,40,33
LIRCMOP7_BC,2,stable_no_side,76000,0.01,38,93,40,34
LIRCMOP7_BC,2,stable_no_side,77000,0.01,38,90,41,34
LIRCMOP7_BC,2,stable_no_side,78000,0.01,38,88,39,32
LIRCMOP7_BC,2,stable_no_side,79000,0.01,38,87,39,33
LIRCMOP7_BC,2,stable_no_side,80000,0.01,38,85,41,34
LIRCMOP7_BC,2,stable_no_side,81000,0.01,38,85,40,33
LIRCMOP7_BC,2,stable_no_side,82000,0.01,38,85,39,33
LIRCMOP7_BC,2,stable_no_side,83000,0.01,38,88,41,34
LIRCMOP7_BC,2,stable_no_side,84000,0.01,38,87,42,34
LIRCMOP7_BC,2,stable_no_side,85000,0.01,38,87,43,36
LIRCMOP7_BC,2,stable_no_side,86000,0.01,38,85,43,37
LIRCMOP7_BC,2,stable_no_side,87000,0.01,38,89,45,38
LIRCMOP7_BC,2,stable_no_side,88000,0.01,38,92,46,38
LIRCMOP7_BC,2,stable_no_side,89000,0.01,38,93,48,39
LIRCMOP7_BC,2,stable_no_side,90000,0.01,38,98,51,40
LIRCMOP7_BC,2,stable_no_side,91000,0.01,38,100,54,42
LIRCMOP7_BC,2,stable_no_side,92000,0.01,38,98,53,42
LIRCMOP7_BC,2,stable_no_side,93000,0.01,38,100,55,43
LIRCMOP7_BC,2,stable_no_side,94000,0.01,38,99,52,40
