problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP7_BC,3,pair_only,50000,0.01,450,450,0,0
LIRCMOP7_BC,3,pair_only,51000,0.01,450,457,2,1
LIRCMOP7_BC,3,pair_only,52000,0.01,450,462,4,2
LIRCMOP7_BC,3,pair_only,53000,0.01,450,465,6,4
LIRCMOP7_BC,3,pair_only,54000,0.01,450,472,6,4
LIRCMOP7_BC,3,pair_only,55000,0.01,450,474,9,5
LIRCMOP7_BC,3,pair_only,56000,0.01,450,481,11,6
LIRCMOP7_BC,3,pair_only,57000,0.01,450,475,10,5
LIRCMOP7_BC,3,pair_only,58000,0.01,450,475,14,6
LIRCMOP7_BC,3,pair_only,59000,0.01,450,473,15,6
LIRCMOP7_BC,3,pair_only,60000,0.01,450,477,15,6
LIRCMOP7_BC,3,pair_only,61000,0.01,450,482,19,9
LIRCMOP7_BC,3,pair_only,62000,0.01,450,482,20,10
LIRCMOP7_BC,3,pair_only,63000,0.01,450,483,22,9
LIRCMOP7_BC,3,pair_only,64000,0.01,450,484,22,9
LIRCMOP7_BC,3,pair_only,65000,0.01,450,479,23,9
LIRCMOP7_BC,3,pair_only,66000,0.01,450,473,23,9
LIRCMOP7_BC,3,pair_only,67000,0.01,450,470,22,10
LIRCMOP7_BC,3,pair_only,68000,0.01,450,477,27,13
LIRCMOP7_BC,3,pair_only,69000,0.01,450,470,27,13
LIRCMOP7_BC,3,pair_only,70000,0.01,450,469,29,14
LIRCMOP7_BC,3,pair_only,71000,0.01,450,463,29,14
LIRCMOP7_BC,3,pair_only,72000,0.01,450,459,32,16
LIRCMOP7_BC,3,pair_only,73000,0.01,450,460,34,14
LIRCMOP7_BC,3,pair_only,74000,0.01,450,460,30,12
LIRCMOP7_BC,3,pair_only,75000,0.01,450,456,34,17
LIRCMOP7_BC,3,pair_only,76000,0.01,450,463,38,20
LIRCMOP7_BC,3,pair_only,77000,0.01,450,462,38,21
LIRCMOP7_BC,3,pair_only,78000,0.01,450,457,36,19
LIRCMOP7_BC,3,pair_only,79000,0.01,450,464,40,22
LIRCMOP7_BC,3,pair_only,80000,0.01,450,474,41,23
LIRCMOP7_BC,3,pair_only,81000,0.01,450,480,44,24
LIRCMOP7_BC,3,pair_only,82000,0.01,450,478,44,23
LIRCMOP7_BC,3,pair_only,83000,0.01,450,474,44,21
LIRCMOP7_BC,3,pair_only,84000,0.01,450,475,45,22
LIRCMOP7_BC,3,pair_only,85000,0.01,450,473,44,22
LIRCMOP7_BC,3,pair_only,86000,0.01,450,466,49,26
LIRCMOP7_BC,3,pair_only,87000,0.01,450,461,51,29
LIRCMOP7_BC,3,pair_only,88000,0.01,450,464,50,27
LIRCMOP7_BC,3,pair_only,89000,0.01,450,475,50,27
LIRCMOP7_BC,3,pair_only,90000,0.01,450,476,50,27
LIRCMOP7_BC,3,pair_only,91000,0.01,450,460,49,29
LIRCMOP7_BC,3,pair_only,92000,0.01,450,466,51,30
LIRCMOP7_BC,3,pair_only,93000,0.01,450,462,53,30
LIRCMOP7_BC,3,pair_only,94000,0.01,450,461,53,29
LIRCMOP7_BC,3,pair_only,95000,0.01,450,471,56,31
LIRCMOP7_BC,3,pair_only,96000,0.01,450,464,54,30
LIRCMOP7_BC,3,pair_only,97000,0.01,450,474,54,30
LIRCMOP7_BC,3,pair_only,98000,0.01,450,471,55,31
LIRCMOP7_BC,3,pair_only,99000,0.01,450,464,57,32
LIRCMOP7_BC,3,pair_only,100000,0.01,450,464,58,32
LIRCMOP7_BC,3,pair_only,50000,0.02,476,476,0,0
LIRCMOP7_BC,3,pair_only,51000,0.02,476,480,2,0
LIRCMOP7_BC,3,pair_only,52000,0.02,476,483,3,1
LIRCMOP7_BC,3,pair_only,53000,0.02,476,485,4,2
LIRCMOP7_BC,3,pair_only,54000,0.02,476,488,4,2
LIRCMOP7_BC,3,pair_only,55000,0.02,476,483,6,2
LIRCMOP7_BC,3,pair_only,56000,0.02,476,488,8,3
LIRCMOP7_BC,3,pair_only,57000,0.02,476,481,8,2
LIRCMOP7_BC,3,pair_only,58000,0.02,476,483,11,3
LIRCMOP7_BC,3,pair_only,59000,0.02,476,483,11,3
LIRCMOP7_BC,3,pair_only,60000,0.02,476,486,12,3
LIRCMOP7_BC,3,pair_only,61000,0.02,476,492,15,6
LIRCMOP7_BC,3,pair_only,62000,0.02,476,491,15,5
LIRCMOP7_BC,3,pair_only,63000,0.02,476,492,16,5
LIRCMOP7_BC,3,pair_only,64000,0.02,476,494,17,5
LIRCMOP7_BC,3,pair_only,65000,0.02,476,491,18,4
LIRCMOP7_BC,3,pair_only,66000,0.02,476,486,20,7
LIRCMOP7_BC,3,pair_only,67000,0.02,476,483,18,7
LIRCMOP7_BC,3,pair_only,68000,0.02,476,487,21,10
LIRCMOP7_BC,3,pair_only,69000,0.02,476,480,21,10
LIRCMOP7_BC,3,pair_only,70000,0.02,476,478,21,11
LIRCMOP7_BC,3,pair_only,71000,0.02,476,481,25,11
LIRCMOP7_BC,3,pair_only,72000,0.02,476,478,25,12
LIRCMOP7_BC,3,pair_only,73000,0.02,476,479,26,11
LIRCMOP7_BC,3,pair_only,74000,0.02,476,474,23,9
LIRCMOP7_BC,3,pair_only,75000,0.02,476,474,27,13
LIRCMOP7_BC,3,pair_only,76000,0.02,476,476,29,14
LIRCMOP7_BC,3,pair_only,77000,0.02,476,476,29,15
LIRCMOP7_BC,3,pair_only,78000,0.02,476,471,28,15
LIRCMOP7_BC,3,pair_only,79000,0.02,476,479,30,16
LIRCMOP7_BC,3,pair_only,80000,0.02,476,492,32,18
LIRCMOP7_BC,3,pair_only,81000,0.02,476,489,31,17
LIRCMOP7_BC,3,pair_only,82000,0.02,476,486,31,16
LIRCMOP7_BC,3,pair_only,83000,0.02,476,485,31,14
LIRCMOP7_BC,3,pair_only,84000,0.02,476,486,32,16
LIRCMOP7_BC,3,pair_only,85000,0.02,476,484,32,17
