problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP6_BC,13,pair_only,50000,0.01,118,118,0,0
LIRCMOP6_BC,13,pair_only,51000,0.01,118,43,0,0
LIRCMOP6_BC,13,pair_only,52000,0.01,118,59,0,0
LIRCMOP6_BC,13,pair_only,53000,0.01,118,109,0,0
LIRCMOP6_BC,13,pair_only,54000,0.01,118,7,1,1
LIRCMOP6_BC,13,pair_only,55000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,56000,0.01,118,4,2,2
LIRCMOP6_BC,13,pair_only,57000,0.01,118,39,4,4
LIRCMOP6_BC,13,pair_only,58000,0.01,118,75,3,3
LIRCMOP6_BC,13,pair_only,59000,0.01,118,125,2,2
LIRCMOP6_BC,13,pair_only,60000,0.01,118,161,2,2
LIRCMOP6_BC,13,pair_only,61000,0.01,118,196,2,2
LIRCMOP6_BC,13,pair_only,62000,0.01,118,177,2,2
LIRCMOP6_BC,13,pair_only,63000,0.01,118,224,2,2
LIRCMOP6_BC,13,pair_only,64000,0.01,118,313,3,3
LIRCMOP6_BC,13,pair_only,65000,0.01,118,323,3,3
LIRCMOP6_BC,13,pair_only,66000,0.01,118,312,3,3
LIRCMOP6_BC,13,pair_only,67000,0.01,118,368,3,3
LIRCMOP6_BC,13,pair_only,68000,0.01,118,361,3,3
LIRCMOP6_BC,13,pair_only,69000,0.01,118,297,3,3
LIRCMOP6_BC,13,pair_only,70000,0.01,118,198,3,3
LIRCMOP6_BC,13,pair_only,71000,0.01,118,135,1,1
LIRCMOP6_BC,13,pair_only,72000,0.01,118,102,2,2
LIRCMOP6_BC,13,pair_only,73000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,74000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,75000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,76000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,77000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,78000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,79000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,80000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,81000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,82000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,83000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,84000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,85000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,86000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,87000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,88000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,89000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,90000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,91000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,92000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,93000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,94000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,95000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,96000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,97000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,98000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,99000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,100000,0.01,118,0,0,0
LIRCMOP6_BC,13,pair_only,50000,0.02,121,121,0,0
LIRCMOP6_BC,13,pair_only,51000,0.02,121,55,0,0
LIRCMOP6_BC,13,pair_only,52000,0.02,121,65,0,0
LIRCMOP6_BC,13,pair_only,53000,0.02,121,133,0,0
LIRCMOP6_BC,13,pair_only,54000,0.02,121,27,0,0
LIRCMOP6_BC,13,pair_only,55000,0.02,121,3,1,1
LIRCMOP6_BC,13,pair_only,56000,0.02,121,10,2,2
LIRCMOP6_BC,13,pair_only,57000,0.02,121,55,3,3
LIRCMOP6_BC,13,pair_only,58000,0.02,121,89,3,3
LIRCMOP6_BC,13,pair_only,59000,0.02,121,146,2,2
LIRCMOP6_BC,13,pair_only,60000,0.02,121,197,2,2
LIRCMOP6_BC,13,pair_only,61000,0.02,121,250,2,2
LIRCMOP6_BC,13,pair_only,62000,0.02,121,237,3,3
LIRCMOP6_BC,13,pair_only,63000,0.02,121,288,3,3
LIRCMOP6_BC,13,pair_only,64000,0.02,121,402,3,3
LIRCMOP6_BC,13,pair_only,65000,0.02,121,433,3,3
LIRCMOP6_BC,13,pair_only,66000,0.02,121,433,3,3
LIRCMOP6_BC,13,pair_only,67000,0.02,121,454,4,4
LIRCMOP6_BC,13,pair_only,68000,0.02,121,458,4,4
LIRCMOP6_BC,13,pair_only,69000,0.02,121,372,3,3
LIRCMOP6_BC,13,pair_only,70000,0.02,121,246,2,2
LIRCMOP6_BC,13,pair_only,71000,0.02,121,143,2,2
LIRCMOP6_BC,13,pair_only,72000,0.02,121,128,2,2
LIRCMOP6_BC,13,pair_only,73000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,74000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,75000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,76000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,77000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,78000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,79000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,80000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,81000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,82000,0.02,121,4,1,1
LIRCMOP6_BC,13,pair_only,83000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,84000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,85000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,86000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,87000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,88000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,89000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,90000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,91000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,92000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,93000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,94000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,95000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,96000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,97000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,98000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,99000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,100000,0.02,121,0,0,0
LIRCMOP6_BC,13,pair_only,50000,0.04,121,121,0,0
LIRCMOP6_BC,13,pair_only,51000,0.04,121,87,0,0
LIRCMOP6_BC,13,pair_only,52000,0.04,121,95,0,0
LIRCMOP6_BC,13,pair_only,53000,0.04,121,175,0,0
LIRCMOP6_BC,13,pair_only,54000,0.04,121,45,0,0
LIRCMOP6_BC,13,pair_only,55000,0.04,121,7,0,0
LIRCMOP6_BC,13,pair_only,56000,0.04,121,17,2,2
LIRCMOP6_BC,13,pair_only,57000,0.04,121,62,3,3
LIRCMOP6_BC,13,pair_only,58000,0.04,121,93,3,3
LIRCMOP6_BC,13,pair_only,59000,0.04,121,155,2,2
LIRCMOP6_BC,13,pair_only,60000,0.04,121,213,2,2
LIRCMOP6_BC,13,pair_only,61000,0.04,121,281,2,2
LIRCMOP6_BC,13,pair_only,62000,0.04,121,264,2,2
LIRCMOP6_BC,13,pair_only,63000,0.04,121,329,2,2
LIRCMOP6_BC,13,pair_only,64000,0.04,121,441,2,2
LIRCMOP6_BC,13,pair_only,65000,0.04,121,500,2,2
LIRCMOP6_BC,13,pair_only,66000,0.04,121,500,2,2
LIRCMOP6_BC,13,pair_only,67000,0.04,121,500,2,2
LIRCMOP6_BC,13,pair_only,68000,0.04,121,500,2,2
LIRCMOP6_BC,13,pair_only,69000,0.04,121,391,2,2
LIRCMOP6_BC,13,pair_only,70000,0.04,121,263,2,2
LIRCMOP6_BC,13,pair_only,71000,0.04,121,171,1,1
LIRCMOP6_BC,13,pair_only,72000,0.04,121,152,1,1
LIRCMOP6_BC,13,pair_only,73000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,74000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,75000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,76000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,77000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,78000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,79000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,80000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,81000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,82000,0.04,121,7,1,1
LIRCMOP6_BC,13,pair_only,83000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,84000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,85000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,86000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,87000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,88000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,89000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,90000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,91000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,92000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,93000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,94000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,95000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,96000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,97000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,98000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,99000,0.04,121,0,0,0
LIRCMOP6_BC,13,pair_only,100000,0.04,121,0,0,0
