problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP7_BC,12,stable_no_side,50000,0.01,17,17,0,0
LIRCMOP7_BC,12,stable_no_side,51000,0.01,17,21,5,5
LIRCMOP7_BC,12,stable_no_side,52000,0.01,17,22,6,6
LIRCMOP7_BC,12,stable_no_side,53000,0.01,17,24,6,5
LIRCMOP7_BC,12,stable_no_side,54000,0.01,17,25,7,6
LIRCMOP7_BC,12,stable_no_side,55000,0.01,17,26,10,8
LIRCMOP7_BC,12,stable_no_side,56000,0.01,17,26,10,8
LIRCMOP7_BC,12,stable_no_side,57000,0.01,17,26,9,7
LIRCMOP7_BC,12,stable_no_side,58000,0.01,17,27,9,7
LIRCMOP7_BC,12,stable_no_side,59000,0.01,17,27,9,7
LIRCMOP7_BC,12,stable_no_side,60000,0.01,17,27,9,7
LIRCMOP7_BC,12,stable_no_side,61000,0.01,17,27,9,7
LIRCMOP7_BC,12,stable_no_side,62000,0.01,17,28,10,8
LIRCMOP7_BC,12,stable_no_side,63000,0.01,17,27,10,8
LIRCMOP7_BC,12,stable_no_side,64000,0.01,17,28,10,8
LIRCMOP7_BC,12,stable_no_side,65000,0.01,17,28,10,8
LIRCMOP7_BC,12,stable_no_side,66000,0.01,17,29,10,8
LIRCMOP7_BC,12,stable_no_side,67000,0.01,17,27,9,7
LIRCMOP7_BC,12,stable_no_side,68000,0.01,17,26,9,7
LIRCMOP7_BC,12,stable_no_side,69000,0.01,17,25,9,7
LIRCMOP7_BC,12,stable_no_side,70000,0.01,17,24,9,7
LIRCMOP7_BC,12,stable_no_side,71000,0.01,17,25,9,7
LIRCMOP7_BC,12,stable_no_side,72000,0.01,17,25,8,7
LIRCMOP7_BC,12,stable_no_side,73000,0.01,17,24,9,8
LIRCMOP7_BC,12,stable_no_side,74000,0.01,17,25,10,9
LIRCMOP7_BC,12,stable_no_side,75000,0.01,17,25,9,8
LIRCMOP7_BC,12,stable_no_side,76000,0.01,17,28,12,11
LIRCMOP7_BC,12,stable_no_side,77000,0.01,17,29,13,12
LIRCMOP7_BC,12,stable_no_side,78000,0.01,17,27,12,11
LIRCMOP7_BC,12,stable_no_side,79000,0.01,17,26,12,11
LIRCMOP7_BC,12,stable_no_side,80000,0.01,17,25,12,11
LIRCMOP7_BC,12,stable_no_side,81000,0.01,17,26,13,12
LIRCMOP7_BC,12,stable_no_side,82000,0.01,17,24,12,11
LIRCMOP7_BC,12,stable_no_side,83000,0.01,17,25,13,12
LIRCMOP7_BC,12,stable_no_side,84000,0.01,17,28,15,14
LIRCMOP7_BC,12,stable_no_side,85000,0.01,17,29,15,14
LIRCMOP7_BC,12,stable_no_side,86000,0.01,17,36,18,16
LIRCMOP7_BC,12,stable_no_side,87000,0.01,17,43,20,18
LIRCMOP7_BC,12,stable_no_side,88000,0.01,17,43,24,21
LIRCMOP7_BC,12,stable_no_side,89000,0.01,17,46,23,20
LIRCMOP7_BC,12,stable_no_side,90000,0.01,17,33,19,16
LIRCMOP7_BC,12,stable_no_side,91000,0.01,17,35,20,17
LIRCMOP7_BC,12,stable_no_side,92000,0.01,17,36,19,15
LIRCMOP7_BC,12,stable_no_side,93000,0.01,17,39,21,16
LIRCMOP7_BC,12,stable_no_side,94000,0.01,17,39,21,16
LIRCMOP7_BC,12,stable_no_side,95000,0.01,17,40,22,17
LIRCMOP7_BC,12,stable_no_side,96000,0.01,17,42,22,17
LIRCMOP7_BC,12,stable_no_side,97000,0.01,17,44,22,16
LIRCMOP7_BC,12,stable_no_side,98000,0.01,17,44,22,16
LIRCMOP7_BC,12,stable_no_side,99000,0.01,17,47,22,16
LIRCMOP7_BC,12,stable_no_side,100000,0.01,17,45,20,16
LIRCMOP7_BC,12,stable_no_side,50000,0.02,102,102,0,0
LIRCMOP7_BC,12,stable_no_side,51000,0.02,102,105,1,1
LIRCMOP7_BC,12,stable_no_side,52000,0.02,102,105,4,4
LIRCMOP7_BC,12,stable_no_side,53000,0.02,102,109,5,5
LIRCMOP7_BC,12,stable_no_side,54000,0.02,102,114,6,6
LIRCMOP7_BC,12,stable_no_side,55000,0.02,102,119,8,7
LIRCMOP7_BC,12,stable_no_side,56000,0.02,102,117,11,10
LIRCMOP7_BC,12,stable_no_side,57000,0.02,102,116,11,10
LIRCMOP7_BC,12,stable_no_side,58000,0.02,102,116,12,11
LIRCMOP7_BC,12,stable_no_side,59000,0.02,102,113,11,10
LIRCMOP7_BC,12,stable_no_side,60000,0.02,102,109,11,10
LIRCMOP7_BC,12,stable_no_side,61000,0.02,102,111,11,10
LIRCMOP7_BC,12,stable_no_side,62000,0.02,102,111,11,10
LIRCMOP7_BC,12,stable_no_side,63000,0.02,102,109,12,11
LIRCMOP7_BC,12,stable_no_side,64000,0.02,102,110,14,13
LIRCMOP7_BC,12,stable_no_side,65000,0.02,102,110,14,13
LIRCMOP7_BC,12,stable_no_side,66000,0.02,102,114,16,14
LIRCMOP7_BC,12,stable_no_side,67000,0.02,102,111,17,15
LIRCMOP7_BC,12,stable_no_side,68000,0.02,102,109,17,14
LIRCMOP7_BC,12,stable_no_side,69000,0.02,102,107,16,13
LIRCMOP7_BC,12,stable_no_side,70000,0.02,102,97,14,11
LIRCMOP7_BC,12,stable_no_side,71000,0.02,102,101,16,12
LIRCMOP7_BC,12,stable_no_side,72000,0.02,102,103,16,11
LIRCMOP7_BC,12,stable_no_side,73000,0.02,102,102,17,12
LIRCMOP7_BC,12,stable_no_side,74000,0.02,102,105,19,14
LIRCMOP7_BC,12,stable_no_side,75000,0.02,102,105,19,14
LIRCMOP7_BC,12,stable_no_side,76000,0.02,102,108,23,18
LIRCMOP7_BC,12,stable_no_side,77000,0.02,102,109,24,20
LIRCMOP7_BC,12,stable_no_side,78000,0.02,102,110,24,21
LIRCMOP7_BC,12,stable_no_side,79000,0.02,102,109,26,23
LIRCMOP7_BC,12,stable_no_side,80000,0.02,102,107,25,21
LIRCMOP7_BC,12,stable_no_side,81000,0.02,102,109,27,23
LIRCMOP7_BC,12,stable_no_side,82000,0.02,102,111,30,26
LIRCMOP7_BC,12,stable_no_side,83000,0.02,102,114,30,26
LIRCMOP7_BC,12,stable_no_side,84000,0.02,102,116,30,26
LIRCMOP7_BC,12,stable_no_side,85000,0.02,102,116,31,26
LIRCMOP7_BC,12,stable_no_side,86000,0.02,102,127,32,27
LIRCMOP7_BC,12,stable_no_side,87000,0.02,102,136,35,29
LIRCMOP7_BC,12,stable_no_side,88000,0.02,102,132,38,32
LIRCMOP7_BC,12,stable_no_side,89000,0.02,102,138,38,32
LIRCMOP7_BC,12,stable_no_side,90000,0.02,102,130,39,33
LIRCMOP7_BC,12,stable_no_side,91000,0.02,102,134,39,32
LIRCMOP7_BC,12,stable_no_side,92000,0.02,102,139,40,33
LIRCMOP7_BC,12,stable_no_side,93000,0.02,102,141,40,31
LIRCMOP7_BC,12,stable_no_side,94000,0.02,102,142,40,29
LIRCMOP7_BC,12,stable_no_side,95000,0.02,102,146,42,31
LIRCMOP7_BC,12,stable_no_side,96000,0.02,102,147,43,33
LIRCMOP7_BC,12,stable_no_side,97000,0.02,102,148,42,33
LIRCMOP7_BC,12,stable_no_side,98000,0.02,102,147,41,32
LIRCMOP7_BC,12,stable_no_side,99000,0.02,102,147,41,33
LIRCMOP7_BC,12,stable_no_side,100000,0.02,102,150,41,33
LIRCMOP7_BC,12,stable_no_side,50000,0.04,348,348,0,0
LIRCMOP7_BC,12,stable_no_side,51000,0.04,348,345,1,1
LIRCMOP7_BC,12,stable_no_side,52000,0.04,348,346,3,3
LIRCMOP7_BC,12,stable_no_side,53000,0.04,348,346,3,3
LIRCMOP7_BC,12,stable_no_side,54000,0.04,348,347,3,3
LIRCMOP7_BC,12,stable_no_side,55000,0.04,348,340,5,4
LIRCMOP7_BC,12,stable_no_side,56000,0.04,348,341,7,6
LIRCMOP7_BC,12,stable_no_side,57000,0.04,348,334,10,8
LIRCMOP7_BC,12,stable_no_side,58000,0.04,348,326,12,10
LIRCMOP7_BC,12,stable_no_side,59000,0.04,348,326,11,9
LIRCMOP7_BC,12,stable_no_side,60000,0.04,348,326,11,9
LIRCMOP7_BC,12,stable_no_side,61000,0.04,348,327,12,10
LIRCMOP7_BC,12,stable_no_side,62000,0.04,348,331,11,9
LIRCMOP7_BC,12,stable_no_side,63000,0.04,348,324,15,12
LIRCMOP7_BC,12,stable_no_side,64000,0.04,348,331,17,13
LIRCMOP7_BC,12,stable_no_side,65000,0.04,348,327,17,12
LIRCMOP7_BC,12,stable_no_side,66000,0.04,348,328,17,12
LIRCMOP7_BC,12,stable_no_side,67000,0.04,348,321,18,13
LIRCMOP7_BC,12,stable_no_side,68000,0.04,348,324,19,15
LIRCMOP7_BC,12,stable_no_side,69000,0.04,348,327,19,14
LIRCMOP7_BC,12,stable_no_side,70000,0.04,348,312,19,15
LIRCMOP7_BC,12,stable_no_side,71000,0.04,348,320,20,14
LIRCMOP7_BC,12,stable_no_side,72000,0.04,348,320,20,14
LIRCMOP7_BC,12,stable_no_side,73000,0.04,348,316,19,13
LIRCMOP7_BC,12,stable_no_side,74000,0.04,348,317,21,15
LIRCMOP7_BC,12,stable_no_side,75000,0.04,348,318,22,16
LIRCMOP7_BC,12,stable_no_side,76000,0.04,348,322,22,16
LIRCMOP7_BC,12,stable_no_side,77000,0.04,348,326,22,16
LIRCMOP7_BC,12,stable_no_side,78000,0.04,348,324,22,17
LIRCMOP7_BC,12,stable_no_side,79000,0.04,348,311,22,17
LIRCMOP7_BC,12,stable_no_side,80000,0.04,348,297,22,18
LIRCMOP7_BC,12,stable_no_side,81000,0.04,348,292,26,21
LIRCMOP7_BC,12,stable_no_side,82000,0.04,348,300,26,21
LIRCMOP7_BC,12,stable_no_side,83000,0.04,348,310,28,22
LIRCMOP7_BC,12,stable_no_side,84000,0.04,348,313,26,20
LIRCMOP7_BC,12,stable_no_side,85000,0.04,348,326,28,21
LIRCMOP7_BC,12,stable_no_side,86000,0.04,348,321,28,21
LIRCMOP7_BC,12,stable_no_side,87000,0.04,348,329,28,21
LIRCMOP7_BC,12,stable_no_side,88000,0.04,348,332,30,22
LIRCMOP7_BC,12,stable_no_side,89000,0.04,348,333,32,24
LIRCMOP7_BC,12,stable_no_side,90000,0.04,348,325,32,24
LIRCMOP7_BC,12,stable_no_side,91000,0.04,348,324,33,25
LIRCMOP7_BC,12,stable_no_side,92000,0.04,348,331,32,25
LIRCMOP7_BC,12,stable_no_side,93000,0.04,348,327,33,26
LIRCMOP7_BC,12,stable_no_side,94000,0.04,348,327,35,27
LIRCMOP7_BC,12,stable_no_side,95000,0.04,348,331,36,28
LIRCMOP7_BC,12,stable_no_side,96000,0.04,348,337,36,28
LIRCMOP7_BC,12,stable_no_side,97000,0.04,348,338,39,31
LIRCMOP7_BC,12,stable_no_side,98000,0.04,348,333,36,29
LIRCMOP7_BC,12,stable_no_side,99000,0.04,348,332,34,27
LIRCMOP7_BC,12,stable_no_side,100000,0.04,348,336,35,27
