problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP8_BC,14,original,50000,0.01,28,28,0,0
LIRCMOP8_BC,14,original,51000,0.01,28,26,0,0
LIRCMOP8_BC,14,original,52000,0.01,28,25,3,2
LIRCMOP8_BC,14,original,53000,0.01,28,24,3,2
LIRCMOP8_BC,14,original,54000,0.01,28,24,3,2
LIRCMOP8_BC,14,original,55000,0.01,28,25,3,2
LIRCMOP8_BC,14,original,56000,0.01,28,26,4,3
LIRCMOP8_BC,14,original,57000,0.01,28,23,4,3
LIRCMOP8_BC,14,original,58000,0.01,28,26,5,3
LIRCMOP8_BC,14,original,59000,0.01,28,29,6,4
LIRCMOP8_BC,14,original,60000,0.01,28,27,6,3
LIRCMOP8_BC,14,original,61000,0.01,28,31,9,6
LIRCMOP8_BC,14,original,62000,0.01,28,33,10,7
LIRCMOP8_BC,14,original,63000,0.01,28,33,10,7
LIRCMOP8_BC,14,original,64000,0.01,28,33,10,7
LIRCMOP8_BC,14,original,65000,0.01,28,29,8,6
LIRCMOP8_BC,14,original,66000,0.01,28,29,8,6
LIRCMOP8_BC,14,original,67000,0.01,28,29,8,6
LIRCMOP8_BC,14,original,68000,0.01,28,29,8,6
LIRCMOP8_BC,14,original,69000,0.01,28,29,8,6
LIRCMOP8_BC,14,original,70000,0.01,28,30,8,5
LIRCMOP8_BC,14,original,71000,0.01,28,30,8,5
LIRCMOP8_BC,14,original,72000,0.01,28,32,10,7
LIRCMOP8_BC,14,original,73000,0.01,28,33,10,7
LIRCMOP8_BC,14,original,74000,0.01,28,30,9,7
LIRCMOP8_BC,14,original,75000,0.01,28,30,10,8
LIRCMOP8_BC,14,original,76000,0.01,28,30,11,9
LIRCMOP8_BC,14,original,77000,0.01,28,30,11,8
LIRCMOP8_BC,14,original,78000,0.01,28,34,15,11
LIRCMOP8_BC,14,original,79000,0.01,28,34,15,11
LIRCMOP8_BC,14,original,80000,0.01,28,34,16,13
LIRCMOP8_BC,14,original,81000,0.01,28,34,18,15
LIRCMOP8_BC,14,original,82000,0.01,28,32,18,14
LIRCMOP8_BC,14,original,83000,0.01,28,32,18,14
LIRCMOP8_BC,14,original,84000,0.01,28,32,18,14
LIRCMOP8_BC,14,original,85000,0.01,28,32,17,13
LIRCMOP8_BC,14,original,86000,0.01,28,31,17,11
LIRCMOP8_BC,14,original,87000,0.01,28,31,16,11
LIRCMOP8_BC,14,original,88000,0.01,28,30,15,10
LIRCMOP8_BC,14,original,89000,0.01,28,32,17,12
LIRCMOP8_BC,14,original,90000,0.01,28,33,18,13
LIRCMOP8_BC,14,original,91000,0.01,28,36,20,15
LIRCMOP8_BC,14,original,92000,0.01,28,38,21,16
LIRCMOP8_BC,14,original,93000,0.01,28,40,23,17
LIRCMOP8_BC,14,original,94000,0.01,28,39,23,16
LIRCMOP8_BC,14,original,95000,0.01,28,40,25,18
LIRCMOP8_BC,14,original,96000,0.01,28,40,24,17
LIRCMOP8_BC,14,original,97000,0.01,28,41,24,17
LIRCMOP8_BC,14,original,98000,0.01,28,45,25,16
LIRCMOP8_BC,14,original,99000,0.01,28,44,23,14
LIRCMOP8_BC,14,original,100000,0.01,28,43,23,14
LIRCMOP8_BC,14,original,50000,0.02,121,121,0,0
LIRCMOP8_BC,14,original,51000,0.02,121,124,4,4
LIRCMOP8_BC,14,original,52000,0.02,121,121,9,7
LIRCMOP8_BC,14,original,53000,0.02,121,117,8,5
LIRCMOP8_BC,14,original,54000,0.02,121,117,9,6
LIRCMOP8_BC,14,original,55000,0.02,121,121,13,10
LIRCMOP8_BC,14,original,56000,0.02,121,120,16,13
LIRCMOP8_BC,14,original,57000,0.02,121,113,18,15
LIRCMOP8_BC,14,original,58000,0.02,121,114,18,14
LIRCMOP8_BC,14,original,59000,0.02,121,118,19,15
LIRCMOP8_BC,14,original,60000,0.02,121,115,20,15
LIRCMOP8_BC,14,original,61000,0.02,121,115,22,15
LIRCMOP8_BC,14,original,62000,0.02,121,117,25,16
LIRCMOP8_BC,14,original,63000,0.02,121,118,26,17
LIRCMOP8_BC,14,original,64000,0.02,121,126,29,20
LIRCMOP8_BC,14,original,65000,0.02,121,123,29,20
LIRCMOP8_BC,14,original,66000,0.02,121,128,31,22
LIRCMOP8_BC,14,original,67000,0.02,121,130,31,22
LIRCMOP8_BC,14,original,68000,0.02,121,134,32,22
LIRCMOP8_BC,14,original,69000,0.02,121,137,32,23
LIRCMOP8_BC,14,original,70000,0.02,121,138,33,24
LIRCMOP8_BC,14,original,71000,0.02,121,137,35,26
LIRCMOP8_BC,14,original,72000,0.02,121,135,34,25
LIRCMOP8_BC,14,original,73000,0.02,121,137,36,25
LIRCMOP8_BC,14,original,74000,0.02,121,134,35,26
LIRCMOP8_BC,14,original,75000,0.02,121,128,34,26
LIRCMOP8_BC,14,original,76000,0.02,121,132,35,27
LIRCMOP8_BC,14,original,77000,0.02,121,131,36,27
LIRCMOP8_BC,14,original,78000,0.02,121,137,38,29
LIRCMOP8_BC,14,original,79000,0.02,121,138,38,28
LIRCMOP8_BC,14,original,80000,0.02,121,140,40,28
LIRCMOP8_BC,14,original,81000,0.02,121,142,42,29
LIRCMOP8_BC,14,original,82000,0.02,121,140,43,29
LIRCMOP8_BC,14,original,83000,0.02,121,140,41,28
LIRCMOP8_BC,14,original,84000,0.02,121,141,41,29
LIRCMOP8_BC,14,original,85000,0.02,121,143,40,29
LIRCMOP8_BC,14,original,86000,0.02,121,136,41,29
LIRCMOP8_BC,14,original,87000,0.02,121,138,39,27
LIRCMOP8_BC,14,original,88000,0.02,121,141,41,28
LIRCMOP8_BC,14,original,89000,0.02,121,146,40,28
LIRCMOP8_BC,14,original,90000,0.02,121,147,41,29
LIRCMOP8_BC,14,original,91000,0.02,121,153,44,31
LIRCMOP8_BC,14,original,92000,0.02,121,148,46,30
LIRCMOP8_BC,14,original,93000,0.02,121,152,49,33
LIRCMOP8_BC,14,original,94000,0.02,121,154,48,31
LIRCMOP8_BC,14,original,95000,0.02,121,155,48,31
LIRCMOP8_BC,14,original,96000,0.02,121,158,51,35
LIRCMOP8_BC,14,original,97000,0.02,121,160,51,35
LIRCMOP8_BC,14,original,98000,0.02,121,169,54,37
LIRCMOP8_BC,14,original,99000,0.02,121,173,52,36
LIRCMOP8_BC,14,original,100000,0.02,121,174,55,39
LIRCMOP8_BC,14,original,50000,0.04,417,417,0,0
LIRCMOP8_BC,14,original,51000,0.04,417,425,2,2
LIRCMOP8_BC,14,original,52000,0.04,417,429,3,3
LIRCMOP8_BC,14,original,53000,0.04,417,427,4,4
LIRCMOP8_BC,14,original,54000,0.04,417,433,7,7
LIRCMOP8_BC,14,original,55000,0.04,417,437,6,6
LIRCMOP8_BC,14,original,56000,0.04,417,445,7,7
LIRCMOP8_BC,14,original,57000,0.04,417,440,7,6
LIRCMOP8_BC,14,original,58000,0.04,417,444,8,6
LIRCMOP8_BC,14,original,59000,0.04,417,442,8,6
LIRCMOP8_BC,14,original,60000,0.04,417,438,9,7
LIRCMOP8_BC,14,original,61000,0.04,417,439,11,8
LIRCMOP8_BC,14,original,62000,0.04,417,439,11,8
LIRCMOP8_BC,14,original,63000,0.04,417,436,11,8
LIRCMOP8_BC,14,original,64000,0.04,417,440,10,8
LIRCMOP8_BC,14,original,65000,0.04,417,435,12,8
LIRCMOP8_BC,14,original,66000,0.04,417,434,12,8
LIRCMOP8_BC,14,original,67000,0.04,417,428,12,9
LIRCMOP8_BC,14,original,68000,0.04,417,434,13,8
LIRCMOP8_BC,14,original,69000,0.04,417,438,14,8
LIRCMOP8_BC,14,original,70000,0.04,417,435,14,8
LIRCMOP8_BC,14,original,71000,0.04,417,435,14,10
LIRCMOP8_BC,14,original,72000,0.04,417,435,15,10
LIRCMOP8_BC,14,original,73000,0.04,417,435,15,10
LIRCMOP8_BC,14,original,74000,0.04,417,433,15,11
LIRCMOP8_BC,14,original,75000,0.04,417,432,14,9
LIRCMOP8_BC,14,original,76000,0.04,417,435,14,10
LIRCMOP8_BC,14,original,77000,0.04,417,436,14,10
LIRCMOP8_BC,14,original,78000,0.04,417,440,15,11
LIRCMOP8_BC,14,original,79000,0.04,417,437,16,12
LIRCMOP8_BC,14,original,80000,0.04,417,437,17,13
LIRCMOP8_BC,14,original,81000,0.04,417,437,16,13
LIRCMOP8_BC,14,original,82000,0.04,417,441,17,14
LIRCMOP8_BC,14,original,83000,0.04,417,439,17,14
LIRCMOP8_BC,14,original,84000,0.04,417,443,17,14
LIRCMOP8_BC,14,original,85000,0.04,417,451,16,14
LIRCMOP8_BC,14,original,86000,0.04,417,449,18,16
LIRCMOP8_BC,14,original,87000,0.04,417,445,18,15
LIRCMOP8_BC,14,original,88000,0.04,417,448,20,17
LIRCMOP8_BC,14,original,89000,0.04,417,449,21,18
LIRCMOP8_BC,14,original,90000,0.04,417,455,22,19
LIRCMOP8_BC,14,original,91000,0.04,417,452,21,18
LIRCMOP8_BC,14,original,92000,0.04,417,446,21,17
LIRCMOP8_BC,14,original,93000,0.04,417,447,20,15
LIRCMOP8_BC,14,original,94000,0.04,417,450,19,13
LIRCMOP8_BC,14,original,95000,0.04,417,451,20,14
LIRCMOP8_BC,14,original,96000,0.04,417,454,21,17
LIRCMOP8_BC,14,original,97000,0.04,417,444,24,20
LIRCMOP8_BC,14,original,98000,0.04,417,441,24,19
LIRCMOP8_BC,14,original,99000,0.04,417,449,24,20
LIRCMOP8_BC,14,original,100000,0.04,417,442,25,21
