problem,baseline,n,lateIGDAUCRatio,seedBlockBootstrapLow,seedBlockBootstrapHigh,lateIGDAUCWins,finalIGDRatio,finalIGDWins,meanLateHVAUCChange
ALL,original,20,1.0954972825068106,0.9542354459327058,1.2296169336083371,10,0.9339597627496392,11,0.002542314024304354
LIRCMOP5_BC,original,5,0.9060516224412178,0.4596571748027216,1.7674284569076921,3,0.7616509260084381,4,0.0140699595713344
LIRCMOP6_BC,original,5,0.9189064064396107,0.7437501638663215,1.1353126692520983,3,0.9090279643123387,3,0.0013968320144597923
LIRCMOP7_BC,original,5,1.5782270915364438,1.101022783843933,2.2622608623625418,1,1.0838824431796785,2,-0.004452044746247785
LIRCMOP8_BC,original,5,1.0961033434539058,0.7767879337429212,1.5575197899911366,3,1.0139050007771606,2,-0.0008454907423289914
ALL,fallback_only,20,1.2504727378751805,0.8663196827226858,1.650427472333691,8,0.971579749654943,11,-0.006302274718303004
LIRCMOP5_BC,fallback_only,5,1.3816894413545104,0.44391448306600884,3.6521795556758776,2,1.0425618274865662,2,-0.021270613250889005
LIRCMOP6_BC,fallback_only,5,1.6668081941133202,0.8285596695941474,3.476907298387485,2,1.1259434785185174,1,-0.008264894886527402
LIRCMOP7_BC,fallback_only,5,1.2311340576817276,0.7164570924256174,2.2898094614154707,2,0.8826484152309036,4,0.0009975804627062046
LIRCMOP8_BC,fallback_only,5,0.8623736943374155,0.4889383231972531,1.2459492736460234,2,0.860018240079235,4,0.003328828801498185
ALL,pair_only,20,1.2831378099831254,1.171923405497231,1.4051743180719407,8,1.0608927822746939,6,-0.002486852035571052
LIRCMOP5_BC,pair_only,5,1.348005324911726,0.6330426343425852,2.87045177909296,3,0.9830289209580266,2,-0.004538530425637799
LIRCMOP6_BC,pair_only,5,0.9364427688855256,0.7412231128548016,1.207687502272866,3,0.9247776487680074,3,0.0009092382042647951
LIRCMOP7_BC,pair_only,5,1.785958663223513,1.115729271581026,3.2601234716378813,1,1.1575932095809238,1,-0.0047786097244054025
LIRCMOP8_BC,pair_only,5,1.2023999758030224,0.8626452704505507,1.5350965431517127,1,1.2037225282958404,0,-0.001539506196505802
