problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP5_BC,11,cgan,first_true_use,6200,6200,0,1.37784173291011,0,100,88,65,2,2,0,2,0.02,7,5,7,12,9,0.429265044110153,0.566977163261138,1,1000,5000,103.26993,6000,8,933.333333333333,1000,0.092745389677434,1,6000,8,933.333333333333,1000,0.092745389677434,6000,20,0.45,2,10,20,NaN,418,0.956253764969883
LIRCMOP5_BC,11,cgan,FE010000,10000,10000,0,1.25093900048425,0,100,25,22,50,41,9,50,0.41,11,2,13,46,170,0.216037438272128,0.318714792137703,17,1320,6600,150.007077083333,10000,41,8.53333333333333,20,0.0546677377455183,16,9800,41,8.2051282051282,20,0.0483870382211688,9800,20,0,0,2,400,NaN,498,-0.0169005515828955
LIRCMOP5_BC,11,cgan,FE030000,30000,30000,0,0.27526012862347,0.157770416773718,100,50,42,17,6,11,17,0.06,5,2,6,42,68,0.138370859159367,0.345412324473043,56,2100,10500,224.100556333333,18600,9,20,20,0.0598649167858634,56,18600,9,20,20,0.0598649167858634,29800,20,0,0,0,2400,NaN,432,0
LIRCMOP5_BC,11,cgan,FE050000,50000,50000,0,0.258703895455798,0.161923059829421,100,56,53,28,15,13,28,0.15,7,1,8,62,70,0.122047189635506,0.25243783833102,136,3700,18500,388.817044875,50000,15,20,20,0.0365349555231461,135,49800,13,19.1304347826087,20,0.0321876013934118,49800,20,0.05,0,0,4400,NaN,468,-0.0153673879081607
LIRCMOP5_BC,11,cgan,FE070000,70000,70000,0,0.15577734700789,0.201580107847816,100,74,70,40,11,29,40,0.11,1,1,2,104,58,0.0966654256861912,0.355926379930359,233,5640,28200,579.279100083333,70000,11,18.9473684210526,20,0.0475253487392227,232,69800,8,20,20,0.0418059091682041,69800,20,0.2,0,0,6400,NaN,478,0.12484878925144
LIRCMOP5_BC,11,cgan,FE100000,100000,100000,0,0.0156953578433222,0.285239618425988,100,90,53,9,6,3,9,0.06,0,1,1,137,17,0.0844686389999354,0.100924890047422,275,6480,32400,664.435946125,99600,9,20,20,0.0312013522065393,275,99600,9,20,20,0.0312013522065393,99800,20,0.15,0,0,9400,NaN,418,0
LIRCMOP5_BC,12,cgan,first_true_use,6400,6400,0,2.63645768257762,0,100,83,60,12,9,3,12,0.09,3,0,3,24,27,0.594576688317749,0.783590292539655,2,1020,5100,110.756800125,6400,9,20,20,0.0957898280895233,1,6200,8,933.333333333333,1000,0.100456728757281,6200,20,0.55,1,7,20,NaN,416,1.23547684928511
LIRCMOP5_BC,12,cgan,FE010000,10000,10000,0,1.25893086734424,0,100,49,43,18,14,4,18,0.14,3,2,5,26,83,0.238243726003189,0.394536057861008,14,1260,6300,145.807868208333,10000,14,20,20,0.0536118281232519,13,9800,16,19.3548387096774,20,0.0575494067858011,9800,20,0.15,2,14,380,NaN,438,0.0242237743465906
LIRCMOP5_BC,12,cgan,FE030000,30000,30000,0,1.2230146532797,0,100,48,19,271,63,208,271,0.63,8,2,10,109,258,0.164015644740003,0.283357069112875,113,3240,16200,332.439918125,30000,63,5.3781512605042,20,0.0568279603222382,112,29800,60,5.81818181818182,20,0.0548822427124479,29800,20,0.1,1,1,2380,NaN,930,-0.195649094682439
LIRCMOP5_BC,12,cgan,FE050000,50000,50000,0,1.19652542816375,0,100,28,8,500,67,433,500,0.67,14,7,20,124,510,0.142475738401225,0.25853624730759,213,5240,26200,515.944199291667,50000,67,4.92307692307692,20,0.0641000100053662,212,49800,68,4.81203007518797,20,0.0700227473934538,49800,20,0.35,0,0,4380,NaN,1400,-0.126405023707909
LIRCMOP5_BC,12,cgan,FE070000,70000,70000,0,0.1784804122704,0.216543559105511,100,20,20,7,3,4,7,0.03,1,0,1,15,102,0.0712658626973142,0.250281149191273,283,6640,33200,644.436661041667,64000,44,7.27272727272727,20,0.0854225677763063,283,64000,44,7.27272727272727,20,0.0854225677763063,69800,20,0.1,0,0,6380,NaN,412,0
LIRCMOP5_BC,12,cgan,FE100000,100000,100000,0,0.0194080152300826,0.284114959140845,100,89,74,18,7,11,18,0.07,0,1,1,120,18,0.133803308587269,0.15155582402467,283,6640,33200,644.436661041667,64000,44,7.27272727272727,20,0.0854225677763063,283,64000,44,7.27272727272727,20,0.0854225677763063,99800,20,0.05,0,0,9380,NaN,428,0
LIRCMOP5_BC,13,cgan,first_true_use,5400,5400,0,2.59760008197931,0,100,84,68,14,14,0,14,0.14,3,0,3,21,29,0.565773059602819,0.875534704101577,2,1020,5100,111.062521333333,5400,14,19.2,20,0.08341199694145,1,5200,8,1000,1000,0.089579338059126,5200,20,0.4,2,9,20,NaN,416,0.702743724468562
LIRCMOP5_BC,13,cgan,FE010000,10000,10000,0,1.23871264757784,0,100,29,12,51,31,20,51,0.31,15,1,16,57,185,0.153019893797701,0.272312890661415,21,1400,7000,160.603449708333,10000,31,10.4918032786885,20,0.0499082570412082,20,9800,38,8.64864864864865,20,0.0533929174749707,9800,20,0.05,0,0,480,NaN,508,0.0821575130340226
LIRCMOP5_BC,13,cgan,FE030000,30000,30000,0,1.18709244530055,0,100,19,4,390,57,333,390,0.57,6,1,7,115,429,0.151695715213808,0.301592949823534,121,3400,17000,352.281595875,30000,57,5.87155963302752,20,0.110838286491838,120,29800,55,6.0377358490566,20,0.112361751649157,29800,20,0.05,0,0,2480,NaN,1156,-0.22313254931227
LIRCMOP5_BC,13,cgan,FE050000,50000,50000,0,0.0627280419165634,0.268375461310352,100,78,66,4,4,0,4,0.04,1,0,1,114,28,0.0522471443006634,0.122460177715081,170,4380,21900,451.257996083333,48400,9,20,20,0.0342711046126722,170,48400,9,20,20,0.0342711046126722,49800,20,0.4,0,0,4480,NaN,408,0
LIRCMOP5_BC,13,cgan,FE070000,70000,70000,0,0.0346854764242879,0.278262302241999,100,83,58,9,4,5,9,0.04,0,1,1,122,30,0.12397124461108,0.156858027164694,170,4380,21900,451.257996083333,48400,9,20,20,0.0342711046126722,170,48400,9,20,20,0.0342711046126722,69800,20,0.4,0,0,6480,NaN,416,0
LIRCMOP5_BC,13,cgan,FE100000,100000,100000,0,0.0179737523104132,0.284485870928072,100,88,50,31,7,24,31,0.07,0,0,0,138,24,0.109727229372117,0.20806160528127,172,4420,22100,456.397180083333,95800,8,18.4615384615385,20,0.0367237921004118,172,95800,8,18.4615384615385,20,0.0367237921004118,99800,20,0.4,0,0,9480,NaN,448,0
LIRCMOP5_BC,14,cgan,first_true_use,6200,6200,0,2.71784957229797,0,100,78,46,11,11,0,11,0.11,4,0,4,20,25,0.387013500068355,0.613259695655257,2,1020,5100,83.0479476666667,6200,11,19.047619047619,20,0.0579036655078799,1,6000,8,1000,1000,0.067744406173554,6000,20,0.4,4,14,20,NaN,416,0.420550730181147
LIRCMOP5_BC,14,cgan,FE010000,10000,10000,0,1.24530064653264,0,100,65,38,30,20,10,30,0.2,8,3,11,39,75,0.116537504632884,0.248253047014152,19,1360,6800,122.186847208333,10000,20,17.2972972972973,20,0.0362025321527158,18,9800,23,16.4102564102564,20,0.0362988176595805,9800,20,0.15,0,1,400,NaN,470,0
LIRCMOP5_BC,14,cgan,FE030000,30000,30000,0,1.2234513120291,0,100,61,22,272,58,214,272,0.58,1,7,8,125,254,0.140893633300231,0.302641464865292,118,3340,16700,296.1865255,30000,58,5.92592592592593,20,0.0589237642798856,117,29800,50,7.11111111111111,20,0.0532466406710257,29800,20,0,0,0,2400,NaN,930,-0.246811451869138
LIRCMOP5_BC,14,cgan,FE050000,50000,50000,0,1.17369675991521,0,100,6,4,500,54,446,500,0.54,1,5,6,138,505,0.128328882006297,0.274270483021061,218,5340,26700,472.50319375,50000,54,6.09523809523809,20,0.0658711158297172,217,49800,49,6.66666666666667,20,0.0740616799056446,49800,20,0.15,0,0,4400,NaN,1400,0.212400043883414
LIRCMOP5_BC,14,cgan,FE070000,70000,70000,0,0.0406364386878296,0.274826557499023,100,82,75,25,9,16,25,0.09,0,2,2,112,37,0.126301331037857,0.230571009934429,278,6540,32700,563.081214791667,70000,9,20,20,0.0429974184962329,277,69800,8,18.6666666666667,20,0.043799697260259,69800,20,0.3,2,4,6400,NaN,442,0
LIRCMOP5_BC,14,cgan,FE100000,100000,100000,0,0.0185707689927261,0.284390250990448,100,94,60,20,4,16,20,0.04,3,1,4,129,15,0.076856160160436,0.0886132378352611,282,6620,33100,569.872576333333,74200,8,20,20,0.0308051458436403,282,74200,8,20,20,0.0308051458436403,99800,20,0.55,0,0,9400,NaN,444,0
LIRCMOP5_BC,15,cgan,first_true_use,5200,5200,0,2.66159996994745,0,100,96,76,10,9,1,10,0.09,4,0,4,30,10,0.78756240038023,1.01173327425064,2,1020,5100,92.9725866666667,5200,9,20,20,0.101799399885412,1,5000,9,1000,1000,0.100922004283226,5000,20,0.8,0,3,20,NaN,418,0.152765843809793
LIRCMOP5_BC,15,cgan,FE010000,10000,10000,0,1.26240604156973,0,100,57,57,17,15,2,17,0.15,3,0,3,26,60,0.154981334444852,0.512460306879143,18,1340,6700,133.072095375,10000,15,19.3103448275862,20,0.0514530028925125,17,9800,15,19.3103448275862,20,0.0497627097033842,9800,20,0.4,2,9,500,NaN,432,0
LIRCMOP5_BC,15,cgan,FE030000,30000,30000,0,0.156583031474387,0.243596803286271,100,88,80,18,5,13,18,0.05,1,0,1,109,25,0.224396672314342,0.264177220245862,99,2960,14800,282.226670875,26400,9,18.8235294117647,20,0.053185341107291,99,26400,9,18.8235294117647,20,0.053185341107291,29800,20,0.3,0,0,2500,NaN,436,0
LIRCMOP5_BC,15,cgan,FE050000,50000,50000,0,0.0759408035409,0.26694576501591,100,94,66,22,3,19,22,0.03,0,0,0,122,18,0.157678489930569,0.219795680059633,119,3360,16800,326.002901541667,42400,8,20,20,0.0295967814983207,119,42400,8,20,20,0.0295967814983207,49800,20,0.95,0,0,4500,NaN,444,0
LIRCMOP5_BC,15,cgan,FE070000,70000,70000,0,0.0605749504400829,0.272136157921123,100,78,39,27,6,21,27,0.06,0,0,0,133,37,0.103770797818179,0.164305485737412,174,4460,22300,429.761645458333,69000,9,20,20,0.0315328579521041,174,69000,9,20,20,0.0315328579521041,69800,20,0.75,0,0,6500,NaN,452,0
LIRCMOP5_BC,15,cgan,FE100000,100000,100000,0,0.0281578857849155,0.28092633195522,100,88,38,10,4,6,10,0.04,1,0,1,149,16,0.0742499982960043,0.0833442931387211,174,4460,22300,429.761645458333,69000,9,20,20,0.0315328579521041,174,69000,9,20,20,0.0315328579521041,99800,20,0.55,0,0,9500,NaN,418,0
LIRCMOP6_BC,11,cgan,first_true_use,4400,4400,0,0.681668305241298,0.0048279095064785,100,59,51,9,4,5,9,0.04,13,10,13,9,15,0.322920253682678,0.403181842983435,1,1000,5000,105.931614958333,4200,16,1000,1000,0.0541419769299753,1,4200,16,1000,1000,0.0541419769299753,4200,20,0.1,2,19,20,NaN,440,0.17312152624306
LIRCMOP6_BC,11,cgan,FE010000,10000,10000,0,0.415125242010102,0.0578734215255555,100,54,54,8,7,1,8,0.07,3,2,4,33,71,0.174094742485854,0.77429683972369,2,1020,5100,111.776537666667,8800,9,18.6666666666667,20,0.0629431124549063,2,8800,9,18.6666666666667,20,0.0629431124549063,9800,20,0.7,0,0,580,NaN,416,0
LIRCMOP6_BC,11,cgan,FE030000,30000,30000,0,0.369833300530821,0.0682776299666422,100,76,76,30,17,13,30,0.17,5,1,5,100,52,0.105279684548436,0.179241745893263,85,2680,13400,288.868387833333,30000,17,19.2592592592593,20,0.0473182867323606,84,29800,17,19.3103448275862,20,0.044857673106505,29800,20,0.35,0,0,2580,NaN,454,0.118788492711961
LIRCMOP6_BC,11,cgan,FE050000,50000,50000,0,0.32038794762468,0.0820054403380202,100,79,54,98,19,79,98,0.19,3,1,4,118,114,0.0923612200192662,0.170060023799048,185,4680,23400,485.322866583333,50000,19,18.8235294117647,20,0.0500315201094167,184,49800,21,16.8421052631579,20,0.046201493028676,49800,20,0.25,0,0,4580,NaN,596,0.243397334323095
LIRCMOP6_BC,11,cgan,FE070000,70000,70000,0,0.0692550350396042,0.156249083591559,100,60,61,63,16,47,63,0.16,0,2,2,101,85,0.11166472936488,0.188127777079112,285,6680,33400,675.126809625,70000,16,20,20,0.0358005497187927,284,69800,13,19.1304347826087,20,0.0382125536402511,69800,20,0.1,0,0,6580,NaN,512,0.0483679619387355
LIRCMOP6_BC,11,cgan,FE100000,100000,100000,0,0.0150272908803494,0.191400060327071,100,100,77,0,0,0,0,0,0,0,0,117,0,NaN,NaN,318,7340,36700,747.102684125,77800,8,17.7777777777778,20,0.0260449845021471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,7980,NaN,400,0
LIRCMOP6_BC,12,cgan,first_true_use,4400,4400,0,1.45789932266834,0,100,79,58,0,0,0,0,0,5,8,9,8,9,NaN,NaN,1,1000,5000,104.931281041667,4200,8,1000,1000,0.104088678990252,1,4200,8,1000,1000,0.104088678990252,4200,20,0.45,5,14,20,NaN,418,0.895070558115336
LIRCMOP6_BC,12,cgan,FE010000,10000,10000,0,1.35080375883573,0,100,46,8,100,61,39,100,0.61,10,2,11,86,182,0.187446415946192,0.316730102666196,26,1500,7500,170.20202275,10000,61,5.87155963302752,20,0.0438761923074989,25,9800,64,5.6140350877193,20,0.0433719234308172,9800,20,0.15,0,1,560,NaN,598,0.0895565696886765
LIRCMOP6_BC,12,cgan,FE030000,30000,30000,0,0.578669305430123,0.0737010066776797,100,64,56,25,14,11,25,0.14,5,0,5,40,69,0.144299128214799,0.277099296033919,126,3500,17500,373.747144625,30000,14,19.2592592592593,20,0.0464400255967026,125,29800,12,20,20,0.0456339635233791,29800,20,0.05,0,1,2560,NaN,448,0.0539847773682522
LIRCMOP6_BC,12,cgan,FE050000,50000,50000,0,0.43260936757937,0.103070276159877,100,55,55,79,18,61,79,0.18,4,1,4,78,110,0.13142918684495,0.221542896027503,226,5500,27500,574.360716375,50000,18,18.8235294117647,20,0.0495651905898817,225,49800,20,17.7777777777778,20,0.0460385965171983,49800,20,0.15,0,0,4560,NaN,538,0.0987606819539151
