addedUpdates,trainingSeconds,endpointRMSE,loggedPostRMSE,preEndpointRMSE,directionError,nearestTrainingObjective,labelAccuracy,offlineFullFE,offlineCalObjRows,offlineCalConRows,problem,seed,moving
0,0,0.124650519867215,NaN,NaN,9.77933079847495,0.104481663113246,0.565,200,400,200,LIRCMOP7_BC,1,0
20,11.0585447083333,0.125557633569695,0.12555763318074,0.124650519984022,9.91957829458939,0.185211847540244,0.49,200,400,200,LIRCMOP7_BC,1,0
200,33.66714425,0.126230869848435,0.126230869837285,0.125359517912071,10.8821439874378,0.132624795569627,0.51,200,400,200,LIRCMOP7_BC,1,0
1000,111.958087916667,0.120938160987393,0.12093816076589,0.128324246967315,11.4984250562327,0.162715208273315,0.49,200,400,200,LIRCMOP7_BC,1,0
2000,192.599673333333,0.118985402233113,0.11898540250223,0.117206597108099,9.59485180573179,0.113180627006157,0.46,200,400,200,LIRCMOP7_BC,1,0
0,0,0.124650519867215,NaN,NaN,9.77933079847495,0.104481663113246,0.565,200,400,200,LIRCMOP7_BC,1,1
20,11.0101899166667,0.12405920587264,0.124059206026835,0.136181895328392,7.38798969726003,0.173082904125884,0.51,200,400,200,LIRCMOP7_BC,1,1
200,33.6416187916667,0.123835802328993,0.123835802516188,0.123016859093264,10.2248307322024,0.114229587884796,0.475,200,400,200,LIRCMOP7_BC,1,1
1000,116.100573958333,0.131105975155874,0.131105975143164,0.147177855320204,8.44492865329349,0.127275994551902,0.555,200,400,200,LIRCMOP7_BC,1,1
2000,198.868843416667,0.122359448614578,0.122359448686868,0.128917964945242,9.1881445000875,0.245096180954062,0.505,200,400,200,LIRCMOP7_BC,1,1
0,0,0.124836456003909,NaN,NaN,6.88215784201155,0.159412564345205,0.545,200,400,200,LIRCMOP7_BC,2,0
20,1.94256958333333,0.11539852736699,0.115398527074596,0.124836456102511,5.34728649914327,0.131941666974343,0.55,200,400,200,LIRCMOP7_BC,2,0
200,14.2378652916667,0.110068763033645,0.110068762750664,0.10993179682947,5.31093809035472,0.122880572876726,0.565,200,400,200,LIRCMOP7_BC,2,0
1000,67.2840666666667,0.108227489254222,0.108227489059421,0.110038327076525,5.12495482101333,0.137400096779508,0.55,200,400,200,LIRCMOP7_BC,2,0
2000,127.377964333333,0.112696244404575,0.112696244248006,0.111420836843063,6.02304587961964,0.138077155821815,0.49,200,400,200,LIRCMOP7_BC,2,0
0,0,0.124836456003909,NaN,NaN,6.88215784201155,0.159412564345205,0.545,200,400,200,LIRCMOP7_BC,2,1
20,2.12733079166667,0.115306221639996,0.115306221768567,0.124748409528889,5.85008597649617,0.133228623812291,0.585,200,400,200,LIRCMOP7_BC,2,1
200,14.3204582083333,0.11576778656323,0.115767786720183,0.125363564594442,7.29468429066284,0.104158623965314,0.545,200,400,200,LIRCMOP7_BC,2,1
