problem,seed,mode,guideQuota,guideFull,firstModelFE,firstGuidedFE,trainingEvents,postModelQuotaOccupancy,quotaOccupancy,fallbackRate,positiveUseRate,modelServiceRate,queryRate,nativeBandRate,projectionMedian,coarseIntervalProposals,certifiedIntervalProposals,nativeCertifiedBandRate,pendingPassRate,fullEvaluationRate,uniqueGuidedUpdateRate,logShrinkPerGuideFE,netGapReduction,survivedP1,survivedP2,retainedP1After1,retainedP1After5,retainedP1After10,penalizedGapAUC,pairCoverageAUC,IGDAUC,HVAUC,finalIGD,finalHV,trainingSeconds,wallSeconds,searchFE,CalObjRows,CalConRows
LIRCMOP5_BC,1,cgan,9980,9480,5200,5281,240,1,0.949899799599198,0.0501002004008016,0.949899799599198,0.951807228915663,0.951807228915663,NaN,NaN,NaN,NaN,NaN,0.04,1,0.117299578059072,0.0438468444013152,26.3553096777363,0.0114978902953586,0.0290084388185654,99,57,34,4.38452773960661,0.012685370741483,0.682859770441221,0.154859864455929,0.0178823792342332,0.284781287187074,628.955198375,743.232603791667,100000,200000,100000
LIRCMOP5_BC,2,cgan,9980,9520,4800,4881,145,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.0379201680672269,0.0374524343140358,6.76780670533382,0.00840336134453781,0.0202731092436975,71,30,14,4.99412857787702,0.00337675350701403,0.459325618090739,0.204287624245464,0.0183461459917006,0.284198167461874,460.787641291667,568.28156925,100000,200000,100000
LIRCMOP5_BC,3,cgan,9980,9520,4800,4881,277,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.165966386554622,0.0810545385828911,27.4221328628895,0.0111344537815126,0.0205882352941176,92,58,31,4.09525907047143,0.00661322645290581,0.822888388547484,0.13121740381793,0.0166738802382949,0.286086439789641,383.641822958333,458.373812666667,100000,200000,100000
LIRCMOP6_BC,1,cgan,9980,8960,5400,5481,421,0.947145877378435,0.897795591182365,0.102204408817635,0.897795591182365,0.899598393574297,0.899598393574297,NaN,NaN,NaN,NaN,NaN,0.04,1,0.208370535714286,0.125562238896847,43.2841459440662,0.0135044642857143,0.0154017857142857,96,72,49,4.02859809490924,0.0143887775551102,0.819015085020098,0.0947212158836077,0.0160262142058471,0.192521432420848,848.896369250001,975.729164458333,100000,200000,100000
LIRCMOP6_BC,2,cgan,9980,6180,6400,6481,115,0.66025641025641,0.619238476953908,0.380761523046092,0.619238476953908,0.620481927710843,0.620481927710843,NaN,NaN,NaN,NaN,NaN,0.04,1,0.0355987055016181,0.0137592859884577,6.34281529718634,0.00809061488673139,0.0181229773462783,46,38,35,5.0583166455886,0.00228456913827655,0.5391947212768,0.139322885031397,0.0108094494689822,0.194470040359181,401.377099958334,512.287998291667,100000,200000,100000
LIRCMOP6_BC,3,cgan,9980,9460,5400,5481,286,1,0.947895791583166,0.0521042084168337,0.947895791583166,0.949799196787149,0.949799196787149,NaN,NaN,NaN,NaN,NaN,0.04,1,0.135729386892178,0.0464769650748018,16.4050369731612,0.00845665961945032,0.0184989429175476,66,38,22,3.97014118220337,0.00962925851703407,0.760948725049281,0.102352433686207,0.019060389396859,0.190427586329452,293.149422,343.854932583333,100000,200000,100000
LIRCMOP7_BC,1,cgan,9980,9580,4200,4281,473,1,0.959919839679359,0.0400801603206413,0.959919839679359,0.961847389558233,0.961847389558233,NaN,NaN,NaN,NaN,NaN,0.04,1,0.347703549060543,0.147029254156202,11.3305401457776,0.0116910229645094,0.0377870563674322,100,81,57,1.54140004522862,0.0405911823647295,0.305538076117753,0.261091879352589,0.00790967321002492,0.293839662615894,891.092305250001,1033.68999220833,100000,200000,100000
LIRCMOP7_BC,2,cgan,9980,9640,3600,3681,472,1,0.965931863727455,0.0340681362725451,0.965931863727455,0.967871485943775,0.967871485943775,NaN,NaN,NaN,NaN,NaN,0.04,1,0.309439834024896,0.179041030459078,10.4904316734319,0.0118257261410788,0.020954356846473,100,79,70,1.61072109522985,0.0558817635270541,0.32179750836287,0.254334284679211,0.00838097015232819,0.293861611538825,924.891295624999,1064.630677875,100000,200000,100000
LIRCMOP7_BC,3,cgan,9980,9580,4000,4081,473,0.997916666666667,0.959919839679359,0.0400801603206413,0.959919839679359,0.961847389558233,0.961847389558233,NaN,NaN,NaN,NaN,NaN,0.04,1,0.325365344467641,0.141339958664533,25.268924806198,0.0144050104384134,0.0424843423799582,128,94,71,1.61210987797497,0.0298597194388778,0.351684595867653,0.250723063939341,0.00773102675680569,0.294075891860147,452.243429666667,524.581149708333,100000,200000,100000
LIRCMOP8_BC,1,cgan,9980,9500,5000,5081,469,1,0.95190380761523,0.0480961923847695,0.95190380761523,0.953815261044177,0.953815261044177,NaN,NaN,NaN,NaN,NaN,0.04,1,0.331157894736842,0.1461303663712,19.9661974820162,0.0169473684210526,0.0428421052631579,144,110,66,1.53681713225459,0.0319138276553106,0.381545407776034,0.252137056180083,0.00816494081150773,0.293699471195927,886.148654333334,1027.21323254167,100000,200000,100000
LIRCMOP8_BC,2,cgan,9980,9520,4800,4881,473,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.31218487394958,0.160612855086608,31.0495051567393,0.0126050420168067,0.0350840336134454,116,98,71,1.27574723683945,0.0570340681362725,0.363723534596322,0.259005626839665,0.00778193651745226,0.293950160421339,911.91227975,1052.74555033333,100000,200000,100000
LIRCMOP8_BC,3,cgan,9980,9560,4400,4481,472,1,0.957915831663327,0.0420841683366733,0.957915831663327,0.959839357429719,0.959839357429719,NaN,NaN,NaN,NaN,NaN,0.04,1,0.350627615062762,0.150551153620066,31.9959607492324,0.0152719665271967,0.0524058577405858,135,107,87,1.61754135704741,0.0437174348697395,0.435899805618412,0.240766618109849,0.00815583682578413,0.29362746561142,406.033625458333,468.298018,100000,200000,100000
