problem,seed,stage,observationFE,productionFE,trainingFE,modelVersion,uniqueRaw,trainingPairs,labelAccuracy,feasibleRequestAccuracy,infeasibleRequestAccuracy,directionError,trainingFrameDirectionError,knownDirectionError,unseenDirectionError,knownFraction,referenceHitRate,jointRate,rawUseful,nearestObjectiveDistance,selected,selectedLabelAccuracy,survivedP1
LIRCMOP5_BC,1,first_true_use,5400,5200,5200,1,200,12,0.506,0.38,0.632,9.5715728583837,9.5715728583837,6.87009154149871,9.8784226293439,0.102,0.056,0.128,0.242,0.396707479998946,20,0.55,8
LIRCMOP5_BC,1,FE010000,10000,9800,9800,24,200,43,0.616,0.232,1,12.0965918556004,12.0965918556004,11.1554129658853,12.6637124686339,0.376,0.036,0.326,0.022,0.0881808761258555,20,0.65,2
LIRCMOP5_BC,1,FE030000,30000,29800,29800,124,200,69,0.478,0.148,0.808,12.0593948656448,12.0593948656448,11.4455423659555,12.8797771783138,0.572,0.012,0.01,0.01,0.142071607237284,20,0.25,0
LIRCMOP5_BC,1,FE050000,50000,49800,49000,215,200,9,0.58,0.252,0.908,16.5882387638788,16.9321216745112,4.85908946676616,17.4982589679651,0.072,0.038,0.06,0,0.475163533819296,20,0.5,0
LIRCMOP5_BC,1,FE070000,70000,69800,68000,237,200,10,0.526,0.064,0.988,12.8366431639216,14.5187954699053,7.02196158993173,13.3285576571658,0.078,0.012,0,0,0.644386212958515,20,0.65,0
LIRCMOP5_BC,1,FE100000,100000,99800,97800,285,200,9,0.49,0.66,0.32,31.124336013174,31.4118744340824,9.61254874362013,32.5462238710763,0.062,0.008,0,0,9.96452422910271,20,0.55,0
LIRCMOP5_BC,2,first_true_use,5000,4800,4800,1,200,9,0.742,0.568,0.916,14.1919256857822,14.1919256857822,8.39729765265285,14.7095286255606,0.082,0.014,0.172,0.066,0.570774054719733,20,0.7,1
LIRCMOP5_BC,2,FE010000,10000,9800,9800,24,200,28,0.47,0.128,0.812,6.95091458249825,6.95091458249825,5.39925067610102,7.43555501520499,0.238,0.082,0.184,0.008,0.0944827385451024,20,0.8,0
LIRCMOP5_BC,2,FE030000,30000,29800,29800,111,200,12,0.546,0.152,0.94,15.8216325315085,15.8216325315085,14.1696295832155,16.0175076014403,0.106,0.034,0.022,0.036,0.30069332080476,20,0.65,1
LIRCMOP5_BC,2,FE050000,50000,49800,31800,116,200,8,0.512,0.052,0.972,20.0742236674386,16.6675360839768,13.8817475291082,20.4415739468311,0.056,0.016,0,0,0.40371722171127,20,0.65,0
LIRCMOP5_BC,2,FE070000,70000,69800,31800,116,200,8,0.508,0.048,0.968,20.2565592702683,16.6769565723941,14.3284254071294,20.6619017566368,0.064,0.016,0,0,0.404031658303017,20,0.6,0
LIRCMOP5_BC,2,FE100000,100000,99800,31800,116,200,8,0.508,0.048,0.968,20.1767375001106,16.6769565723941,14.4925618026424,20.5653990862623,0.064,0.01,0,0,0.404031658303017,20,0.45,0
LIRCMOP5_BC,3,first_true_use,5000,4800,4800,1,200,9,0.558,0.436,0.68,14.6785716101162,14.6785716101162,12.6456764278502,14.8553451042263,0.08,0.008,0.05,0.2,0.450637860203474,20,0.55,5
