refA,refB,conditionDistance,targetJumpRMS,generatedJumpRMS
1,2,0.0142842783892367,0.0421992852958349,0.00127953325671379
2,3,0.0142849854785162,0.0506830429298839,0.00150751993261211
3,6,0.0428549564355483,0.0696786505091288,0.00315480595938546
6,7,0.0142849854785161,0.0338215741363922,0.000988208746745957
7,8,0.0142849854785162,0.0422061876073905,0.00109149311698079
8,9,0.0142849854785161,0.0110131226526693,0.000914905717573901
9,10,0.0142849854785162,0.0255852241778194,0.00145544518723227
10,11,0.0142849854785161,0.0410864624113674,0.0011809496158806
11,12,0.0142849854785162,0.0302140884963245,0.00262119591729419
12,13,0.0142849854785161,0.0242571498210788,0.00106308094458153
13,14,0.0142849854785161,0.0405106991248899,0.00111567630218254
14,16,0.0285699709570322,0.0432799387965755,0.00216877403578881
16,17,0.0142849854785162,0.0807515549952495,0.00124188877065018
17,18,0.0142849854785161,0.0619041195702042,0.00173785154947556
18,19,0.0142849854785161,0.053184269794971,0.00189039549017525
19,20,0.0142849854785161,0.0483764218088587,0.00128848201746269
20,21,0.0142849854785161,0.0606173315012146,0.00157790545116117
21,22,0.0142849854785162,0.0698034446114709,0.00151710925311792
22,23,0.0142849854785161,0.0636229866183484,0.00102394308628766
23,24,0.0142849854785162,0.0381858845797266,0.00118074026742807
24,25,0.0142849854785161,0.0309221306276212,0.00153401184345069
25,26,0.0142849854785161,0.0547882566589877,0.00126729061968146
26,27,0.0142849854785162,0.0730653133516428,0.00115345843666654
27,28,0.014284985478516,0.0449043366264966,0.00230163488766324
28,29,0.0142849854785162,0.0389851905562755,0.00131965371536182
29,31,0.0285699709570322,0.053385899777675,0.00159667822447274
31,33,0.0285699709570322,0.0630391484959792,0.00191989830983302
33,34,0.0142849854785161,0.0814192131906511,0.0017126342672571
34,35,0.0142849854785161,0.0445657039458866,0.00173303824472286
35,36,0.0142849854785161,0.0766574407064839,0.00135832618582149
36,37,0.0142849854785162,0.0654741477825011,0.00131360879380804
37,38,0.0142849854785161,0.0536123339667282,0.00150168119477712
38,39,0.0142849854785161,0.0843068106073743,0.0014306175847319
39,40,0.0142849854785161,0.0584977718220705,0.00119392159585432
40,41,0.0142849854785162,0.0305259628592592,0.00136121935911403
41,42,0.0142849854785161,0.048856125985008,0.00121367013463798
42,43,0.0142849854785161,0.0608620794305404,0.0014350343285819
43,44,0.0142849854785162,0.080060832383529,0.0011959696230737
44,45,0.014284985478516,0.0595320563126117,0.00130093479803574
45,46,0.0142849854785162,0.0680935290571266,0.00106116604028614
46,47,0.0142849854785161,0.0641203198894751,0.00161586353223861
47,48,0.0142849854785161,0.0494215639444765,0.000925253954455599
48,49,0.0142849854785162,0.0730826014387335,0.00108683497876104
49,50,0.0142849854785161,0.0621005722439946,0.00118401297039827
50,51,0.0142849854785161,0.054922352222618,0.00111502651142959
51,52,0.0142849854785161,0.10533489073511,0.00125596479492939
52,53,0.0142849854785162,0.0937290738703336,0.00106736040277196
53,54,0.0142849854785161,0.0726612087653437,0.00122977061528607
54,55,0.0142849854785161,0.0801865663618654,0.0011281755476796
55,56,0.0142849854785162,0.0759293497590827,0.00126023936750051
56,57,0.014284985478516,0.051368043427777,0.00128281744946584
57,58,0.0142849854785162,0.0889791064162935,0.00125616146040498
58,59,0.0142849854785161,0.0993887442929942,0.00190076584018867
59,60,0.0142849854785161,0.0806533593086349,0.00121497128154177
60,61,0.0142849854785162,0.0591436411691985,0.00176876144235113
61,62,0.0142849854785161,0.0911551584076045,0.00100840422209631
62,63,0.0142849854785161,0.0401437405018527,0.00128461827366069
63,64,0.0142849854785161,0.0660912297494124,0.00209048307523323
64,65,0.0142849854785162,0.0728450192016988,0.000925405999035808
65,66,0.0142849854785161,0.0831032778281861,0.00114691770160774
66,67,0.0142849854785161,0.105621653554986,0.00106355627735205
67,68,0.0142849854785161,0.070992617618808,0.00121986818730808
68,69,0.0142849854785161,0.0664445204006715,0.00176097848383119
69,70,0.0142849854785162,0.0184796013886998,0.00222184753915911
70,71,0.0142849854785161,0.0717407829453491,0.00142941536397456
71,72,0.0142849854785161,0.0365898099110046,0.00134873885978289
72,73,0.0142849854785162,0.0602887918097075,0.00161868535235423
73,74,0.014284985478516,0.0683503574728711,0.00124999811917455
74,75,0.0142849854785162,0.0582045168038159,0.00182672143035599
75,77,0.0285699709570322,0.0496788080412239,0.00208010529519085
77,78,0.0142849854785162,0.0582239189146143,0.00229166493922574
78,79,0.0142849854785161,0.0541643113659317,0.00167803798470234
79,80,0.0142849854785162,0.0920029963741625,0.00275837978498355
80,81,0.0142849854785161,0.0525471529972233,0.00119658373600981
81,82,0.0142849854785161,0.0452576556297036,0.00155476129143566
82,83,0.0142849854785161,0.0598618425659636,0.00203729906776192
83,84,0.0142849854785161,0.0572809289557417,0.00163822069618909
84,85,0.0142849854785162,0.0582656896251278,0.00163374394567407
85,86,0.0142849854785161,0.04971499082054,0.00186061807171695
86,90,0.0571399419140645,0.0461024951656114,0.00294355115367455
90,91,0.0142849854785161,0.0468051226881693,0.00214805341340786
91,92,0.0142849854785162,0.0419796697140212,0.00150129177910761
92,93,0.0142849854785161,0.0382597652109087,0.00220340335905689
93,94,0.0142849854785162,0.0297084702948607,0.00171540732821887
94,98,0.0571399419140644,0.0731544713103977,0.00383810940677735
98,99,0.0142849854785162,0.041957995548462,0.00160936660911803
99,100,0.0142842783892367,0.0978325265059343,0.0012171169196787
