file,bytes,sha256
PROMPT_TO_GPT.md,2092,fada36d5b407b9bc28d1cbe4eab55ace2e9c2795fe445f0218bc3f7e942af35e
README_FIRST.md,5339,257bb59422ce8620704783622493ceaff33663943e1f7baa7b2406781121d08b
SOURCE_PROVENANCE.csv,538620,78e4d85691072aa6acaf6c1de19bcceaf9e0636c4b88bc6e10b5b1a11badc6ea
code/Algorithms/ALGORITHM.m,10400,456c675ae92e70e892c5aa73b3c8205c02fcaf8888408b29910cf25e542ae054
code/Algorithms/Multi-objective optimization/CBS-CGAN/CBS_RegionWGAN_GP.m,1560,4b06df14435b0fde766f2cb04747275f0dc7af9d4d0d13cb9b4da4180a47717a
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/AssignReferenceVectors_CBS.m,2767,52d6455dfb2a3fc12042b0da409ac67f7d752f61d84a3374c4246f88d75cde76
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/BoundaryWGAN_RC.m,13185,75d1534590896391b2ecd2e84f40e1a4e6a88985a646a4a0238dcdd63aa13fa9
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/BuildBoundaryDataset_RC.m,1931,62e85170599a6d69556c1ba7bf2fe9ca055f3c9e93ed3d8ccefd39eaff417311
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/CBS_RegionWGAN_GP_Core.m,95456,e3c566bb4d13f656508ec9b265341ede10e5e3972f52777350e555e9d9994fee
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/CalFitness_CBS.m,1826,b72f9be2229a7884e4d607e9801bb188af2e38170ebee5513443a71c24aa3b9e
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/EnvironmentalSelection_CBS.m,2086,82baee7067d7ba894cb7da0ce994442a35ca4d3ee74b84faf95fdd24d4622f72
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/OperatorDEDistinct_CBS.m,2335,6959ad00c4123e97186ea155c0b1f4683cf1b8b8cee0b1eaf383431bb3ada9a5
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairBoundaryArchive_RC.m,42270,51c50322f642363a7d0e4977cc8e8548abeea6596d33aa75a31341acafb707a8
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairBoundaryWGAN_RC.m,26536,3c5b101bee62fefe59b049ba211925e90a5af0fff0760720c82babe4544892fd
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairGuideCore.m,104212,95d3b973e5969e2e1a0c510d3512363b9bd6585958318c610b55baec0ae820f9
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/PairGuideCost_RC.m,1406,c2edfdd0808daff698735459f441459d80b6e276ebb5b36b76569c7aba7b145f
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/RefineBoundaryObservations_RC.m,4249,420c1f11c8e31e793cc04d69d22b6c0a1d08cabba74d7c3a709ea060fccd096a
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/RunRegionGAN_RC.m,8286,2a98a82c4b4d2e629ab9cb2962d9e914a3a9aeb65af3476aebc9360e42e48ad5
code/Algorithms/Multi-objective optimization/CBS-CGAN/Core/UpdateBoundaryMemory_RC.m,16059,159af30356b61a764ae244e34699cb00fbf88085ddf06846ff84342e697c118b
code/Algorithms/Multi-objective optimization/CBS-CGAN/PERFORMANCE_VERIFICATION_20260906.md,7283,242f48b9c301f7eb3ecf329a0d109c3f5af0819f5b0ddb4d3d8a7003f970f4df
code/Algorithms/Multi-objective optimization/CBS-CGAN/README.md,30028,eabee14480897a9bbc78cf4fe1c0f5077a1983d6d590edc0aebc6cfaf7c746bd
code/Algorithms/Multi-objective optimization/CBS-CGAN/STRICT_REVIEW_20260905.md,12474,7250cd45d4407d1ee02369aaf4a939ec4691a379897648c65a8406c388951dd1
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/PairGuide_checkpoint_metrics.m,5372,fb5426f1f2ebd340623c6113314acd50636bc295d6e1cc97ef76de51921a56cc
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/addCBSPaths.m,804,2e6e3c8a441ae686109c97c234790b95b2cd2ef5a7dd83f7857bbbee0412172d
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/analyze_CBS_PairGuide_epoch_first_use_campaign.m,9949,194ca59fe77e8d5680b00f4fc1ab1567313548d29cec9c8a2dc657740e1ac027
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/analyze_CBS_PairGuide_epoch_ten_use_campaign.m,11038,606e587abef6a11887ed64130e12175fe70ff8025f16dde3fe1932f264001e6c
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/analyze_CBS_PairGuide_training_schedule_stage.m,38410,e79b48611de1c1bbc3aaba69a7f444d00da9de56153838290cbe1f6b529ba7ce
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/analyze_PairGuide_initial_validation.m,28322,8c39b15c8a08f693ca2191ee713611490ab16ed0d3ad24faf0221893afb6d815
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/analyze_PairGuide_interval_validation.m,6985,df519c3dd7aeaa84a8d19f76c20856e4c5ac61c62310d042571fadb33ab6dc74
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/audit_PairGuide_boundary_validation.m,4435,c7d4b1efad96979d7d42c6c822bd643eb1739662d5dd9ca9245fccb2cea539e9
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/draw_CBS_CGAN_objective_region.m,7398,d3ee2349509db6b8de8e01bf7f349ae2d235d7c266c2dcda5ac86ef837d3016f
code/Algorithms/Multi-objective optimization/CBS-CGAN/Support/render_CBS_CGAN_objective_space_figures.m,6714,57fbfd4bf3b00bb8e2abcfcb0b1b082ff355c3099f83ae34f9a373412a95912f
