problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP6_BC,1,pair_only,50000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,51000,0.01,0,12,1,1
LIRCMOP6_BC,1,pair_only,52000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,53000,0.01,0,10,1,1
LIRCMOP6_BC,1,pair_only,54000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,55000,0.01,0,44,1,1
LIRCMOP6_BC,1,pair_only,56000,0.01,0,14,1,1
LIRCMOP6_BC,1,pair_only,57000,0.01,0,24,1,1
LIRCMOP6_BC,1,pair_only,58000,0.01,0,81,1,1
LIRCMOP6_BC,1,pair_only,59000,0.01,0,61,2,2
LIRCMOP6_BC,1,pair_only,60000,0.01,0,23,3,3
LIRCMOP6_BC,1,pair_only,61000,0.01,0,43,2,2
LIRCMOP6_BC,1,pair_only,62000,0.01,0,50,4,4
LIRCMOP6_BC,1,pair_only,63000,0.01,0,65,3,3
LIRCMOP6_BC,1,pair_only,64000,0.01,0,133,3,3
LIRCMOP6_BC,1,pair_only,65000,0.01,0,218,3,3
LIRCMOP6_BC,1,pair_only,66000,0.01,0,332,3,3
LIRCMOP6_BC,1,pair_only,67000,0.01,0,313,4,4
LIRCMOP6_BC,1,pair_only,68000,0.01,0,250,4,4
LIRCMOP6_BC,1,pair_only,69000,0.01,0,210,4,4
LIRCMOP6_BC,1,pair_only,70000,0.01,0,267,4,4
LIRCMOP6_BC,1,pair_only,71000,0.01,0,267,4,4
LIRCMOP6_BC,1,pair_only,72000,0.01,0,339,4,4
LIRCMOP6_BC,1,pair_only,73000,0.01,0,147,3,3
LIRCMOP6_BC,1,pair_only,74000,0.01,0,144,2,2
LIRCMOP6_BC,1,pair_only,75000,0.01,0,141,2,2
LIRCMOP6_BC,1,pair_only,76000,0.01,0,75,1,1
LIRCMOP6_BC,1,pair_only,77000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,78000,0.01,0,4,1,1
LIRCMOP6_BC,1,pair_only,79000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,80000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,81000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,82000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,83000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,84000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,85000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,86000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,87000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,88000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,89000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,90000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,91000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,92000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,93000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,94000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,95000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,96000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,97000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,98000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,99000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,100000,0.01,0,0,0,0
LIRCMOP6_BC,1,pair_only,50000,0.02,8,8,0,0
LIRCMOP6_BC,1,pair_only,51000,0.02,8,22,0,0
LIRCMOP6_BC,1,pair_only,52000,0.02,8,7,0,0
LIRCMOP6_BC,1,pair_only,53000,0.02,8,15,0,0
LIRCMOP6_BC,1,pair_only,54000,0.02,8,15,0,0
LIRCMOP6_BC,1,pair_only,55000,0.02,8,55,0,0
LIRCMOP6_BC,1,pair_only,56000,0.02,8,30,0,0
LIRCMOP6_BC,1,pair_only,57000,0.02,8,47,0,0
LIRCMOP6_BC,1,pair_only,58000,0.02,8,125,0,0
LIRCMOP6_BC,1,pair_only,59000,0.02,8,73,1,1
LIRCMOP6_BC,1,pair_only,60000,0.02,8,37,2,2
LIRCMOP6_BC,1,pair_only,61000,0.02,8,46,1,1
LIRCMOP6_BC,1,pair_only,62000,0.02,8,60,3,3
LIRCMOP6_BC,1,pair_only,63000,0.02,8,80,3,3
LIRCMOP6_BC,1,pair_only,64000,0.02,8,176,3,3
LIRCMOP6_BC,1,pair_only,65000,0.02,8,274,3,3
LIRCMOP6_BC,1,pair_only,66000,0.02,8,449,3,3
LIRCMOP6_BC,1,pair_only,67000,0.02,8,429,4,4
LIRCMOP6_BC,1,pair_only,68000,0.02,8,387,4,4
LIRCMOP6_BC,1,pair_only,69000,0.02,8,236,4,4
