problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP7_BC,3,fallback_only,50000,0.01,13,13,0,0
LIRCMOP7_BC,3,fallback_only,51000,0.01,13,13,0,0
LIRCMOP7_BC,3,fallback_only,52000,0.01,13,16,3,3
LIRCMOP7_BC,3,fallback_only,53000,0.01,13,18,5,5
LIRCMOP7_BC,3,fallback_only,54000,0.01,13,18,5,5
LIRCMOP7_BC,3,fallback_only,55000,0.01,13,19,5,5
LIRCMOP7_BC,3,fallback_only,56000,0.01,13,19,5,5
LIRCMOP7_BC,3,fallback_only,57000,0.01,13,18,4,4
LIRCMOP7_BC,3,fallback_only,58000,0.01,13,18,4,4
LIRCMOP7_BC,3,fallback_only,59000,0.01,13,18,4,4
LIRCMOP7_BC,3,fallback_only,60000,0.01,13,17,4,4
LIRCMOP7_BC,3,fallback_only,61000,0.01,13,19,6,6
LIRCMOP7_BC,3,fallback_only,62000,0.01,13,21,8,8
LIRCMOP7_BC,3,fallback_only,63000,0.01,13,24,10,10
LIRCMOP7_BC,3,fallback_only,64000,0.01,13,25,11,11
LIRCMOP7_BC,3,fallback_only,65000,0.01,13,26,10,10
LIRCMOP7_BC,3,fallback_only,66000,0.01,13,26,11,11
LIRCMOP7_BC,3,fallback_only,67000,0.01,13,28,13,13
LIRCMOP7_BC,3,fallback_only,68000,0.01,13,28,13,13
LIRCMOP7_BC,3,fallback_only,69000,0.01,13,31,14,14
LIRCMOP7_BC,3,fallback_only,70000,0.01,13,35,16,16
LIRCMOP7_BC,3,fallback_only,71000,0.01,13,37,18,18
LIRCMOP7_BC,3,fallback_only,72000,0.01,13,39,17,17
LIRCMOP7_BC,3,fallback_only,73000,0.01,13,40,17,17
LIRCMOP7_BC,3,fallback_only,74000,0.01,13,39,16,16
LIRCMOP7_BC,3,fallback_only,75000,0.01,13,38,16,15
LIRCMOP7_BC,3,fallback_only,76000,0.01,13,37,15,13
LIRCMOP7_BC,3,fallback_only,77000,0.01,13,39,16,14
LIRCMOP7_BC,3,fallback_only,78000,0.01,13,40,17,14
LIRCMOP7_BC,3,fallback_only,79000,0.01,13,40,17,14
LIRCMOP7_BC,3,fallback_only,80000,0.01,13,41,18,13
LIRCMOP7_BC,3,fallback_only,81000,0.01,13,44,20,15
LIRCMOP7_BC,3,fallback_only,82000,0.01,13,44,19,14
LIRCMOP7_BC,3,fallback_only,83000,0.01,13,43,19,15
LIRCMOP7_BC,3,fallback_only,84000,0.01,13,44,20,16
LIRCMOP7_BC,3,fallback_only,85000,0.01,13,38,20,16
LIRCMOP7_BC,3,fallback_only,86000,0.01,13,39,20,16
LIRCMOP7_BC,3,fallback_only,87000,0.01,13,41,21,17
LIRCMOP7_BC,3,fallback_only,88000,0.01,13,39,21,18
LIRCMOP7_BC,3,fallback_only,89000,0.01,13,40,21,18
LIRCMOP7_BC,3,fallback_only,90000,0.01,13,40,21,18
LIRCMOP7_BC,3,fallback_only,91000,0.01,13,39,21,18
LIRCMOP7_BC,3,fallback_only,92000,0.01,13,39,22,18
LIRCMOP7_BC,3,fallback_only,93000,0.01,13,39,23,19
LIRCMOP7_BC,3,fallback_only,94000,0.01,13,39,23,19
LIRCMOP7_BC,3,fallback_only,95000,0.01,13,38,22,19
LIRCMOP7_BC,3,fallback_only,96000,0.01,13,39,22,19
LIRCMOP7_BC,3,fallback_only,97000,0.01,13,39,22,18
LIRCMOP7_BC,3,fallback_only,98000,0.01,13,39,22,18
LIRCMOP7_BC,3,fallback_only,99000,0.01,13,39,22,18
LIRCMOP7_BC,3,fallback_only,100000,0.01,13,41,24,18
LIRCMOP7_BC,3,fallback_only,50000,0.02,43,43,0,0
LIRCMOP7_BC,3,fallback_only,51000,0.02,43,44,1,1
LIRCMOP7_BC,3,fallback_only,52000,0.02,43,46,4,4
LIRCMOP7_BC,3,fallback_only,53000,0.02,43,49,9,9
LIRCMOP7_BC,3,fallback_only,54000,0.02,43,51,11,11
LIRCMOP7_BC,3,fallback_only,55000,0.02,43,56,13,13
LIRCMOP7_BC,3,fallback_only,56000,0.02,43,58,14,14
LIRCMOP7_BC,3,fallback_only,57000,0.02,43,58,14,13
LIRCMOP7_BC,3,fallback_only,58000,0.02,43,58,15,13
LIRCMOP7_BC,3,fallback_only,59000,0.02,43,64,17,15
LIRCMOP7_BC,3,fallback_only,60000,0.02,43,68,21,19
LIRCMOP7_BC,3,fallback_only,61000,0.02,43,72,23,21
LIRCMOP7_BC,3,fallback_only,62000,0.02,43,80,28,26
LIRCMOP7_BC,3,fallback_only,63000,0.02,43,81,30,28
LIRCMOP7_BC,3,fallback_only,64000,0.02,43,79,31,29
LIRCMOP7_BC,3,fallback_only,65000,0.02,43,81,32,30
LIRCMOP7_BC,3,fallback_only,66000,0.02,43,89,33,31
LIRCMOP7_BC,3,fallback_only,67000,0.02,43,96,35,33
LIRCMOP7_BC,3,fallback_only,68000,0.02,43,97,36,31
LIRCMOP7_BC,3,fallback_only,69000,0.02,43,99,37,32
LIRCMOP7_BC,3,fallback_only,70000,0.02,43,104,37,31
LIRCMOP7_BC,3,fallback_only,71000,0.02,43,106,37,32
LIRCMOP7_BC,3,fallback_only,72000,0.02,43,109,39,32
LIRCMOP7_BC,3,fallback_only,73000,0.02,43,112,41,35
LIRCMOP7_BC,3,fallback_only,74000,0.02,43,113,41,34
LIRCMOP7_BC,3,fallback_only,75000,0.02,43,113,42,34
LIRCMOP7_BC,3,fallback_only,76000,0.02,43,113,42,31
LIRCMOP7_BC,3,fallback_only,77000,0.02,43,115,41,31
LIRCMOP7_BC,3,fallback_only,78000,0.02,43,118,43,34
LIRCMOP7_BC,3,fallback_only,79000,0.02,43,118,41,32
LIRCMOP7_BC,3,fallback_only,80000,0.02,43,120,44,33
LIRCMOP7_BC,3,fallback_only,81000,0.02,43,123,45,33
LIRCMOP7_BC,3,fallback_only,82000,0.02,43,123,46,33
LIRCMOP7_BC,3,fallback_only,83000,0.02,43,123,47,35
LIRCMOP7_BC,3,fallback_only,84000,0.02,43,122,48,35
LIRCMOP7_BC,3,fallback_only,85000,0.02,43,117,49,37
LIRCMOP7_BC,3,fallback_only,86000,0.02,43,116,49,37
LIRCMOP7_BC,3,fallback_only,87000,0.02,43,117,48,36
LIRCMOP7_BC,3,fallback_only,88000,0.02,43,112,47,36
LIRCMOP7_BC,3,fallback_only,89000,0.02,43,112,48,37
LIRCMOP7_BC,3,fallback_only,90000,0.02,43,116,49,37
LIRCMOP7_BC,3,fallback_only,91000,0.02,43,115,49,36
LIRCMOP7_BC,3,fallback_only,92000,0.02,43,120,51,38
LIRCMOP7_BC,3,fallback_only,93000,0.02,43,121,53,40
LIRCMOP7_BC,3,fallback_only,94000,0.02,43,123,52,38
LIRCMOP7_BC,3,fallback_only,95000,0.02,43,122,53,38
LIRCMOP7_BC,3,fallback_only,96000,0.02,43,124,54,39
LIRCMOP7_BC,3,fallback_only,97000,0.02,43,126,56,41
LIRCMOP7_BC,3,fallback_only,98000,0.02,43,125,55,41
LIRCMOP7_BC,3,fallback_only,99000,0.02,43,131,58,43
LIRCMOP7_BC,3,fallback_only,100000,0.02,43,134,58,40
LIRCMOP7_BC,3,fallback_only,50000,0.04,206,206,0,0
LIRCMOP7_BC,3,fallback_only,51000,0.04,206,212,1,1
LIRCMOP7_BC,3,fallback_only,52000,0.04,206,216,2,2
LIRCMOP7_BC,3,fallback_only,53000,0.04,206,216,4,4
LIRCMOP7_BC,3,fallback_only,54000,0.04,206,218,4,4
LIRCMOP7_BC,3,fallback_only,55000,0.04,206,230,7,5
LIRCMOP7_BC,3,fallback_only,56000,0.04,206,229,8,6
LIRCMOP7_BC,3,fallback_only,57000,0.04,206,230,8,6
LIRCMOP7_BC,3,fallback_only,58000,0.04,206,232,9,7
LIRCMOP7_BC,3,fallback_only,59000,0.04,206,241,10,8
LIRCMOP7_BC,3,fallback_only,60000,0.04,206,245,14,11
LIRCMOP7_BC,3,fallback_only,61000,0.04,206,250,18,14
LIRCMOP7_BC,3,fallback_only,62000,0.04,206,262,20,16
LIRCMOP7_BC,3,fallback_only,63000,0.04,206,265,22,18
LIRCMOP7_BC,3,fallback_only,64000,0.04,206,266,22,18
LIRCMOP7_BC,3,fallback_only,65000,0.04,206,265,23,19
LIRCMOP7_BC,3,fallback_only,66000,0.04,206,275,23,18
LIRCMOP7_BC,3,fallback_only,67000,0.04,206,288,24,21
LIRCMOP7_BC,3,fallback_only,68000,0.04,206,293,22,20
LIRCMOP7_BC,3,fallback_only,69000,0.04,206,300,23,21
LIRCMOP7_BC,3,fallback_only,70000,0.04,206,305,24,20
LIRCMOP7_BC,3,fallback_only,71000,0.04,206,312,25,21
LIRCMOP7_BC,3,fallback_only,72000,0.04,206,312,27,22
LIRCMOP7_BC,3,fallback_only,73000,0.04,206,311,28,23
LIRCMOP7_BC,3,fallback_only,74000,0.04,206,316,26,21
LIRCMOP7_BC,3,fallback_only,75000,0.04,206,318,29,22
LIRCMOP7_BC,3,fallback_only,76000,0.04,206,317,31,22
LIRCMOP7_BC,3,fallback_only,77000,0.04,206,321,32,23
LIRCMOP7_BC,3,fallback_only,78000,0.04,206,321,33,24
LIRCMOP7_BC,3,fallback_only,79000,0.04,206,322,33,24
LIRCMOP7_BC,3,fallback_only,80000,0.04,206,317,33,26
LIRCMOP7_BC,3,fallback_only,81000,0.04,206,317,34,26
LIRCMOP7_BC,3,fallback_only,82000,0.04,206,320,33,25
LIRCMOP7_BC,3,fallback_only,83000,0.04,206,315,33,25
LIRCMOP7_BC,3,fallback_only,84000,0.04,206,318,34,26
LIRCMOP7_BC,3,fallback_only,85000,0.04,206,310,35,26
LIRCMOP7_BC,3,fallback_only,86000,0.04,206,316,35,26
LIRCMOP7_BC,3,fallback_only,87000,0.04,206,318,34,26
LIRCMOP7_BC,3,fallback_only,88000,0.04,206,315,33,26
LIRCMOP7_BC,3,fallback_only,89000,0.04,206,312,32,25
LIRCMOP7_BC,3,fallback_only,90000,0.04,206,316,31,25
LIRCMOP7_BC,3,fallback_only,91000,0.04,206,311,32,25
LIRCMOP7_BC,3,fallback_only,92000,0.04,206,319,32,25
LIRCMOP7_BC,3,fallback_only,93000,0.04,206,315,34,27
LIRCMOP7_BC,3,fallback_only,94000,0.04,206,312,35,28
LIRCMOP7_BC,3,fallback_only,95000,0.04,206,312,35,27
LIRCMOP7_BC,3,fallback_only,96000,0.04,206,319,36,28
LIRCMOP7_BC,3,fallback_only,97000,0.04,206,320,38,30
LIRCMOP7_BC,3,fallback_only,98000,0.04,206,321,37,29
LIRCMOP7_BC,3,fallback_only,99000,0.04,206,327,37,29
LIRCMOP7_BC,3,fallback_only,100000,0.04,206,322,39,30
