problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP7_BC,3,stable_no_side,50000,0.01,29,29,0,0
LIRCMOP7_BC,3,stable_no_side,51000,0.01,29,27,0,0
LIRCMOP7_BC,3,stable_no_side,52000,0.01,29,29,3,2
LIRCMOP7_BC,3,stable_no_side,53000,0.01,29,30,4,4
LIRCMOP7_BC,3,stable_no_side,54000,0.01,29,30,5,4
LIRCMOP7_BC,3,stable_no_side,55000,0.01,29,29,4,3
LIRCMOP7_BC,3,stable_no_side,56000,0.01,29,30,6,5
LIRCMOP7_BC,3,stable_no_side,57000,0.01,29,30,7,6
LIRCMOP7_BC,3,stable_no_side,58000,0.01,29,26,7,6
LIRCMOP7_BC,3,stable_no_side,59000,0.01,29,26,7,6
LIRCMOP7_BC,3,stable_no_side,60000,0.01,29,27,8,7
LIRCMOP7_BC,3,stable_no_side,61000,0.01,29,25,8,7
LIRCMOP7_BC,3,stable_no_side,62000,0.01,29,25,8,6
LIRCMOP7_BC,3,stable_no_side,63000,0.01,29,26,9,7
LIRCMOP7_BC,3,stable_no_side,64000,0.01,29,26,9,6
LIRCMOP7_BC,3,stable_no_side,65000,0.01,29,27,9,6
LIRCMOP7_BC,3,stable_no_side,66000,0.01,29,27,9,7
LIRCMOP7_BC,3,stable_no_side,67000,0.01,29,28,9,6
LIRCMOP7_BC,3,stable_no_side,68000,0.01,29,28,9,6
LIRCMOP7_BC,3,stable_no_side,69000,0.01,29,28,9,6
LIRCMOP7_BC,3,stable_no_side,70000,0.01,29,27,8,5
LIRCMOP7_BC,3,stable_no_side,71000,0.01,29,30,11,8
LIRCMOP7_BC,3,stable_no_side,72000,0.01,29,30,11,8
LIRCMOP7_BC,3,stable_no_side,73000,0.01,29,30,11,8
LIRCMOP7_BC,3,stable_no_side,74000,0.01,29,32,13,10
LIRCMOP7_BC,3,stable_no_side,75000,0.01,29,31,13,10
LIRCMOP7_BC,3,stable_no_side,76000,0.01,29,32,14,11
LIRCMOP7_BC,3,stable_no_side,77000,0.01,29,35,17,13
LIRCMOP7_BC,3,stable_no_side,78000,0.01,29,37,16,11
LIRCMOP7_BC,3,stable_no_side,79000,0.01,29,38,17,12
LIRCMOP7_BC,3,stable_no_side,80000,0.01,29,39,17,12
LIRCMOP7_BC,3,stable_no_side,81000,0.01,29,40,18,13
LIRCMOP7_BC,3,stable_no_side,82000,0.01,29,39,17,12
LIRCMOP7_BC,3,stable_no_side,83000,0.01,29,36,16,12
LIRCMOP7_BC,3,stable_no_side,84000,0.01,29,36,16,12
LIRCMOP7_BC,3,stable_no_side,85000,0.01,29,38,16,12
LIRCMOP7_BC,3,stable_no_side,86000,0.01,29,39,17,12
LIRCMOP7_BC,3,stable_no_side,87000,0.01,29,41,19,13
LIRCMOP7_BC,3,stable_no_side,88000,0.01,29,42,20,14
LIRCMOP7_BC,3,stable_no_side,89000,0.01,29,44,21,16
LIRCMOP7_BC,3,stable_no_side,90000,0.01,29,45,22,17
LIRCMOP7_BC,3,stable_no_side,91000,0.01,29,42,24,17
LIRCMOP7_BC,3,stable_no_side,92000,0.01,29,38,23,18
LIRCMOP7_BC,3,stable_no_side,93000,0.01,29,42,25,20
LIRCMOP7_BC,3,stable_no_side,94000,0.01,29,40,23,18
LIRCMOP7_BC,3,stable_no_side,95000,0.01,29,40,23,18
LIRCMOP7_BC,3,stable_no_side,96000,0.01,29,41,23,18
LIRCMOP7_BC,3,stable_no_side,97000,0.01,29,44,26,21
LIRCMOP7_BC,3,stable_no_side,98000,0.01,29,47,27,22
LIRCMOP7_BC,3,stable_no_side,99000,0.01,29,47,28,21
LIRCMOP7_BC,3,stable_no_side,100000,0.01,29,46,26,19
LIRCMOP7_BC,3,stable_no_side,50000,0.02,107,107,0,0
LIRCMOP7_BC,3,stable_no_side,51000,0.02,107,110,1,1
LIRCMOP7_BC,3,stable_no_side,52000,0.02,107,112,3,2
LIRCMOP7_BC,3,stable_no_side,53000,0.02,107,114,5,5
LIRCMOP7_BC,3,stable_no_side,54000,0.02,107,110,7,7
LIRCMOP7_BC,3,stable_no_side,55000,0.02,107,109,5,5
LIRCMOP7_BC,3,stable_no_side,56000,0.02,107,111,6,6
LIRCMOP7_BC,3,stable_no_side,57000,0.02,107,111,7,7
LIRCMOP7_BC,3,stable_no_side,58000,0.02,107,104,8,6
LIRCMOP7_BC,3,stable_no_side,59000,0.02,107,106,10,8
LIRCMOP7_BC,3,stable_no_side,60000,0.02,107,108,13,11
LIRCMOP7_BC,3,stable_no_side,61000,0.02,107,103,14,13
LIRCMOP7_BC,3,stable_no_side,62000,0.02,107,104,14,12
LIRCMOP7_BC,3,stable_no_side,63000,0.02,107,109,15,12
LIRCMOP7_BC,3,stable_no_side,64000,0.02,107,112,18,15
LIRCMOP7_BC,3,stable_no_side,65000,0.02,107,114,20,17
LIRCMOP7_BC,3,stable_no_side,66000,0.02,107,111,20,16
LIRCMOP7_BC,3,stable_no_side,67000,0.02,107,117,22,17
LIRCMOP7_BC,3,stable_no_side,68000,0.02,107,120,24,19
LIRCMOP7_BC,3,stable_no_side,69000,0.02,107,116,23,17
LIRCMOP7_BC,3,stable_no_side,70000,0.02,107,119,24,18
LIRCMOP7_BC,3,stable_no_side,71000,0.02,107,122,25,19
LIRCMOP7_BC,3,stable_no_side,72000,0.02,107,124,27,20
LIRCMOP7_BC,3,stable_no_side,73000,0.02,107,125,27,19
LIRCMOP7_BC,3,stable_no_side,74000,0.02,107,128,29,20
LIRCMOP7_BC,3,stable_no_side,75000,0.02,107,129,30,21
LIRCMOP7_BC,3,stable_no_side,76000,0.02,107,130,32,22
LIRCMOP7_BC,3,stable_no_side,77000,0.02,107,136,35,24
LIRCMOP7_BC,3,stable_no_side,78000,0.02,107,137,35,24
LIRCMOP7_BC,3,stable_no_side,79000,0.02,107,141,34,24
LIRCMOP7_BC,3,stable_no_side,80000,0.02,107,146,35,24
LIRCMOP7_BC,3,stable_no_side,81000,0.02,107,147,36,25
LIRCMOP7_BC,3,stable_no_side,82000,0.02,107,139,36,25
LIRCMOP7_BC,3,stable_no_side,83000,0.02,107,139,35,25
LIRCMOP7_BC,3,stable_no_side,84000,0.02,107,142,36,27
