problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP6_BC,11,original,50000,0.01,6,6,0,0
LIRCMOP6_BC,11,original,51000,0.01,6,7,2,2
LIRCMOP6_BC,11,original,52000,0.01,6,7,2,2
LIRCMOP6_BC,11,original,53000,0.01,6,7,2,2
LIRCMOP6_BC,11,original,54000,0.01,6,7,3,3
LIRCMOP6_BC,11,original,55000,0.01,6,8,4,4
LIRCMOP6_BC,11,original,56000,0.01,6,10,5,5
LIRCMOP6_BC,11,original,57000,0.01,6,11,6,6
LIRCMOP6_BC,11,original,58000,0.01,6,18,9,9
LIRCMOP6_BC,11,original,59000,0.01,6,19,9,8
LIRCMOP6_BC,11,original,60000,0.01,6,20,9,8
LIRCMOP6_BC,11,original,61000,0.01,6,17,7,6
LIRCMOP6_BC,11,original,62000,0.01,6,8,6,5
LIRCMOP6_BC,11,original,63000,0.01,6,7,6,5
LIRCMOP6_BC,11,original,64000,0.01,6,7,6,5
LIRCMOP6_BC,11,original,65000,0.01,6,8,6,5
LIRCMOP6_BC,11,original,66000,0.01,6,7,6,5
LIRCMOP6_BC,11,original,67000,0.01,6,7,6,5
LIRCMOP6_BC,11,original,68000,0.01,6,8,7,6
LIRCMOP6_BC,11,original,69000,0.01,6,8,7,6
LIRCMOP6_BC,11,original,70000,0.01,6,8,7,5
LIRCMOP6_BC,11,original,71000,0.01,6,3,3,3
LIRCMOP6_BC,11,original,72000,0.01,6,3,3,3
LIRCMOP6_BC,11,original,73000,0.01,6,5,5,5
LIRCMOP6_BC,11,original,74000,0.01,6,5,5,5
LIRCMOP6_BC,11,original,75000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,76000,0.01,6,0,0,0
LIRCMOP6_BC,11,original,77000,0.01,6,0,0,0
LIRCMOP6_BC,11,original,78000,0.01,6,0,0,0
LIRCMOP6_BC,11,original,79000,0.01,6,0,0,0
LIRCMOP6_BC,11,original,80000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,81000,0.01,6,2,2,2
LIRCMOP6_BC,11,original,82000,0.01,6,4,3,3
LIRCMOP6_BC,11,original,83000,0.01,6,4,3,3
LIRCMOP6_BC,11,original,84000,0.01,6,3,3,3
LIRCMOP6_BC,11,original,85000,0.01,6,3,3,3
LIRCMOP6_BC,11,original,86000,0.01,6,4,4,4
LIRCMOP6_BC,11,original,87000,0.01,6,4,4,4
LIRCMOP6_BC,11,original,88000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,89000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,90000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,91000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,92000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,93000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,94000,0.01,6,1,1,1
LIRCMOP6_BC,11,original,95000,0.01,6,0,0,0
LIRCMOP6_BC,11,original,96000,0.01,6,0,0,0
LIRCMOP6_BC,11,original,97000,0.01,6,2,2,2
LIRCMOP6_BC,11,original,98000,0.01,6,2,2,1
LIRCMOP6_BC,11,original,99000,0.01,6,2,2,1
LIRCMOP6_BC,11,original,100000,0.01,6,2,2,1
LIRCMOP6_BC,11,original,50000,0.02,23,23,0,0
LIRCMOP6_BC,11,original,51000,0.02,23,28,2,2
LIRCMOP6_BC,11,original,52000,0.02,23,30,4,4
LIRCMOP6_BC,11,original,53000,0.02,23,32,4,4
LIRCMOP6_BC,11,original,54000,0.02,23,27,5,5
LIRCMOP6_BC,11,original,55000,0.02,23,27,7,7
LIRCMOP6_BC,11,original,56000,0.02,23,34,7,7
LIRCMOP6_BC,11,original,57000,0.02,23,37,8,8
LIRCMOP6_BC,11,original,58000,0.02,23,47,9,9
LIRCMOP6_BC,11,original,59000,0.02,23,50,9,9
LIRCMOP6_BC,11,original,60000,0.02,23,54,11,11
LIRCMOP6_BC,11,original,61000,0.02,23,51,11,11
LIRCMOP6_BC,11,original,62000,0.02,23,31,12,12
LIRCMOP6_BC,11,original,63000,0.02,23,34,16,16
LIRCMOP6_BC,11,original,64000,0.02,23,36,18,18
LIRCMOP6_BC,11,original,65000,0.02,23,40,17,17
LIRCMOP6_BC,11,original,66000,0.02,23,38,18,18
LIRCMOP6_BC,11,original,67000,0.02,23,41,18,18
LIRCMOP6_BC,11,original,68000,0.02,23,44,20,20
LIRCMOP6_BC,11,original,69000,0.02,23,42,23,23
LIRCMOP6_BC,11,original,70000,0.02,23,48,24,23
LIRCMOP6_BC,11,original,71000,0.02,23,21,9,9
LIRCMOP6_BC,11,original,72000,0.02,23,23,9,9
LIRCMOP6_BC,11,original,73000,0.02,23,28,10,10
LIRCMOP6_BC,11,original,74000,0.02,23,23,11,11
LIRCMOP6_BC,11,original,75000,0.02,23,4,4,4
LIRCMOP6_BC,11,original,76000,0.02,23,3,2,2
LIRCMOP6_BC,11,original,77000,0.02,23,3,1,1
LIRCMOP6_BC,11,original,78000,0.02,23,2,2,2
LIRCMOP6_BC,11,original,79000,0.02,23,2,2,2
LIRCMOP6_BC,11,original,80000,0.02,23,4,2,2
LIRCMOP6_BC,11,original,81000,0.02,23,7,4,4
LIRCMOP6_BC,11,original,82000,0.02,23,9,4,4
LIRCMOP6_BC,11,original,83000,0.02,23,13,4,4
LIRCMOP6_BC,11,original,84000,0.02,23,9,5,5
LIRCMOP6_BC,11,original,85000,0.02,23,10,5,5
LIRCMOP6_BC,11,original,86000,0.02,23,12,6,6
LIRCMOP6_BC,11,original,87000,0.02,23,14,7,7
LIRCMOP6_BC,11,original,88000,0.02,23,14,5,5
LIRCMOP6_BC,11,original,89000,0.02,23,13,5,5
LIRCMOP6_BC,11,original,90000,0.02,23,20,7,7
LIRCMOP6_BC,11,original,91000,0.02,23,19,6,6
LIRCMOP6_BC,11,original,92000,0.02,23,13,4,4
LIRCMOP6_BC,11,original,93000,0.02,23,20,5,5
LIRCMOP6_BC,11,original,94000,0.02,23,23,5,5
LIRCMOP6_BC,11,original,95000,0.02,23,24,4,4
LIRCMOP6_BC,11,original,96000,0.02,23,25,4,4
LIRCMOP6_BC,11,original,97000,0.02,23,19,3,3
LIRCMOP6_BC,11,original,98000,0.02,23,22,3,3
LIRCMOP6_BC,11,original,99000,0.02,23,24,3,3
LIRCMOP6_BC,11,original,100000,0.02,23,30,3,3
LIRCMOP6_BC,11,original,50000,0.04,34,34,0,0
LIRCMOP6_BC,11,original,51000,0.04,34,37,2,2
LIRCMOP6_BC,11,original,52000,0.04,34,39,2,2
LIRCMOP6_BC,11,original,53000,0.04,34,44,3,3
LIRCMOP6_BC,11,original,54000,0.04,34,38,4,4
LIRCMOP6_BC,11,original,55000,0.04,34,40,6,6
LIRCMOP6_BC,11,original,56000,0.04,34,50,6,6
LIRCMOP6_BC,11,original,57000,0.04,34,68,9,9
LIRCMOP6_BC,11,original,58000,0.04,34,85,11,11
LIRCMOP6_BC,11,original,59000,0.04,34,98,13,13
LIRCMOP6_BC,11,original,60000,0.04,34,99,13,13
LIRCMOP6_BC,11,original,61000,0.04,34,98,14,14
LIRCMOP6_BC,11,original,62000,0.04,34,79,16,16
LIRCMOP6_BC,11,original,63000,0.04,34,90,17,17
LIRCMOP6_BC,11,original,64000,0.04,34,97,19,19
LIRCMOP6_BC,11,original,65000,0.04,34,94,20,20
LIRCMOP6_BC,11,original,66000,0.04,34,100,21,21
LIRCMOP6_BC,11,original,67000,0.04,34,113,22,22
LIRCMOP6_BC,11,original,68000,0.04,34,123,23,23
LIRCMOP6_BC,11,original,69000,0.04,34,131,22,22
LIRCMOP6_BC,11,original,70000,0.04,34,150,23,22
LIRCMOP6_BC,11,original,71000,0.04,34,67,8,8
LIRCMOP6_BC,11,original,72000,0.04,34,75,8,8
LIRCMOP6_BC,11,original,73000,0.04,34,71,9,9
LIRCMOP6_BC,11,original,74000,0.04,34,61,10,10
LIRCMOP6_BC,11,original,75000,0.04,34,13,6,6
LIRCMOP6_BC,11,original,76000,0.04,34,11,5,5
LIRCMOP6_BC,11,original,77000,0.04,34,10,3,3
LIRCMOP6_BC,11,original,78000,0.04,34,11,4,4
LIRCMOP6_BC,11,original,79000,0.04,34,10,4,4
LIRCMOP6_BC,11,original,80000,0.04,34,11,4,4
LIRCMOP6_BC,11,original,81000,0.04,34,13,5,5
LIRCMOP6_BC,11,original,82000,0.04,34,16,6,6
LIRCMOP6_BC,11,original,83000,0.04,34,24,6,6
