problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP7_BC,12,pair_only,50000,0.01,436,436,0,0
LIRCMOP7_BC,12,pair_only,51000,0.01,436,442,3,3
LIRCMOP7_BC,12,pair_only,52000,0.01,436,448,8,6
LIRCMOP7_BC,12,pair_only,53000,0.01,436,466,8,6
LIRCMOP7_BC,12,pair_only,54000,0.01,436,467,7,5
LIRCMOP7_BC,12,pair_only,55000,0.01,436,462,14,10
LIRCMOP7_BC,12,pair_only,56000,0.01,436,458,12,9
LIRCMOP7_BC,12,pair_only,57000,0.01,436,471,15,9
LIRCMOP7_BC,12,pair_only,58000,0.01,436,470,13,10
LIRCMOP7_BC,12,pair_only,59000,0.01,436,477,15,12
LIRCMOP7_BC,12,pair_only,60000,0.01,436,469,16,11
LIRCMOP7_BC,12,pair_only,61000,0.01,436,451,19,13
LIRCMOP7_BC,12,pair_only,62000,0.01,436,448,19,12
LIRCMOP7_BC,12,pair_only,63000,0.01,436,456,22,12
LIRCMOP7_BC,12,pair_only,64000,0.01,436,460,22,16
LIRCMOP7_BC,12,pair_only,65000,0.01,436,448,25,18
LIRCMOP7_BC,12,pair_only,66000,0.01,436,458,24,17
LIRCMOP7_BC,12,pair_only,67000,0.01,436,447,23,18
LIRCMOP7_BC,12,pair_only,68000,0.01,436,440,27,20
LIRCMOP7_BC,12,pair_only,69000,0.01,436,437,30,22
LIRCMOP7_BC,12,pair_only,70000,0.01,436,420,35,28
LIRCMOP7_BC,12,pair_only,71000,0.01,436,437,40,30
LIRCMOP7_BC,12,pair_only,72000,0.01,436,447,41,34
LIRCMOP7_BC,12,pair_only,73000,0.01,436,456,46,37
LIRCMOP7_BC,12,pair_only,74000,0.01,436,449,46,34
LIRCMOP7_BC,12,pair_only,75000,0.01,436,447,45,35
LIRCMOP7_BC,12,pair_only,76000,0.01,436,450,50,36
LIRCMOP7_BC,12,pair_only,77000,0.01,436,440,55,37
LIRCMOP7_BC,12,pair_only,78000,0.01,436,450,58,37
