problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP8_BC,12,fallback_only,50000,0.01,15,15,0,0
LIRCMOP8_BC,12,fallback_only,51000,0.01,15,14,0,0
LIRCMOP8_BC,12,fallback_only,52000,0.01,15,16,2,2
LIRCMOP8_BC,12,fallback_only,53000,0.01,15,16,2,2
LIRCMOP8_BC,12,fallback_only,54000,0.01,15,16,3,3
LIRCMOP8_BC,12,fallback_only,55000,0.01,15,18,5,4
LIRCMOP8_BC,12,fallback_only,56000,0.01,15,19,5,4
LIRCMOP8_BC,12,fallback_only,57000,0.01,15,19,5,4
LIRCMOP8_BC,12,fallback_only,58000,0.01,15,19,7,6
LIRCMOP8_BC,12,fallback_only,59000,0.01,15,19,7,6
LIRCMOP8_BC,12,fallback_only,60000,0.01,15,23,10,9
LIRCMOP8_BC,12,fallback_only,61000,0.01,15,22,10,9
LIRCMOP8_BC,12,fallback_only,62000,0.01,15,21,10,7
LIRCMOP8_BC,12,fallback_only,63000,0.01,15,23,11,8
LIRCMOP8_BC,12,fallback_only,64000,0.01,15,24,12,9
LIRCMOP8_BC,12,fallback_only,65000,0.01,15,22,12,9
LIRCMOP8_BC,12,fallback_only,66000,0.01,15,26,14,11
LIRCMOP8_BC,12,fallback_only,67000,0.01,15,26,14,11
LIRCMOP8_BC,12,fallback_only,68000,0.01,15,26,14,10
LIRCMOP8_BC,12,fallback_only,69000,0.01,15,26,14,10
LIRCMOP8_BC,12,fallback_only,70000,0.01,15,25,14,10
LIRCMOP8_BC,12,fallback_only,71000,0.01,15,25,15,9
LIRCMOP8_BC,12,fallback_only,72000,0.01,15,29,16,10
LIRCMOP8_BC,12,fallback_only,73000,0.01,15,28,17,11
LIRCMOP8_BC,12,fallback_only,74000,0.01,15,29,18,12
LIRCMOP8_BC,12,fallback_only,75000,0.01,15,29,17,11
LIRCMOP8_BC,12,fallback_only,76000,0.01,15,27,16,11
LIRCMOP8_BC,12,fallback_only,77000,0.01,15,27,17,12
LIRCMOP8_BC,12,fallback_only,78000,0.01,15,28,18,13
LIRCMOP8_BC,12,fallback_only,79000,0.01,15,29,19,14
LIRCMOP8_BC,12,fallback_only,80000,0.01,15,33,22,18
LIRCMOP8_BC,12,fallback_only,81000,0.01,15,33,22,16
LIRCMOP8_BC,12,fallback_only,82000,0.01,15,37,25,17
LIRCMOP8_BC,12,fallback_only,83000,0.01,15,37,25,17
LIRCMOP8_BC,12,fallback_only,84000,0.01,15,36,24,15
LIRCMOP8_BC,12,fallback_only,85000,0.01,15,40,25,15
LIRCMOP8_BC,12,fallback_only,86000,0.01,15,39,24,15
LIRCMOP8_BC,12,fallback_only,87000,0.01,15,39,26,17
LIRCMOP8_BC,12,fallback_only,88000,0.01,15,41,27,19
LIRCMOP8_BC,12,fallback_only,89000,0.01,15,41,27,19
LIRCMOP8_BC,12,fallback_only,90000,0.01,15,42,26,18
LIRCMOP8_BC,12,fallback_only,91000,0.01,15,39,26,19
LIRCMOP8_BC,12,fallback_only,92000,0.01,15,39,26,19
LIRCMOP8_BC,12,fallback_only,93000,0.01,15,43,28,20
LIRCMOP8_BC,12,fallback_only,94000,0.01,15,40,27,19
LIRCMOP8_BC,12,fallback_only,95000,0.01,15,40,26,18
LIRCMOP8_BC,12,fallback_only,96000,0.01,15,41,27,19
LIRCMOP8_BC,12,fallback_only,97000,0.01,15,42,27,19
LIRCMOP8_BC,12,fallback_only,98000,0.01,15,40,24,18
LIRCMOP8_BC,12,fallback_only,99000,0.01,15,40,25,19
LIRCMOP8_BC,12,fallback_only,100000,0.01,15,40,26,21
LIRCMOP8_BC,12,fallback_only,50000,0.02,84,84,0,0
LIRCMOP8_BC,12,fallback_only,51000,0.02,84,88,4,4
LIRCMOP8_BC,12,fallback_only,52000,0.02,84,94,6,6
LIRCMOP8_BC,12,fallback_only,53000,0.02,84,90,5,5
LIRCMOP8_BC,12,fallback_only,54000,0.02,84,90,7,6
LIRCMOP8_BC,12,fallback_only,55000,0.02,84,90,8,6
LIRCMOP8_BC,12,fallback_only,56000,0.02,84,93,9,7
LIRCMOP8_BC,12,fallback_only,57000,0.02,84,85,6,4
LIRCMOP8_BC,12,fallback_only,58000,0.02,84,79,9,7
LIRCMOP8_BC,12,fallback_only,59000,0.02,84,77,13,10
LIRCMOP8_BC,12,fallback_only,60000,0.02,84,86,16,13
LIRCMOP8_BC,12,fallback_only,61000,0.02,84,81,16,12
LIRCMOP8_BC,12,fallback_only,62000,0.02,84,88,19,12
