problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1
LIRCMOP8_BC,13,stable_no_side,50000,0.01,32,32,0,0
LIRCMOP8_BC,13,stable_no_side,51000,0.01,32,34,2,1
LIRCMOP8_BC,13,stable_no_side,52000,0.01,32,35,2,1
LIRCMOP8_BC,13,stable_no_side,53000,0.01,32,35,4,3
LIRCMOP8_BC,13,stable_no_side,54000,0.01,32,37,5,4
LIRCMOP8_BC,13,stable_no_side,55000,0.01,32,36,4,3
LIRCMOP8_BC,13,stable_no_side,56000,0.01,32,42,7,6
LIRCMOP8_BC,13,stable_no_side,57000,0.01,32,43,9,8
LIRCMOP8_BC,13,stable_no_side,58000,0.01,32,41,9,8
LIRCMOP8_BC,13,stable_no_side,59000,0.01,32,40,9,8
LIRCMOP8_BC,13,stable_no_side,60000,0.01,32,36,9,8
LIRCMOP8_BC,13,stable_no_side,61000,0.01,32,41,13,12
LIRCMOP8_BC,13,stable_no_side,62000,0.01,32,46,14,13
LIRCMOP8_BC,13,stable_no_side,63000,0.01,32,49,14,12
LIRCMOP8_BC,13,stable_no_side,64000,0.01,32,46,14,11
LIRCMOP8_BC,13,stable_no_side,65000,0.01,32,48,16,13
LIRCMOP8_BC,13,stable_no_side,66000,0.01,32,43,16,13
LIRCMOP8_BC,13,stable_no_side,67000,0.01,32,44,17,14
LIRCMOP8_BC,13,stable_no_side,68000,0.01,32,45,18,15
LIRCMOP8_BC,13,stable_no_side,69000,0.01,32,45,18,14
LIRCMOP8_BC,13,stable_no_side,70000,0.01,32,45,18,14
LIRCMOP8_BC,13,stable_no_side,71000,0.01,32,46,20,16
LIRCMOP8_BC,13,stable_no_side,72000,0.01,32,47,20,16
LIRCMOP8_BC,13,stable_no_side,73000,0.01,32,48,21,17
LIRCMOP8_BC,13,stable_no_side,74000,0.01,32,48,21,17
LIRCMOP8_BC,13,stable_no_side,75000,0.01,32,50,21,18
LIRCMOP8_BC,13,stable_no_side,76000,0.01,32,53,21,18
LIRCMOP8_BC,13,stable_no_side,77000,0.01,32,54,21,18
LIRCMOP8_BC,13,stable_no_side,78000,0.01,32,51,21,18
