problem,threshold,arm,n,finalNovelWitnessesMean,finalCoveredWitnessesMean,lateSnapshotNovelWitnessesMean
ALL,0.01,fallback_only,20,11.7,8.95,7.315686274509804
ALL,0.01,original,20,10.75,8.1,6.066666666666666
ALL,0.01,pair_only,20,37.35,20.35,25.349019607843136
ALL,0.01,stable_no_side,20,11.8,8.95,7.595098039215686
ALL,0.02,fallback_only,20,25.9,18.95,16.684313725490195
ALL,0.02,original,20,26.95,19.65,16.69313725490196
ALL,0.02,pair_only,20,29.35,16.4,19.809803921568626
ALL,0.02,stable_no_side,20,24.6,17.95,15.707843137254901
ALL,0.04,fallback_only,20,18.25,13.3,10.555882352941177
ALL,0.04,original,20,15.7,11.9,10.619607843137254
ALL,0.04,pair_only,20,15.05,9.55,9.907843137254902
ALL,0.04,stable_no_side,20,15.35,11.6,9.556862745098039
LIRCMOP5_BC,0.01,fallback_only,5,2.0,1.8,1.6666666666666667
LIRCMOP5_BC,0.01,original,5,2.4,2.0,1.2901960784313726
LIRCMOP5_BC,0.01,pair_only,5,2.2,2.2,3.6588235294117646
LIRCMOP5_BC,0.01,stable_no_side,5,1.4,1.2,1.4745098039215687
LIRCMOP5_BC,0.02,fallback_only,5,3.4,3.2,3.2980392156862743
LIRCMOP5_BC,0.02,original,5,3.4,3.0,3.011764705882353
LIRCMOP5_BC,0.02,pair_only,5,2.0,2.0,3.1882352941176473
LIRCMOP5_BC,0.02,stable_no_side,5,3.0,2.6,3.176470588235294
LIRCMOP5_BC,0.04,fallback_only,5,2.0,2.0,2.1215686274509804
LIRCMOP5_BC,0.04,original,5,2.8,2.8,3.823529411764706
LIRCMOP5_BC,0.04,pair_only,5,1.8,1.8,2.184313725490196
LIRCMOP5_BC,0.04,stable_no_side,5,2.6,2.4,2.9411764705882355
LIRCMOP6_BC,0.01,fallback_only,5,0.0,0.0,0.6039215686274509
LIRCMOP6_BC,0.01,original,5,0.4,0.2,1.2823529411764707
LIRCMOP6_BC,0.01,pair_only,5,0.0,0.0,2.8823529411764706
LIRCMOP6_BC,0.01,stable_no_side,5,0.0,0.0,0.8196078431372549
LIRCMOP6_BC,0.02,fallback_only,5,0.0,0.0,1.3411764705882352
LIRCMOP6_BC,0.02,original,5,0.6,0.6,2.8941176470588235
LIRCMOP6_BC,0.02,pair_only,5,0.0,0.0,2.0823529411764707
LIRCMOP6_BC,0.02,stable_no_side,5,0.0,0.0,2.3137254901960786
LIRCMOP6_BC,0.04,fallback_only,5,0.2,0.2,1.0745098039215686
LIRCMOP6_BC,0.04,original,5,1.2,1.2,2.768627450980392
LIRCMOP6_BC,0.04,pair_only,5,0.0,0.0,1.0745098039215686
LIRCMOP6_BC,0.04,stable_no_side,5,0.0,0.0,1.415686274509804
LIRCMOP7_BC,0.01,fallback_only,5,21.4,16.8,12.215686274509803
LIRCMOP7_BC,0.01,original,5,16.8,12.8,9.419607843137255
LIRCMOP7_BC,0.01,pair_only,5,64.6,34.2,41.03529411764706
LIRCMOP7_BC,0.01,stable_no_side,5,20.2,15.0,12.192156862745097
LIRCMOP7_BC,0.02,fallback_only,5,49.0,37.0,29.980392156862745
LIRCMOP7_BC,0.02,original,5,47.2,35.0,27.105882352941176
LIRCMOP7_BC,0.02,pair_only,5,51.2,28.4,31.50588235294118
LIRCMOP7_BC,0.02,stable_no_side,5,43.6,32.2,25.545098039215688
LIRCMOP7_BC,0.04,fallback_only,5,36.0,26.4,19.250980392156862
LIRCMOP7_BC,0.04,original,5,32.2,21.8,20.266666666666666
LIRCMOP7_BC,0.04,pair_only,5,26.2,15.6,16.266666666666666
LIRCMOP7_BC,0.04,stable_no_side,5,30.8,21.8,17.858823529411765
LIRCMOP8_BC,0.01,fallback_only,5,23.4,17.2,14.776470588235295
LIRCMOP8_BC,0.01,original,5,23.4,17.4,12.27450980392157
LIRCMOP8_BC,0.01,pair_only,5,82.6,45.0,53.819607843137256
LIRCMOP8_BC,0.01,stable_no_side,5,25.6,19.6,15.894117647058824
LIRCMOP8_BC,0.02,fallback_only,5,51.2,35.6,32.11764705882353
LIRCMOP8_BC,0.02,original,5,56.6,40.0,33.76078431372549
LIRCMOP8_BC,0.02,pair_only,5,64.2,35.2,42.462745098039214
LIRCMOP8_BC,0.02,stable_no_side,5,51.8,37.0,31.79607843137255
LIRCMOP8_BC,0.04,fallback_only,5,34.8,24.6,19.776470588235295
LIRCMOP8_BC,0.04,original,5,26.6,21.8,15.619607843137254
LIRCMOP8_BC,0.04,pair_only,5,32.2,20.8,20.105882352941176
LIRCMOP8_BC,0.04,stable_no_side,5,28.0,22.2,16.011764705882353
