problem,seed,arm,lateSelected,lateFeasible,lateRetainedP1,lateRetainedP2,lateRetainedEither,lateRetainedNeither,lateGenerations,lateFullyFeasibleP1Generations
LIRCMOP5_BC,11,original,5000,427,15,11,22,4978,250,250
LIRCMOP5_BC,12,original,5000,1326,5,0,5,4995,250,250
LIRCMOP5_BC,13,original,5000,1459,0,0,0,5000,250,250
LIRCMOP5_BC,14,original,5000,1023,12,11,22,4978,250,250
LIRCMOP5_BC,15,original,5000,528,0,0,0,5000,250,250
LIRCMOP6_BC,11,original,5000,516,21,13,26,4974,250,250
LIRCMOP6_BC,12,original,3260,558,8,11,15,3245,250,250
LIRCMOP6_BC,13,original,3820,813,0,0,0,3820,250,250
LIRCMOP6_BC,14,original,3740,668,8,2,9,3731,250,250
LIRCMOP6_BC,15,original,2720,488,6,8,10,2710,250,250
LIRCMOP7_BC,11,original,5000,377,17,0,17,4983,250,250
LIRCMOP7_BC,12,original,5000,375,29,5,34,4966,250,250
LIRCMOP7_BC,13,original,5000,313,18,4,22,4978,250,250
LIRCMOP7_BC,14,original,5000,354,29,16,45,4955,250,250
LIRCMOP7_BC,15,original,5000,327,16,1,17,4983,250,250
LIRCMOP8_BC,11,original,5000,716,38,1,39,4961,250,250
LIRCMOP8_BC,12,original,5000,511,37,4,41,4959,250,250
LIRCMOP8_BC,13,original,5000,486,22,8,30,4970,250,250
LIRCMOP8_BC,14,original,5000,647,38,15,51,4949,250,250
LIRCMOP8_BC,15,original,5000,295,14,5,19,4981,250,250
LIRCMOP5_BC,11,stable_no_side,5000,731,10,9,14,4986,250,250
LIRCMOP5_BC,12,stable_no_side,5000,762,7,3,10,4990,250,250
LIRCMOP5_BC,13,stable_no_side,5000,1998,3,3,3,4997,250,250
LIRCMOP5_BC,14,stable_no_side,5000,1760,91,66,124,4876,250,250
LIRCMOP5_BC,15,stable_no_side,5000,3084,1,3,3,4997,250,250
LIRCMOP6_BC,11,stable_no_side,3400,506,25,5,28,3372,250,250
LIRCMOP6_BC,12,stable_no_side,2620,508,17,10,17,2603,250,250
LIRCMOP6_BC,13,stable_no_side,1800,727,36,39,43,1757,250,250
LIRCMOP6_BC,14,stable_no_side,2820,291,4,21,24,2796,250,250
LIRCMOP6_BC,15,stable_no_side,3580,1444,6,3,7,3573,250,250
LIRCMOP7_BC,11,stable_no_side,5000,245,14,0,14,4986,250,250
LIRCMOP7_BC,12,stable_no_side,5000,192,22,17,39,4961,250,250
LIRCMOP7_BC,13,stable_no_side,5000,407,21,2,23,4977,250,250
LIRCMOP7_BC,14,stable_no_side,5000,243,22,10,32,4968,250,250
LIRCMOP7_BC,15,stable_no_side,5000,440,24,0,24,4976,250,250
LIRCMOP8_BC,11,stable_no_side,5000,661,52,21,72,4928,250,250
LIRCMOP8_BC,12,stable_no_side,5000,449,54,73,115,4885,250,250
LIRCMOP8_BC,13,stable_no_side,5000,664,35,6,41,4959,250,250
LIRCMOP8_BC,14,stable_no_side,5000,411,34,46,76,4924,250,250
LIRCMOP8_BC,15,stable_no_side,5000,400,18,0,18,4982,250,250
