problem,seed,arm,FE,threshold,baselineShortMidpoints,currentShortMidpoints,novelSeparatedWitnesses,witnessesCoveredByP1,prefixFE
LIRCMOP7_BC,1,de,55000,0.01,21,18,2,2,50000
LIRCMOP7_BC,1,de,55000,0.02,89,87,7,7,50000
LIRCMOP7_BC,1,de,55000,0.04,364,357,10,8,50000
LIRCMOP7_BC,1,midpoint,55000,0.01,21,17,3,3,50000
LIRCMOP7_BC,1,midpoint,55000,0.02,89,88,11,11,50000
LIRCMOP7_BC,1,midpoint,55000,0.04,364,359,5,4,50000
LIRCMOP7_BC,1,pair_only,55000,0.01,21,17,2,2,50000
LIRCMOP7_BC,1,pair_only,55000,0.02,89,85,12,11,50000
LIRCMOP7_BC,1,pair_only,55000,0.04,364,354,7,2,50000
LIRCMOP7_BC,1,raw,55000,0.01,21,21,4,3,50000
LIRCMOP7_BC,1,raw,55000,0.02,89,85,5,4,50000
LIRCMOP7_BC,1,raw,55000,0.04,364,339,8,8,50000
LIRCMOP7_BC,1,de,55000,0.01,20,18,2,2,70000
LIRCMOP7_BC,1,de,55000,0.02,75,73,8,6,70000
LIRCMOP7_BC,1,de,55000,0.04,317,306,10,8,70000
LIRCMOP7_BC,1,midpoint,55000,0.01,20,16,4,3,70000
LIRCMOP7_BC,1,midpoint,55000,0.02,75,72,8,7,70000
LIRCMOP7_BC,1,midpoint,55000,0.04,317,305,9,5,70000
LIRCMOP7_BC,1,pair_only,55000,0.01,20,21,6,6,70000
LIRCMOP7_BC,1,pair_only,55000,0.02,75,89,19,14,70000
LIRCMOP7_BC,1,pair_only,55000,0.04,317,328,9,3,70000
LIRCMOP7_BC,1,raw,55000,0.01,20,20,4,4,70000
LIRCMOP7_BC,1,raw,55000,0.02,75,80,10,9,70000
LIRCMOP7_BC,1,raw,55000,0.04,317,318,7,4,70000
LIRCMOP7_BC,2,de,55000,0.01,21,19,3,2,50000
LIRCMOP7_BC,2,de,55000,0.02,88,85,11,10,50000
LIRCMOP7_BC,2,de,55000,0.04,303,297,5,4,50000
LIRCMOP7_BC,2,midpoint,55000,0.01,21,22,2,2,50000
LIRCMOP7_BC,2,midpoint,55000,0.02,88,93,6,5,50000
LIRCMOP7_BC,2,midpoint,55000,0.04,303,309,7,6,50000
LIRCMOP7_BC,2,pair_only,55000,0.01,21,23,3,3,50000
LIRCMOP7_BC,2,pair_only,55000,0.02,88,92,10,9,50000
LIRCMOP7_BC,2,pair_only,55000,0.04,303,311,12,8,50000
LIRCMOP7_BC,2,raw,55000,0.01,21,20,1,1,50000
LIRCMOP7_BC,2,raw,55000,0.02,88,96,10,9,50000
LIRCMOP7_BC,2,raw,55000,0.04,303,327,7,6,50000
LIRCMOP7_BC,2,de,55000,0.01,25,28,4,3,70000
LIRCMOP7_BC,2,de,55000,0.02,93,98,6,3,70000
LIRCMOP7_BC,2,de,55000,0.04,306,294,5,5,70000
LIRCMOP7_BC,2,midpoint,55000,0.01,25,28,4,4,70000
LIRCMOP7_BC,2,midpoint,55000,0.02,93,96,8,8,70000
LIRCMOP7_BC,2,midpoint,55000,0.04,306,296,4,4,70000
LIRCMOP7_BC,2,pair_only,55000,0.01,25,30,3,3,70000
LIRCMOP7_BC,2,pair_only,55000,0.02,93,112,15,11,70000
LIRCMOP7_BC,2,pair_only,55000,0.04,306,319,5,4,70000
LIRCMOP7_BC,2,raw,55000,0.01,25,28,4,4,70000
LIRCMOP7_BC,2,raw,55000,0.02,93,94,9,7,70000
LIRCMOP7_BC,2,raw,55000,0.04,306,300,6,6,70000
LIRCMOP7_BC,3,de,55000,0.01,12,15,3,3,50000
LIRCMOP7_BC,3,de,55000,0.02,104,102,7,7,50000
LIRCMOP7_BC,3,de,55000,0.04,381,388,4,4,50000
LIRCMOP7_BC,3,midpoint,55000,0.01,12,16,4,4,50000
LIRCMOP7_BC,3,midpoint,55000,0.02,104,111,7,7,50000
LIRCMOP7_BC,3,midpoint,55000,0.04,381,392,3,3,50000
LIRCMOP7_BC,3,pair_only,55000,0.01,12,13,3,3,50000
LIRCMOP7_BC,3,pair_only,55000,0.02,104,111,21,14,50000
LIRCMOP7_BC,3,pair_only,55000,0.04,381,389,5,4,50000
LIRCMOP7_BC,3,raw,55000,0.01,12,15,3,2,50000
LIRCMOP7_BC,3,raw,55000,0.02,104,96,9,8,50000
LIRCMOP7_BC,3,raw,55000,0.04,381,372,4,3,50000
LIRCMOP7_BC,3,de,55000,0.01,19,21,4,3,70000
LIRCMOP7_BC,3,de,55000,0.02,129,127,7,5,70000
LIRCMOP7_BC,3,de,55000,0.04,399,383,1,1,70000
LIRCMOP7_BC,3,midpoint,55000,0.01,19,16,1,1,70000
LIRCMOP7_BC,3,midpoint,55000,0.02,129,126,6,5,70000
LIRCMOP7_BC,3,midpoint,55000,0.04,399,400,2,2,70000
LIRCMOP7_BC,3,pair_only,55000,0.01,19,24,5,5,70000
LIRCMOP7_BC,3,pair_only,55000,0.02,129,134,19,15,70000
LIRCMOP7_BC,3,pair_only,55000,0.04,399,407,3,2,70000
LIRCMOP7_BC,3,raw,55000,0.01,19,24,4,3,70000
LIRCMOP7_BC,3,raw,55000,0.02,129,132,8,6,70000
LIRCMOP7_BC,3,raw,55000,0.04,399,389,4,3,70000
LIRCMOP8_BC,1,de,55000,0.01,18,16,2,2,50000
LIRCMOP8_BC,1,de,55000,0.02,65,66,8,6,50000
LIRCMOP8_BC,1,de,55000,0.04,378,399,6,4,50000
LIRCMOP8_BC,1,midpoint,55000,0.01,18,17,2,2,50000
LIRCMOP8_BC,1,midpoint,55000,0.02,65,77,13,11,50000
LIRCMOP8_BC,1,midpoint,55000,0.04,378,397,8,6,50000
LIRCMOP8_BC,1,pair_only,55000,0.01,18,19,3,3,50000
LIRCMOP8_BC,1,pair_only,55000,0.02,65,80,11,8,50000
LIRCMOP8_BC,1,pair_only,55000,0.04,378,407,7,5,50000
LIRCMOP8_BC,1,raw,55000,0.01,18,15,3,3,50000
LIRCMOP8_BC,1,raw,55000,0.02,65,63,13,11,50000
LIRCMOP8_BC,1,raw,55000,0.04,378,399,7,5,50000
LIRCMOP8_BC,1,de,55000,0.01,30,25,2,2,70000
LIRCMOP8_BC,1,de,55000,0.02,126,123,13,10,70000
LIRCMOP8_BC,1,de,55000,0.04,421,429,3,2,70000
LIRCMOP8_BC,1,midpoint,55000,0.01,30,33,2,2,70000
LIRCMOP8_BC,1,midpoint,55000,0.02,126,129,5,5,70000
LIRCMOP8_BC,1,midpoint,55000,0.04,421,421,3,1,70000
LIRCMOP8_BC,1,pair_only,55000,0.01,30,31,5,5,70000
LIRCMOP8_BC,1,pair_only,55000,0.02,126,137,21,10,70000
LIRCMOP8_BC,1,pair_only,55000,0.04,421,428,5,2,70000
LIRCMOP8_BC,1,raw,55000,0.01,30,33,4,4,70000
LIRCMOP8_BC,1,raw,55000,0.02,126,127,10,9,70000
LIRCMOP8_BC,1,raw,55000,0.04,421,428,3,2,70000
LIRCMOP8_BC,2,de,55000,0.01,37,42,12,12,50000
LIRCMOP8_BC,2,de,55000,0.02,167,171,7,7,50000
LIRCMOP8_BC,2,de,55000,0.04,415,404,2,2,50000
LIRCMOP8_BC,2,midpoint,55000,0.01,37,50,8,7,50000
LIRCMOP8_BC,2,midpoint,55000,0.02,167,178,6,6,50000
LIRCMOP8_BC,2,midpoint,55000,0.04,415,404,1,0,50000
LIRCMOP8_BC,2,pair_only,55000,0.01,37,42,8,7,50000
LIRCMOP8_BC,2,pair_only,55000,0.02,167,192,17,13,50000
LIRCMOP8_BC,2,pair_only,55000,0.04,415,419,3,3,50000
LIRCMOP8_BC,2,raw,55000,0.01,37,40,8,6,50000
LIRCMOP8_BC,2,raw,55000,0.02,167,174,12,10,50000
LIRCMOP8_BC,2,raw,55000,0.04,415,409,4,3,50000
LIRCMOP8_BC,2,de,55000,0.01,58,64,5,5,70000
LIRCMOP8_BC,2,de,55000,0.02,213,216,3,3,70000
LIRCMOP8_BC,2,de,55000,0.04,429,414,3,2,70000
LIRCMOP8_BC,2,midpoint,55000,0.01,58,59,5,4,70000
LIRCMOP8_BC,2,midpoint,55000,0.02,213,228,8,6,70000
LIRCMOP8_BC,2,midpoint,55000,0.04,429,424,4,3,70000
