problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP5_BC,1,cgan,first_true_use,5400,5400,0,2.60118658312184,0,100,61,47,18,15,3,18,0.15,7,0,7,20,45,0.343107224869072,0.589369839315055,2,1020,5100,108.387695416667,5400,15,20,20,0.0656391968959927,1,5200,12,952.380952380952,1000,0.0728988863544216,5200,20,0.45,8,18,20,NaN,424,0.888576123270756
LIRCMOP5_BC,1,cgan,FE010000,10000,10000,0,1.24066628241103,0,100,19,16,65,48,17,65,0.48,11,3,13,61,211,0.19528585038958,0.288450634561485,25,1480,7400,174.279480375,10000,48,7.19101123595506,20,0.0450598396252081,24,9800,43,7.71084337349398,20,0.0425880603944362,9800,20,0.2,2,5,480,NaN,524,0.183302486882727
LIRCMOP5_BC,1,cgan,FE030000,30000,30000,0,1.22665629265543,0,100,63,29,389,69,320,389,0.69,3,0,3,157,319,0.134120697619306,0.272143253045557,125,3480,17400,419.614094416667,30000,69,4.92307692307692,20,0.0608772536912996,124,29800,69,4.81203007518797,20,0.0610959913357231,29800,20,0.2,0,0,2480,NaN,1170,-0.237726380617672
LIRCMOP5_BC,1,cgan,FE050000,50000,50000,0,0.203784195110152,0.198040455295637,100,29,29,9,7,2,9,0.07,1,1,2,16,93,0.154055280001878,0.469919332066326,215,5280,26400,625.861390708333,49000,9,18.8235294117647,20,0.0461313737417527,215,49000,9,18.8235294117647,20,0.0461313737417527,49800,20,0.2,0,0,4480,NaN,416,0
LIRCMOP5_BC,1,cgan,FE070000,70000,70000,0,0.0427263770551385,0.274816781294907,100,89,84,7,3,4,7,0.03,0,0,0,106,20,0.137381394378782,0.153079943985176,237,5720,28600,682.270205708333,68000,10,18.8235294117647,20,0.0393654154335377,237,68000,10,18.8235294117647,20,0.0393654154335377,69800,20,0.05,0,0,6480,NaN,412,0
LIRCMOP5_BC,1,cgan,FE100000,100000,100000,0,0.0171107335324219,0.286132886303424,100,96,70,20,6,14,20,0.06,0,0,0,131,13,0.0606947964780081,0.38370797540227,285,6680,33400,804.497417791667,97800,9,20,20,0.0440965748318626,285,97800,9,20,20,0.0440965748318626,99800,20,0.6,0,0,9480,NaN,436,0
LIRCMOP5_BC,1,fallback_only,first_true_use,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN
LIRCMOP5_BC,1,fallback_only,FE010000,10000,10000,0,1.26718437146694,0,100,44,44,17,14,3,17,0.14,7,5,9,21,57,0.249896988403614,0.398215568801221,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,434,0
LIRCMOP5_BC,1,fallback_only,FE030000,30000,30000,0,1.22444136317648,0,100,37,15,351,61,290,351,0.61,19,12,23,113,328,0.152127162972946,0.283219423295411,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,1104,0
LIRCMOP5_BC,1,fallback_only,FE050000,50000,50000,0,0.0914957961537776,0.261758604797565,100,82,62,6,4,2,6,0.04,0,0,0,118,25,0.165999745359882,0.235037480212745,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,410,0
