problem,seed,mode,guideQuota,guideFull,firstModelFE,firstGuidedFE,trainingEvents,postModelQuotaOccupancy,quotaOccupancy,fallbackRate,positiveUseRate,modelServiceRate,queryRate,nativeBandRate,projectionMedian,coarseIntervalProposals,certifiedIntervalProposals,nativeCertifiedBandRate,pendingPassRate,fullEvaluationRate,uniqueGuidedUpdateRate,logShrinkPerGuideFE,netGapReduction,survivedP1,survivedP2,retainedP1After1,retainedP1After5,retainedP1After10,penalizedGapAUC,pairCoverageAUC,IGDAUC,HVAUC,finalIGD,finalHV,trainingSeconds,wallSeconds,searchFE,CalObjRows,CalConRows
LIRCMOP5_BC,1,cgan,9980,9480,5200,5281,285,1,0.949899799599198,0.0501002004008016,0.949899799599198,0.951807228915663,0.951807228915663,NaN,NaN,NaN,NaN,NaN,0.04,1,0.119198312236287,0.0447811533738564,3.70866631527229,0.00949367088607595,0.025,86,55,33,4.05890492351735,0.00877755511022044,0.785708746312171,0.143979978555839,0.0171107335324219,0.286132886303424,804.497417791666,955.176391208333,100000,200000,100000
LIRCMOP5_BC,1,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,4.57816432161357,0.00230460921843687,0.70496894395128,0.172713400661972,0.0146951450595829,0.286373309202963,0,87.152546125,100000,200000,100000
LIRCMOP5_BC,1,pair_only,9980,6417,Inf,4699,0,NaN,0.642985971943888,0.357014028056112,0.895791583166333,0,0.897590361445783,1,NaN,94411,129089,0.577579418344519,0.0287114093959732,1,0.888888888888889,8.51202729584994,98.4421738180719,0.305282842449743,0.195730091943276,1539,771,449,4.31643372295113,0.166432865731463,0.70705284852411,0.158001695710276,0.0129492112522141,0.28838236146819,0,139.308345166667,100000,200000,100000
LIRCMOP5_BC,2,cgan,9980,9520,4800,4881,116,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.0338235294117647,0.0126745068114988,8.21530387547785,0.00808823529411765,0.0246848739495798,71,43,28,5.06282275414668,0.00309619238476954,0.473097176816505,0.205678273809778,0.0134075877046589,0.287315280585049,412.685731416666,518.655770583333,100000,200000,100000
LIRCMOP5_BC,2,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,4.91751519935319,0.000581162324649299,0.573323401358283,0.196312928729481,0.0344193717434587,0.278588930148045,0,75.7200354166667,100000,200000,100000
LIRCMOP5_BC,2,pair_only,9980,5743,Inf,4099,0,NaN,0.575450901803607,0.424549098196393,0.957915831663327,0,0.959839357429719,1,NaN,162021,76979,0.322087866108787,0.0240292887029289,1,0.809681351210169,9.60669197817552,78.3914875079281,0.397527424690928,0.324394915549364,1736,541,235,5.03588464961751,0.0378456913827655,0.445715044152234,0.207463636515296,0.0139224353169769,0.286715647856219,0,121.974753791667,100000,200000,100000
LIRCMOP5_BC,3,cgan,9980,9520,4800,4881,304,1,0.953907815631262,0.0460921843687375,0.953907815631262,0.955823293172691,0.955823293172691,NaN,NaN,NaN,NaN,NaN,0.04,1,0.102521008403361,0.0445278145306519,5.72702001751789,0.00861344537815126,0.0170168067226891,69,52,31,4.12071624625609,0.00983967935871743,0.828419923944668,0.1121745619985,0.01470227280131,0.287378394757525,641.206291458333,731.235670208333,100000,200000,100000
LIRCMOP5_BC,3,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,4.29861079987958,0.00176352705410822,0.754200148176299,0.142876024264712,0.0123516869752682,0.288574106966643,0,35.7758409166667,100000,200000,100000
LIRCMOP5_BC,3,pair_only,9980,6203,Inf,4299,0,NaN,0.621543086172345,0.378456913827655,0.959919839679359,0,0.961847389558233,1,NaN,91871,147629,0.616405010438413,0.0258997912317328,1,0.931162340802837,10.5493675157126,103.428562119628,0.30936643559568,0.199258423343543,1498,764,455,4.06887071885537,0.217755511022044,0.815332515410561,0.131775567275372,0.0153848809566367,0.286519200374877,0,57.7979396666667,100000,200000,100000
LIRCMOP6_BC,1,cgan,9980,6960,5400,5481,231,0.735729386892178,0.697394789579158,0.302605210420842,0.697394789579158,0.698795180722892,0.698795180722892,NaN,NaN,NaN,NaN,NaN,0.04,1,0.13132183908046,0.0505266980098846,12.8751361108461,0.00862068965517241,0.0208333333333333,54,40,32,4.55979978981021,0.0067935871743487,0.703685413416818,0.116714712585086,0.0141062669549449,0.193330408138794,656.989985041667,791.020790333333,100000,200000,100000
LIRCMOP6_BC,1,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,4.5448198124512,0.00134268537074148,0.735177716252443,0.115067261506204,0.0121584332601911,0.193600266368214,0,85.933924,100000,200000,100000
LIRCMOP6_BC,1,pair_only,9980,6079,Inf,4699,0,NaN,0.609118236472946,0.390881763527054,0.725450901803607,0,0.726907630522088,1,NaN,75776,105224,0.581348066298343,0.033585635359116,1,0.891594012173055,10.1065807208916,89.8130404627032,0.298897845040303,0.170093765421944,1348,667,381,4.56734300449033,0.128396793587174,0.697294043904954,0.115219625035114,0.0194970873211859,0.19201364242123,0,135.952120083333,100000,200000,100000
LIRCMOP6_BC,2,cgan,9980,5960,6400,6481,62,0.636752136752137,0.597194388777555,0.402805611222445,0.597194388777555,0.598393574297189,0.598393574297189,NaN,NaN,NaN,NaN,NaN,0.04,1,0.0187919463087248,0.00628959879961816,1.19684228708459,0.00520134228187919,0.013255033557047,29,24,17,5.1601046645631,0.00144288577154309,0.509587177867911,0.140003134543796,0.0128077443843833,0.193289905230292,292.248962333333,393.746028833333,100000,200000,100000
LIRCMOP6_BC,2,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,5.18773384435748,0.000460921843687375,0.504912523666127,0.142947963475822,0.0100866473507826,0.194699350528782,0,45.5686659166667,100000,200000,100000
LIRCMOP6_BC,2,pair_only,9980,2169,Inf,5499,0,NaN,0.217334669338677,0.782665330661323,0.328657314629259,0,0.329317269076305,1,NaN,45167,36833,0.449182926829268,0.0264512195121951,1,0.915629322268326,5.05670445293446,66.0109280901893,0.321346242508068,0.225910557860765,579,321,180,5.06172401690692,0.0570340681362725,0.525351234560772,0.142264867304345,0.0101321357741473,0.194684776903927,0,87.7676543333333,100000,200000,100000
LIRCMOP6_BC,3,cgan,9980,7520,5400,5481,206,0.79492600422833,0.753507014028056,0.246492985971944,0.753507014028056,0.755020080321285,0.755020080321285,NaN,NaN,NaN,NaN,NaN,0.04,1,0.161835106382979,0.0807347443604221,21.0998532212049,0.013563829787234,0.0231382978723404,94,71,55,4.33576589866724,0.00607214428857715,0.74000773529408,0.109790851639828,0.0143089922319696,0.192652150892204,620.70192625,740.131344708333,100000,200000,100000
LIRCMOP6_BC,3,fallback_only,9980,0,Inf,Inf,0,NaN,0,1,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,0,0,4.84322159144433,0.00288577154308617,0.593005687747054,0.122653536841617,0.0134595175619477,0.192797161779195,0,68.2381497083333,100000,200000,100000
