problemNumber,stage,stream,complete,sameInitialState,sameRNGTrajectory,frozenData,matchedGradientNorm,GUpdatesPerArm,DUpdatesPerArm,newOfflineFEPerPair
5,early,1,1,1,1,1,1,2000,10000,1200
5,early,2,1,1,1,1,1,2000,10000,1200
5,early,3,1,1,1,1,1,2000,10000,1200
5,middle,1,1,1,1,1,1,2000,10000,1200
5,middle,2,1,1,1,1,1,2000,10000,1200
5,middle,3,1,1,1,1,1,2000,10000,1200
5,late,1,1,1,1,1,1,2000,10000,1200
5,late,2,1,1,1,1,1,2000,10000,1200
5,late,3,1,1,1,1,1,2000,10000,1200
6,early,1,1,1,1,1,1,2000,10000,1200
6,early,2,1,1,1,1,1,2000,10000,1200
6,early,3,1,1,1,1,1,2000,10000,1200
6,middle,1,1,1,1,1,1,2000,10000,1200
6,middle,2,1,1,1,1,1,2000,10000,1200
6,middle,3,1,1,1,1,1,2000,10000,1200
6,late,1,1,1,1,1,1,2000,10000,1200
6,late,2,1,1,1,1,1,2000,10000,1200
6,late,3,1,1,1,1,1,2000,10000,1200
7,early,1,1,1,1,1,1,2000,10000,1200
7,early,2,1,1,1,1,1,2000,10000,1200
7,early,3,1,1,1,1,1,2000,10000,1200
7,middle,1,1,1,1,1,1,2000,10000,1200
7,middle,2,1,1,1,1,1,2000,10000,1200
7,middle,3,1,1,1,1,1,2000,10000,1200
7,late,1,1,1,1,1,1,2000,10000,1200
7,late,2,1,1,1,1,1,2000,10000,1200
7,late,3,1,1,1,1,1,2000,10000,1200
8,early,1,1,1,1,1,1,2000,10000,1200
8,early,2,1,1,1,1,1,2000,10000,1200
8,early,3,1,1,1,1,1,2000,10000,1200
8,middle,1,1,1,1,1,1,2000,10000,1200
8,middle,2,1,1,1,1,1,2000,10000,1200
8,middle,3,1,1,1,1,1,2000,10000,1200
8,late,1,1,1,1,1,1,2000,10000,1200
8,late,2,1,1,1,1,1,2000,10000,1200
8,late,3,1,1,1,1,1,2000,10000,1200
