problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP5_BC,early,adversarial,1,0,0.26986771562151,0.18830283443307,-0.0512922162355083,-0.264303137232365,0.00349031435251721,-0.00211223939891805,-0.0547825305880255,-0.262190897833447,0.0601662275559528,0.00260520511613147
LIRCMOP5_BC,early,adversarial,1,20,0.282317252362992,0.194896637368329,-0.108040000206905,-0.213502246390655,0.00892573125729679,-0.00562888579438148,-0.116965731464202,-0.207873360596274,0.0601662275559528,0.00268690597127973
LIRCMOP5_BC,early,adversarial,1,200,0.31213838550006,0.211900223693333,-0.0811648605216174,-0.325421288644682,0.0135150805881788,-0.00833471071628385,-0.0946799411097963,-0.317086577928398,0.0601662275559528,0.00270437465724616
LIRCMOP5_BC,early,adversarial,1,2000,0.285442343350187,0.202642988688815,-0.180818691075599,-0.195404739881603,-0.00466236568470358,0.00291524074057616,-0.176156325390896,-0.198319980622179,0.0601662275559528,0.00352992351418111
LIRCMOP5_BC,early,adversarial,2,0,0.26986771562151,0.18830283443307,-0.0512922162355083,-0.264303137232365,0.00349031435251721,-0.00211223939891805,-0.0547825305880255,-0.262190897833447,0.0601662275559528,0.00260520511613147
LIRCMOP5_BC,early,adversarial,2,20,0.310971437239669,0.212492030168175,-0.128909983205021,-0.238241746510155,0.00499489946360111,-0.00322665572898753,-0.133904882668622,-0.235015090781168,0.0601662275559528,0.0026847135073158
LIRCMOP5_BC,early,adversarial,2,200,0.34281350087548,0.227373772008736,-0.216223443087447,-0.264520767181653,0.00227803033321972,-0.00176815354136213,-0.218501473420667,-0.262752613640291,0.0601662275559528,0.0026685520326404
LIRCMOP5_BC,early,adversarial,2,2000,0.233871475165705,0.166782330656605,-0.0932014695771589,-0.142909204620046,0.00725745562783999,-0.00468310300388785,-0.100458925204999,-0.138226101616158,0.0601662275559528,0.00465972943668793
LIRCMOP5_BC,early,adversarial,3,0,0.26986771562151,0.18830283443307,-0.0512922162355083,-0.264303137232365,0.00349031435251721,-0.00211223939891805,-0.0547825305880255,-0.262190897833447,0.0601662275559528,0.00260520511613147
LIRCMOP5_BC,early,adversarial,3,20,0.295049213044197,0.205539434695564,-0.145139820549471,-0.134279814887308,-0.00920554285925113,0.00589355263709399,-0.135934277690219,-0.140173367524402,0.0601662275559528,0.00270780628741946
LIRCMOP5_BC,early,adversarial,3,200,0.293649982017683,0.19884173115149,-0.135718661144697,-0.255914782859905,0.00406275974409603,-0.00263605318710929,-0.139781420888794,-0.253278729672796,0.0601662275559528,0.002769723582287
LIRCMOP5_BC,early,adversarial,3,2000,0.302811360099622,0.204167117170629,-0.193322988457516,-0.163998964938154,-0.00878253082209856,0.00512168983101031,-0.184540457635417,-0.169120654769164,0.0601662275559528,0.00299956814662561
LIRCMOP5_BC,early,distance,1,0,0.26986771562151,0.18830283443307,-0.0512922162355083,-0.264303137232365,0.00349031435251721,-0.00211223939891805,-0.0547825305880255,-0.262190897833447,0.0601662275559528,0.00260520511613147
LIRCMOP5_BC,early,distance,1,20,0.321612090443985,0.211368945935371,-0.138401851433913,-0.283845341366305,0.00792941029888633,-0.0049538147758564,-0.1463312617328,-0.278891526590448,0.0601662275559528,0.00251981806596311
