FE,IGD,HV,guidedCount,problem,stage,mode
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,raw
20200,1.22717574127631,0,20,LIRCMOP5_BC,early,raw
20400,1.22717574127631,0,0,LIRCMOP5_BC,early,raw
20600,1.22717574127631,0,0,LIRCMOP5_BC,early,raw
20800,1.22717574127631,0,0,LIRCMOP5_BC,early,raw
21000,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
21200,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
21400,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
21600,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
21800,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
22000,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
22200,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
22400,1.22705065211703,0,0,LIRCMOP5_BC,early,raw
22600,1.2270405038013,0,0,LIRCMOP5_BC,early,raw
22800,1.2270405038013,0,0,LIRCMOP5_BC,early,raw
23000,1.2270405038013,0,0,LIRCMOP5_BC,early,raw
23200,1.2270405038013,0,0,LIRCMOP5_BC,early,raw
23400,1.2270405038013,0,0,LIRCMOP5_BC,early,raw
23600,1.22702599352262,0,0,LIRCMOP5_BC,early,raw
23800,1.22702599352262,0,0,LIRCMOP5_BC,early,raw
24000,1.2270636595508,0,0,LIRCMOP5_BC,early,raw
24200,1.2270636595508,0,0,LIRCMOP5_BC,early,raw
24400,1.2270636595508,0,0,LIRCMOP5_BC,early,raw
24600,1.22715399195301,0,0,LIRCMOP5_BC,early,raw
24800,1.22719500418528,0,0,LIRCMOP5_BC,early,raw
25000,1.22727243380924,0,0,LIRCMOP5_BC,early,raw
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,adversarial20
20200,1.22717574127631,0,20,LIRCMOP5_BC,early,adversarial20
20400,1.22717574127631,0,0,LIRCMOP5_BC,early,adversarial20
20600,1.22717574127631,0,0,LIRCMOP5_BC,early,adversarial20
20800,1.22717574127631,0,0,LIRCMOP5_BC,early,adversarial20
21000,1.22717574127631,0,0,LIRCMOP5_BC,early,adversarial20
21200,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
21400,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
21600,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
21800,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
22000,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
22200,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
22400,1.22711534906958,0,0,LIRCMOP5_BC,early,adversarial20
22600,1.22711534906958,0,0,LIRCMOP5_BC,early,adversarial20
22800,1.22711534906958,0,0,LIRCMOP5_BC,early,adversarial20
23000,1.22711534906958,0,0,LIRCMOP5_BC,early,adversarial20
23200,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
23400,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
23600,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
23800,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
24000,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
24200,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
24400,1.22715526731852,0,0,LIRCMOP5_BC,early,adversarial20
24600,1.22713732230684,0,0,LIRCMOP5_BC,early,adversarial20
24800,1.22713732230684,0,0,LIRCMOP5_BC,early,adversarial20
25000,1.22736337893122,0,0,LIRCMOP5_BC,early,adversarial20
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,distance20
20200,1.22717574127631,0,20,LIRCMOP5_BC,early,distance20
20400,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
20600,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
20800,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
21000,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
21200,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
21400,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
21600,1.22717574127631,0,0,LIRCMOP5_BC,early,distance20
21800,1.22711927015556,0,0,LIRCMOP5_BC,early,distance20
22000,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
22200,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
22400,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
22600,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
22800,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
23000,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
23200,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
23400,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
23600,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
23800,1.22703189571074,0,0,LIRCMOP5_BC,early,distance20
24000,1.22695302834171,0,0,LIRCMOP5_BC,early,distance20
24200,1.22695302834171,0,0,LIRCMOP5_BC,early,distance20
24400,1.22695455441535,0,0,LIRCMOP5_BC,early,distance20
24600,1.22695455441535,0,0,LIRCMOP5_BC,early,distance20
24800,1.22695455441535,0,0,LIRCMOP5_BC,early,distance20
25000,1.22695455441535,0,0,LIRCMOP5_BC,early,distance20
20000,1.22718262349464,0,0,LIRCMOP5_BC,early,adversarial2000
