epoch,taskCount,full20Rate,guidedCountMedian,candidateValidRateMedian,rawFeasibleRateMedian,rawInfeasibleRateMedian,rawBoundaryMarginMedian,rawCVMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedCVMedian,guidedUsefulPerQuotaMedian,validationEndpointMedian,validationRelationMedian,useFEMedian,wallClockMedian,wallClockP90,qualityScoreMedian,qualityScoreIQR,problem
10,5,1,20,0.274,1,0,111.697225554041,0,1,5.06032043472305,0,0,1.62442883323679,0.268774772490043,3500,6.61712733333333,19.5909039583333,0.450810867002633,0.119245483365278,LIRCMOP5_BC
25,5,1,20,0.32,1,0,105.221890647788,0,1,13.3389077839958,0,0,1.7169057562498,0.266678443312966,3500,4.04116516666667,5.27402791666667,0.470307776525433,0.0121842962683812,LIRCMOP5_BC
50,5,0.8,20,0.264,1,0,90.5517829278199,0,1,5.01805586973365,0,0,1.45257085263231,0.367023700141121,3700,26.44307225,51.0631491666667,0.516167897700796,0.0973255549689915,LIRCMOP5_BC
100,5,1,20,0.67,1,0,53.4011043153957,0,1,2.47104422570394,0,0,1.05561521550643,0.196919619769127,3900,62.8364184583333,107.991478208333,0.699959648896614,0.110787654928852,LIRCMOP5_BC
200,5,1,20,0.996,0.99,0.01,1.39252127462556,0,1,0.301993906552,0,0,0.324491615665515,0.355238357560037,3700,76.938292625,151.628904041667,0.777548407713082,0.0204591351903513,LIRCMOP5_BC
400,5,1,20,0.998,0.934,0.066,1.14756989771945,0,0.8,0.38516990589413,0,0,0.268412397948855,0.46349998676831,3500,135.675046541667,264.702345916667,0.781333733465958,0.0273546762839151,LIRCMOP5_BC
800,5,1,20,1,0.786,0.214,0.527299196366707,0,0.7,0.24194693341798,0,0,0.206764784606934,0.348803915502453,3700,180.036938,365.296006041667,0.7771,0.0204881122352575,LIRCMOP5_BC
10,5,1,20,0.542,1,0,86.9615100388198,0,1,7.63676589597756,0,0,1.73798154188012,0.377892499279674,2700,4.96615525,5.251506125,0.472555874191135,0.0278656068457362,LIRCMOP7_BC
25,5,1,20,0.552,1,0,81.2941544106314,0,1,6.39479476060477,0,0,1.71882776837536,0.374594166921179,2700,2.86021595833333,7.56583970833333,0.465425678353048,0.0366533560486407,LIRCMOP7_BC
50,5,1,20,0.588,1,0,70.3820185850602,0,1,6.54048021088955,0,0,1.63192958504587,0.376386086489686,2700,16.3534179166667,27.3356992083333,0.501457288271272,0.0244303158748201,LIRCMOP7_BC
