problem,run,sigma,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,trainingUpdates,candidateValidCount,candidateValidRate,requestedCount,guidedCount,fallbackCount,fullQuota,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawBoundaryMarginP90,rawCVMedian,rawDecisionUniqueRate,requestedRefCoverage,assignedRefCoverage,referenceMatchRate,assignedRefEntropy,decisionWithinRefRMS,decisionTotalRMS,decisionWithinRefRatio,objectiveWithinRefRMS,objectiveTotalRMS,objectiveWithinRefRatio,guidedFeasibleRate,guidedDominatingRate,guidedUsefulPerQuota,guidedBoundaryMarginMedian,guidedCVMedian
LIRCMOP5_BC,1,1,3400,3500,151.429711125,44,2,2000,500,1,20,20,0,1,0.682,0.318,0.16207413757722,1.71077717932471,0,1,0.64,0.7,0.022,0.854315379626089,0.334862399983878,0.354412283805155,0.944838582874784,0.166939341137203,0.182861044817301,0.912930040971791,0.6,0.1,0,0.093686555988741,0
LIRCMOP5_BC,1,0.5,3400,3500,151.429711125,44,2,2000,500,1,20,20,0,1,0.576,0.424,0.0867438397197998,0.450547301403461,0,1,0.64,0.58,0.022,0.813649913451358,0.185112220838734,0.208447128048504,0.888053592159157,0.073551805921922,0.0965258188044733,0.761991007513871,0.35,0.3,0,0.0561682963266428,0.0294892001511781
LIRCMOP5_BC,2,1,4400,4500,150.832715458333,48,2,2000,500,1,20,20,0,1,0.924,0.076,1.53143902879196,33.2085784376622,0,1,0.54,0.76,0.032,0.710788483024848,0.551332356953642,0.710250904380481,0.776250130134708,0.284758094202465,0.297374008153106,0.957575599733834,0.95,0,0,2.55812072550908,0
LIRCMOP5_BC,2,0.5,4400,4500,150.832715458333,48,2,2000,500,1,20,20,0,1,0.882,0.118,0.746923409898655,48.3173915231817,0,1,0.54,0.78,0.026,0.766053858809876,0.38365317255562,0.678581692095165,0.565375071306545,0.120773722211507,0.161158389030723,0.749410086176047,0.9,0,0,10.9515923836747,0
LIRCMOP7_BC,1,1,2800,2900,152.078616916667,40,2,2000,494,0.988,20,20,0,1,0.862,0.138,0.5487207367956,3.71166035743331,0,1,0.52,0.7,0.036,0.860013418016057,0.509849979154647,0.526434648587896,0.968496242643346,0.356852277246593,0.368716741950601,0.967822278312501,0.65,0.2,0.1,0.0887288085966078,0
LIRCMOP7_BC,1,0.5,2800,2900,152.078616916667,40,2,2000,500,1,20,20,0,1,0.848,0.152,0.332446965100579,1.19475868818482,0,1,0.52,0.6,0.016,0.836521370087394,0.303317009116475,0.325395248122689,0.932149473191171,0.210852609266172,0.23952350190997,0.88030029447977,0.5,0.3,0.1,0.0905924066874346,0.0106697703298717
LIRCMOP7_BC,2,1,2800,2900,150.376157375,37,2,2000,487,0.974,20,20,0,1,0.912,0.088,1.43244507944048,10.416913942172,0,1,0.44,0.58,0.046,0.821311869942785,0.586038525427507,0.610596603864725,0.959780191567101,0.0994886566617709,0.101353496640226,0.981600635002511,0.9,0.05,0,0.723136920067072,0
LIRCMOP7_BC,2,0.5,2800,2900,150.376157375,37,2,2000,498,0.996,20,20,0,1,0.782,0.218,0.268295293762586,2.52388278435571,0,1,0.44,0.58,0.026,0.832204621082867,0.340964831876441,0.374653606066055,0.9100802083734,0.0469895412284417,0.0497596703742518,0.944329833277122,0.85,0.15,0.05,0.455033610119957,0
LIRCMOP8_BC,1,1,3000,3100,111.427334041667,32,1,1000,499,0.998,20,20,0,1,0.764,0.236,0.365919582431308,2.34641978461385,0,1,0.42,0.7,0.032,0.858472071259396,0.385613977268463,0.398953349743717,0.966564079525029,0.243939532211552,0.249782013825446,0.976609678477582,0.8,0.1,0,0.247370606041833,0
LIRCMOP8_BC,1,0.5,3000,3100,111.427334041667,32,1,1000,500,1,20,20,0,1,0.94,0.06,0.788642500312489,2.74875121295517,0,1,0.42,0.56,0.024,0.705381232336209,0.231132896387822,0.247303933154898,0.934610676988515,0.252396408348727,0.258772014434809,0.975362072672321,0.8,0.15,0.1,0.348644215952676,0
LIRCMOP8_BC,2,1,3400,3500,112.384638291667,32,1,1000,500,1,20,20,0,1,0.814,0.186,0.388507163057977,2.95664011626522,0,1,0.48,0.64,0.016,0.825214318283122,0.459138675364364,0.472630101535201,0.971454577000038,0.142584134186971,0.145866032969724,0.977500596157064,0.65,0.15,0,0.167969532602388,0
LIRCMOP8_BC,2,0.5,3400,3500,112.384638291667,32,1,1000,500,1,20,20,0,1,0.782,0.218,0.224693205234353,0.908154520249614,0,1,0.48,0.6,0.024,0.78432819050899,0.278457147723212,0.292948754217233,0.950531940192942,0.0882553810277076,0.0910259743195392,0.969562607678268,0.3,0.2,0,0.0841314985623716,0.0724758210236768
LIRCMOP10_BC,1,1,4000,4100,151.55750325,38,2,2000,450,0.9,20,20,0,1,0.892,0.108,3.66347099714218,13.8861872184836,0,1,0.44,1,0.036,0.917106308786254,1.39036341935329,1.50450133063261,0.924135719287577,2.67362724723842,2.73758298684475,0.976637880965192,0.95,0.05,0,3.56445904198608,0
LIRCMOP10_BC,1,0.5,4000,4100,151.55750325,38,2,2000,453,0.906,20,20,0,1,0.964,0.036,6.37764948828193,12.5916964724638,0,1,0.44,0.82,0.034,0.777069752529671,0.992142830954419,1.23329224193795,0.804466935910832,2.07486379059921,2.18806449945782,0.948264455235822,0.95,0.05,0.05,1.54813618448751,0
LIRCMOP10_BC,2,1,5000,5100,150.70917575,33,2,2000,350,0.7,20,20,0,1,1,0,4.5801842127806,9.57317290231964,0,1,0.34,0.72,0.048,0.881705395992196,1.23678579617811,1.29265676461391,0.956778187400355,2.01392249409652,2.0738372458435,0.971109231514157,0.95,0,0,0.405136056805499,0
LIRCMOP10_BC,2,0.5,5000,5100,150.70917575,33,2,2000,339,0.678,20,20,0,1,1,0,5.60038560988311,9.05949993195413,0,1,0.34,0.58,0.046,0.764896164585344,0.83844919849929,0.955799650510009,0.877222750658989,1.40464015650293,1.57845367433553,0.889883674979713,1,0,0,0.203680814224343,0
LIRCMOP12_BC,1,1,6000,6100,111.808219166667,32,1,1000,211,0.422,20,20,0,1,1,0,11.3811072727321,22.6282286902717,0,1,0.3,0.78,0.01,0.799366491903964,0.904895485755821,0.971119168747852,0.931806841916818,3.69747696403092,3.94122252624454,0.938154833788114,0.95,0,0,1.17086778224878,0
LIRCMOP12_BC,1,0.5,6000,6100,111.808219166667,32,1,1000,182,0.364,20,20,0,1,1,0,12.2485505369957,20.0387975504435,0,1,0.3,0.42,0.002,0.633029125944058,0.572487342827179,0.706185066447688,0.81067608198932,2.23238734312644,2.59384935330874,0.860646490621667,1,0,0,1.98820934066534,0
LIRCMOP12_BC,2,1,8000,8100,110.4131585,32,1,1000,127,0.254,20,20,0,1,1,0,11.4028567707924,17.0367500608873,0,1,0.24,0.86,0.012,0.763358884239444,1.07616166500204,1.17524597867413,0.915690574169101,2.61257321493881,2.87534634854869,0.908611658646789,0.7,0,0,1.64808681858102,0
LIRCMOP12_BC,2,0.5,8000,8100,110.4131585,32,1,1000,159,0.318,20,20,0,1,1,0,11.940912399202,17.2050269548959,0,1,0.24,0.36,0.034,0.596767317370804,0.679325115638158,0.882626346857704,0.769663310025435,1.58085294816576,2.19457695954521,0.720345186023172,0.9,0,0,3.35940454498328,0
LIRCMOP14_BC,1,1,3200,3300,48.0891267083333,43,2,2000,500,1,20,20,0,1,0.71,0.29,25.5835364921891,348.976809487549,0,1,0.6,0.444444444444444,0.052,0.680836245687128,0.39128589063401,0.435424815866508,0.898630202909634,0.366423698315469,0.407966259759416,0.898171575589498,0.7,0.1,0,6.4880759252067,0
LIRCMOP14_BC,1,0.5,3200,3300,48.0891267083333,43,2,2000,500,1,20,20,0,1,0.276,0.724,5.70941442887969,16.4383803623015,4.79973432244527,1,0.6,0.288888888888889,0.022,0.533418948652712,0.209708707725474,0.277265402633807,0.756346467079569,0.145417342659178,0.199864900700433,0.72757818981501,0.15,0.25,0.05,5.12860118764248,5.24681673851007
LIRCMOP14_BC,2,1,3600,3700,66.6708532916667,65,3,3000,497,0.994,20,20,0,1,0.804,0.196,52.5193735569412,1342.56374333231,0,1,0.666666666666667,0.555555555555556,0.038,0.743861469412859,0.424319401362707,0.490819905382574,0.864511395543273,0.488234615448804,0.56258247261245,0.867845407948103,0.8,0,0,23.4501909642033,0
LIRCMOP14_BC,2,0.5,3600,3700,66.6708532916667,65,3,3000,500,1,20,20,0,1,0.378,0.622,6.00141954964565,56.6285240952672,3.81097724115511,1,0.666666666666667,0.377777777777778,0.046,0.592825934424855,0.219279894363121,0.326779056276318,0.671034113574593,0.162310140871322,0.253750400455768,0.639644865898902,0.45,0.05,0,3.35268384939208,1.51766956739177
