problem,run,poolFE,useFE,sigmaOneValid,sigmaHalfValid,sigmaOneGuided,sigmaHalfGuided,rawOutsideView,file
LIRCMOP5_BC,1,3400,3500,500,500,20,20,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP5_BC/LIRCMOP5_BC_epoch1000_run01_sigma1_vs_0p5.png
LIRCMOP5_BC,2,4400,4500,500,500,20,20,9,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP5_BC/LIRCMOP5_BC_epoch1000_run02_sigma1_vs_0p5.png
LIRCMOP7_BC,1,2800,2900,494,500,20,20,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP7_BC/LIRCMOP7_BC_epoch1000_run01_sigma1_vs_0p5.png
LIRCMOP7_BC,2,2800,2900,487,498,20,20,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP7_BC/LIRCMOP7_BC_epoch1000_run02_sigma1_vs_0p5.png
LIRCMOP8_BC,1,3000,3100,499,500,20,20,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP8_BC/LIRCMOP8_BC_epoch1000_run01_sigma1_vs_0p5.png
LIRCMOP8_BC,2,3400,3500,500,500,20,20,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP8_BC/LIRCMOP8_BC_epoch1000_run02_sigma1_vs_0p5.png
LIRCMOP10_BC,1,4000,4100,450,453,20,20,12,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP10_BC/LIRCMOP10_BC_epoch1000_run01_sigma1_vs_0p5.png
LIRCMOP10_BC,2,5000,5100,350,339,20,20,9,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP10_BC/LIRCMOP10_BC_epoch1000_run02_sigma1_vs_0p5.png
LIRCMOP12_BC,1,6000,6100,211,182,20,20,12,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP12_BC/LIRCMOP12_BC_epoch1000_run01_sigma1_vs_0p5.png
LIRCMOP12_BC,2,8000,8100,127,159,20,20,9,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP12_BC/LIRCMOP12_BC_epoch1000_run02_sigma1_vs_0p5.png
LIRCMOP14_BC,1,3200,3300,500,500,20,20,15,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP14_BC/LIRCMOP14_BC_epoch1000_run01_sigma1_vs_0p5.png
LIRCMOP14_BC,2,3600,3700,497,500,20,20,21,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_inference_sigma_epoch1000_v1_20260901/figures/LIRCMOP14_BC/LIRCMOP14_BC_epoch1000_run02_sigma1_vs_0p5.png
