problem,run,seed,arm,FE,IGD
LIRCMOP5_BC,1,1,mainline,10000,1.23526921995258
LIRCMOP5_BC,1,1,mainline,20000,1.21425354118575
LIRCMOP5_BC,1,1,mainline,30000,1.21075690417872
LIRCMOP5_BC,1,1,mainline,40000,1.20377316321466
LIRCMOP5_BC,1,1,mainline,50000,1.18784025711199
LIRCMOP5_BC,1,1,mainline,60000,0.310555526343605
LIRCMOP5_BC,1,1,mainline,70000,0.236064816039955
LIRCMOP5_BC,1,1,mainline,80000,0.101226199205036
LIRCMOP5_BC,1,1,mainline,90000,0.0212885703249527
LIRCMOP5_BC,1,1,mainline,100000,0.0163512498405436
LIRCMOP5_BC,1,1,de20,10000,1.23867007381102
LIRCMOP5_BC,1,1,de20,20000,1.22513662579934
LIRCMOP5_BC,1,1,de20,30000,1.22501612319319
LIRCMOP5_BC,1,1,de20,40000,1.19842026213504
LIRCMOP5_BC,1,1,de20,50000,1.18715821409546
LIRCMOP5_BC,1,1,de20,60000,0.334082497762098
LIRCMOP5_BC,1,1,de20,70000,0.0446932777104745
LIRCMOP5_BC,1,1,de20,80000,0.0242313612314988
LIRCMOP5_BC,1,1,de20,90000,0.0211768965286646
LIRCMOP5_BC,1,1,de20,100000,0.0165918927498441
LIRCMOP5_BC,2,2,mainline,10000,1.26253761817164
LIRCMOP5_BC,2,2,mainline,20000,1.20068586296366
LIRCMOP5_BC,2,2,mainline,30000,1.19669564858176
LIRCMOP5_BC,2,2,mainline,40000,0.509376110318048
LIRCMOP5_BC,2,2,mainline,50000,0.0825729366906979
LIRCMOP5_BC,2,2,mainline,60000,0.0458148162207769
LIRCMOP5_BC,2,2,mainline,70000,0.0424284196315871
LIRCMOP5_BC,2,2,mainline,80000,0.0301057291687262
LIRCMOP5_BC,2,2,mainline,90000,0.0170475776711431
LIRCMOP5_BC,2,2,mainline,100000,0.0150934409595874
LIRCMOP5_BC,2,2,de20,10000,1.43181230828037
LIRCMOP5_BC,2,2,de20,20000,1.23386365113395
LIRCMOP5_BC,2,2,de20,30000,0.237135419045959
LIRCMOP5_BC,2,2,de20,40000,0.128053469060278
LIRCMOP5_BC,2,2,de20,50000,0.10956972673981
LIRCMOP5_BC,2,2,de20,60000,0.0987192328754229
LIRCMOP5_BC,2,2,de20,70000,0.0803900927175171
LIRCMOP5_BC,2,2,de20,80000,0.066326483169119
LIRCMOP5_BC,2,2,de20,90000,0.0358905307240858
LIRCMOP5_BC,2,2,de20,100000,0.0260885892699646
LIRCMOP5_BC,3,3,mainline,10000,1.24034725217651
LIRCMOP5_BC,3,3,mainline,20000,1.21587199924435
LIRCMOP5_BC,3,3,mainline,30000,1.21499240380086
LIRCMOP5_BC,3,3,mainline,40000,0.37729931191601
LIRCMOP5_BC,3,3,mainline,50000,0.364967054390524
LIRCMOP5_BC,3,3,mainline,60000,0.344126835764284
LIRCMOP5_BC,3,3,mainline,70000,0.323050603967244
LIRCMOP5_BC,3,3,mainline,80000,0.0553221495419268
LIRCMOP5_BC,3,3,mainline,90000,0.0269057385696032
LIRCMOP5_BC,3,3,mainline,100000,0.0206490306506693
LIRCMOP5_BC,3,3,de20,10000,1.23168243456622
LIRCMOP5_BC,3,3,de20,20000,1.22198604232614
LIRCMOP5_BC,3,3,de20,30000,1.2161787108871
LIRCMOP5_BC,3,3,de20,40000,1.21325383344574
LIRCMOP5_BC,3,3,de20,50000,1.20928894963074
LIRCMOP5_BC,3,3,de20,60000,1.17693703001184
LIRCMOP5_BC,3,3,de20,70000,1.16319930672168
LIRCMOP5_BC,3,3,de20,80000,0.333110240744881
LIRCMOP5_BC,3,3,de20,90000,0.0560674331229402
LIRCMOP5_BC,3,3,de20,100000,0.0371763679300579
LIRCMOP5_BC,4,4,mainline,10000,1.23926521346844
LIRCMOP5_BC,4,4,mainline,20000,1.23047472244074
LIRCMOP5_BC,4,4,mainline,30000,1.22277123879103
LIRCMOP5_BC,4,4,mainline,40000,1.20090194419065
LIRCMOP5_BC,4,4,mainline,50000,1.16231125431922
LIRCMOP5_BC,4,4,mainline,60000,0.476596792064199
LIRCMOP5_BC,4,4,mainline,70000,0.0685101660664441
LIRCMOP5_BC,4,4,mainline,80000,0.0350781721319351
LIRCMOP5_BC,4,4,mainline,90000,0.0215810805192678
LIRCMOP5_BC,4,4,mainline,100000,0.019052183351164
LIRCMOP5_BC,4,4,de20,10000,1.2579154355275
LIRCMOP5_BC,4,4,de20,20000,1.20033654967264
LIRCMOP5_BC,4,4,de20,30000,1.19424966314984
LIRCMOP5_BC,4,4,de20,40000,1.18875685895978
LIRCMOP5_BC,4,4,de20,50000,0.77270259898036
LIRCMOP5_BC,4,4,de20,60000,0.18545021700654
LIRCMOP5_BC,4,4,de20,70000,0.0862396704853381
LIRCMOP5_BC,4,4,de20,80000,0.0236423183200865
LIRCMOP5_BC,4,4,de20,90000,0.0177717580647504
LIRCMOP5_BC,4,4,de20,100000,0.0157935633157911
LIRCMOP5_BC,5,5,mainline,10000,1.24733039708131
LIRCMOP5_BC,5,5,mainline,20000,1.22018974479897
LIRCMOP5_BC,5,5,mainline,30000,1.21631591426389
LIRCMOP5_BC,5,5,mainline,40000,1.21540148499919
LIRCMOP5_BC,5,5,mainline,50000,1.19989512625669
LIRCMOP5_BC,5,5,mainline,60000,1.19983754140542
LIRCMOP5_BC,5,5,mainline,70000,1.15651019018807
LIRCMOP5_BC,5,5,mainline,80000,0.170519788454067
LIRCMOP5_BC,5,5,mainline,90000,0.0360755634490531
LIRCMOP5_BC,5,5,mainline,100000,0.0227662703064569
LIRCMOP5_BC,5,5,de20,10000,1.22285352872668
LIRCMOP5_BC,5,5,de20,20000,1.20936755844138
LIRCMOP5_BC,5,5,de20,30000,1.19685897320783
LIRCMOP5_BC,5,5,de20,40000,1.1866205133695
LIRCMOP5_BC,5,5,de20,50000,0.324927189105159
LIRCMOP5_BC,5,5,de20,60000,0.181347182462946
LIRCMOP5_BC,5,5,de20,70000,0.0268646910825499
LIRCMOP5_BC,5,5,de20,80000,0.0192186685216025
LIRCMOP5_BC,5,5,de20,90000,0.0164574248945195
LIRCMOP5_BC,5,5,de20,100000,0.0145500725781607
LIRCMOP5_BC,6,6,mainline,10000,1.23747428301185
LIRCMOP5_BC,6,6,mainline,20000,0.2748894066497
LIRCMOP5_BC,6,6,mainline,30000,0.181223443210398
LIRCMOP5_BC,6,6,mainline,40000,0.0526549831109664
LIRCMOP5_BC,6,6,mainline,50000,0.0258645268610082
LIRCMOP5_BC,6,6,mainline,60000,0.0211797273036995
LIRCMOP5_BC,6,6,mainline,70000,0.0151435170109624
LIRCMOP5_BC,6,6,mainline,80000,0.0140735608456453
LIRCMOP5_BC,6,6,mainline,90000,0.0125416282021249
LIRCMOP5_BC,6,6,mainline,100000,0.0114533922775055
LIRCMOP5_BC,6,6,de20,10000,1.24960538091381
LIRCMOP5_BC,6,6,de20,20000,1.22819776451437
LIRCMOP5_BC,6,6,de20,30000,0.312444755633312
LIRCMOP5_BC,6,6,de20,40000,0.282051102585318
LIRCMOP5_BC,6,6,de20,50000,0.194457564410262
LIRCMOP5_BC,6,6,de20,60000,0.121782968321587
LIRCMOP5_BC,6,6,de20,70000,0.0644653834101009
