problem,run,trainingSigma,sigma,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,trainingUpdates,candidateValidCount,candidateValidRate,requestedCount,guidedCount,fallbackCount,fullQuota,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawBoundaryMarginP90,rawCVMedian,rawDecisionUniqueRate,requestedRefCoverage,assignedRefCoverage,referenceMatchRate,assignedRefEntropy,decisionWithinRefRMS,decisionTotalRMS,decisionWithinRefRatio,objectiveWithinRefRMS,objectiveTotalRMS,objectiveWithinRefRatio,guidedFeasibleRate,guidedDominatingRate,guidedUsefulPerQuota,guidedBoundaryMarginMedian,guidedCVMedian
LIRCMOP5_BC,1,0.5,1,3400,3500,158.8837,44,2,2000,494,0.988,20,20,0,1,0.854,0.146,0.887484553480486,4.9249417986248,0,1,0.64,0.82,0.014,0.925465685188695,0.475579891713113,0.524665772002331,0.906443524795059,0.31175391891033,0.33578632153312,0.928429477076185,0.7,0.05,0.05,0.202038366554383,0
LIRCMOP5_BC,1,0.5,0.5,3400,3500,158.8837,44,2,2000,500,1,20,20,0,1,0.68,0.32,0.111232631631559,1.00568769547754,0,1,0.64,0.78,0.024,0.902206016273536,0.266558704762367,0.329570043730665,0.808807444223318,0.12971307727716,0.165202557195212,0.785175965066231,0.6,0.15,0.1,0.0686697075444467,0
LIRCMOP5_BC,2,0.5,1,4400,4500,159.386019041667,48,2,2000,499,0.998,20,20,0,1,0.914,0.086,2.14944794077505,18.0492855730221,0,1,0.54,0.38,0.036,0.54613504152187,0.559322026937852,0.618567418607795,0.904221609661746,0.408532870366512,0.425457305792725,0.960220602171401,0.9,0,0,1.38281951227821,0
LIRCMOP5_BC,2,0.5,0.5,4400,4500,159.386019041667,48,2,2000,500,1,20,20,0,1,0.754,0.246,0.26116613261747,4.20619538793511,0,1,0.54,0.46,0.028,0.581740767032873,0.362657095987948,0.470274600066014,0.771160287919104,0.19576023667626,0.212456843387013,0.921411772647217,0.8,0,0,0.833414483414885,0
LIRCMOP7_BC,1,0.5,1,2800,2900,158.262770791667,40,2,2000,471,0.942,20,20,0,1,0.914,0.086,2.07662059232096,13.5779991852819,0,1,0.52,0.74,0.028,0.866429119698258,0.747222492842296,0.771646662785119,0.968347987335721,0.598401089263807,0.61563832626059,0.972001033299076,0.65,0.15,0,0.106647121612641,0
LIRCMOP7_BC,1,0.5,0.5,2800,2900,158.262770791667,40,2,2000,498,0.996,20,20,0,1,0.674,0.326,0.133712733430834,1.84270916753312,0,1,0.52,0.7,0.024,0.874335906100142,0.455165357660723,0.484143518098611,0.940145516040999,0.292644860615367,0.304367976782542,0.961483739875989,0.3,0.3,0,0.0660914531083918,0.0339760151859627
LIRCMOP7_BC,2,0.5,1,2800,2900,157.421060291667,37,2,2000,412,0.824,20,20,0,1,0.978,0.022,8.53300990497869,54.7001451947321,0,1,0.44,0.66,0.032,0.831361436251967,0.951568114701102,0.980874746936806,0.970121942350717,0.214769290215125,0.217459041688564,0.987630997301594,0.85,0.05,0,0.948558009116942,0
LIRCMOP7_BC,2,0.5,0.5,2800,2900,157.421060291667,37,2,2000,485,0.97,20,20,0,1,0.83,0.17,0.857264005522594,9.43646930360141,0,1,0.44,0.66,0.024,0.853674845444989,0.588446726047341,0.623631901727141,0.943580218423151,0.10361439405907,0.106349030489985,0.974286211935208,0.75,0.25,0.1,0.784391373706812,0
LIRCMOP8_BC,1,0.5,1,3000,3100,114.910873458333,32,1,1000,496,0.992,20,20,0,1,0.886,0.114,0.930699018954572,7.81444809840609,0,1,0.42,0.72,0.022,0.863826566946808,0.519243375597902,0.535849696280482,0.969009368116003,0.25240234170513,0.256917692248988,0.982424913970182,0.85,0.1,0.05,0.424885969720885,0
LIRCMOP8_BC,1,0.5,0.5,3000,3100,114.910873458333,32,1,1000,500,1,20,20,0,1,0.774,0.226,0.25401919904687,1.58638645453151,0,1,0.42,0.62,0.026,0.845475738024765,0.32890706721825,0.348011007860861,0.945105355258622,0.184782700039819,0.189818546495166,0.973470208531624,0.75,0.2,0.1,0.527837142945806,0
LIRCMOP8_BC,2,0.5,1,3400,3500,114.987549041667,32,1,1000,499,0.998,20,20,0,1,0.896,0.104,1.59088768066311,15.4100909704178,0,1,0.48,0.6,0.012,0.802184307217854,0.575649642866814,0.594698769015404,0.967968445301932,0.264458558576056,0.269729710786805,0.980457650752036,0.85,0.1,0.05,1.18220829890199,0
LIRCMOP8_BC,2,0.5,0.5,3400,3500,114.987549041667,32,1,1000,500,1,20,20,0,1,0.624,0.376,0.0979908928138571,1.49688810865158,0,1,0.48,0.54,0.014,0.784422859478462,0.339556170707436,0.361149967011806,0.940208228501198,0.09786705815083,0.100284307030218,0.97589604045766,0.55,0.15,0,0.126227215885411,0
