taskIndex,stageName,factorName,armName,armValue,problem,run,seed,initialEpoch,retrainEpoch,nCritic,resultStage,reused,outputFile,sourceStageName,sourceArmName,sourceArmValue,trajectoryPoints,firstFE,lastFE,igdPenalty,nonfiniteIGDCount,gAUC,rawIGD100K,IGD100K,feasibleCount100K,snapshotCount,auditPresent,wallClockSeconds,trainingEventCount,retrainEventCount,medianPostAllRelationRMSE,medianPostChangedRelationRMSE,medianPostCriticGap,medianPostGeneratedNearest,medianPostGeneratedSpread,blockIndex,blockCombinedScore,gAUCRatioToBest,IGD100KRatioToBest
1,ratio,nCritic,nCritic=1,1,LIRCMOP5_BC,1,1,500,10,1,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic01_run01.mat,ratio,nCritic,1,500,200,100000,249.901721368189,0,0.350439738481203,0.0252097449133165,0.0252097449133165,100,10,1,829.780396958333,315,314,0.0268907306478858,0.0294329535945185,0.096311092376709,0.385021877313135,0.0998303944864888,1,1.59247939538529,1.84134339930136,0.974955093983121
2,ratio,nCritic,nCritic=2,2,LIRCMOP5_BC,1,1,500,10,2,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic02_run01.mat,ratio,nCritic,2,500,200,100000,249.901721368189,0,0.253021250376231,0.0183044041809929,0.0183044041809929,100,10,1,1238.437364625,364,363,0.0226740258503194,0.0257874152574249,0.0506570339202881,0.257470825543812,0.136168787688723,1,1.15302631649126,1.32946968652141,0.707899749083073
3,ratio,nCritic,nCritic=4,4,LIRCMOP5_BC,1,1,500,10,4,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic04_run01.mat,ratio,nCritic,4,500,200,100000,249.901721368189,0,0.190317427273026,0.0258573395522491,0.0258573395522491,100,10,1,2027.73857375,397,396,0.0256778479595428,0.0289068987602054,0.167473077774048,0.262146100748157,0.130410542051091,1,1.1885408714459,1,1
4,ratio,nCritic,nCritic=1,1,LIRCMOP5_BC,2,2,500,10,1,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic01_run02.mat,ratio,nCritic,1,500,200,100000,249.901721368189,0,0.144445254974417,0.0187428015608362,0.0187428015608362,100,10,1,1024.945367125,382,381,0.030151635356207,0.0337551664242952,0.0936075448989868,0.271050591828888,0.188446640073806,2,1.02056236282328,0.830629981248357,0.546276131639217
5,ratio,nCritic,nCritic=2,2,LIRCMOP5_BC,2,2,500,10,2,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic02_run02.mat,ratio,nCritic,2,500,200,100000,249.901721368189,0,0.173180045181535,0.0179951475142585,0.0179951475142585,100,10,1,1418.99195279167,402,401,0.0299860349252957,0.0303926098277528,0.0855042859911919,0.290730661736429,0.149667848814202,2,1.09495755474482,0.995868903462456,0.524485069132194
6,ratio,nCritic,nCritic=4,4,LIRCMOP5_BC,2,2,500,10,4,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic04_run02.mat,ratio,nCritic,4,500,200,100000,249.901721368189,0,0.173898436410073,0.0343101235351332,0.0343101235351332,100,10,1,2369.27435583333,449,448,0.0194836687370991,0.0257664134363533,0.103601932525635,0.121676408160811,0.107227558454818,2,1.51505930813272,1,1
7,ratio,nCritic,nCritic=1,1,LIRCMOP5_BC,3,3,500,10,1,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic01_run03.mat,ratio,nCritic,1,500,200,100000,249.901721368189,0,0.624796530453231,0.0249450189895419,0.0249450189895419,100,10,1,723.141236666667,262,261,0.0286592482158356,0.0317528748845611,-0.00624784827232361,0.425009751342314,0.0956796352221046,3,1.1839945355865,1.25785898976337,1.11446757681671
8,ratio,nCritic,nCritic=2,2,LIRCMOP5_BC,3,3,500,10,2,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic02_run03.mat,ratio,nCritic,2,500,200,100000,249.901721368189,0,0.724860914976708,0.0317068163521264,0.0317068163521264,100,10,1,912.405429416667,246,245,0.0301837187873319,0.0327153099401282,0.0511220097541809,0.326260350193384,0.0822189836369928,3,1.43777899317656,1.45931158991896,1.41656411660144
9,ratio,nCritic,nCritic=4,4,LIRCMOP5_BC,3,3,500,10,4,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic04_run03.mat,ratio,nCritic,4,500,200,100000,249.901721368189,0,0.496714286369068,0.0223829023907481,0.0223829023907481,100,10,1,1802.12503691667,365,364,0.0302979070135469,0.0369652879845061,0.0897864103317261,0.23353314558472,0.0826543044768462,3,1,1,1
10,ratio,nCritic,nCritic=1,1,LIRCMOP5_BC,4,4,500,10,1,ratio,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic01_run04.mat,ratio,nCritic,1,500,200,100000,249.901721368189,0,0.354997534792766,0.0204829670878788,0.0204829670878788,100,10,1,817.410184708333,319,318,0.0328533999173409,0.0361094451573133,0.0238449573516846,0.426059608181911,0.125123718180977,4,1.15612061408143,1.04257367159981,1.28203398063277
