problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,24811,22003,19390,7038,7038,129,6909,911,0.0270187946703261,0.0289245625751863,0.00957844594250616,0.982807615799943,0,1,0.062015503875969,0.558112606744826,0.0309740917643653,0,0,0,0.00113668655868144,8,0,0,0.062015503875969,3856,214,0.241720312787937,0.241720312787937,1,1,100,918,884,884,0.33637246828079,0.334439557266817,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP1_BC,DASCMOP_BC,2,1002,25239,22503,19140,6998,6998,129,6869,918,0.0243475541376468,0.0263557599107666,0.00559231966352408,0.982423549585596,0,1,0.0465116279069767,0.572572426845247,0.0513903042655408,0,0,0,0.000857387825092884,6,0,0,0.0465116279069767,3933,353,0.249975012687836,0.249975012687836,1,1,100,920,879,879,0.298360026026606,0.296971681097613,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP1_BC,DASCMOP_BC,3,1003,25123,22132,19158,7042,7042,88,6954,918,0.026784048343822,0.0288353691288586,0.00864380701684621,0.989065606361829,0,1,0.125,0.580241587575496,0.0382513661202186,0,0,0,0.00156205623402442,11,0,0,0.125,4035,266,0.239340737516614,0.239340737516614,1,1,100,919,889,889,0.292132375972293,0.288752086151667,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP1_BC,DASCMOP_BC,4,1004,25376,22288,19700,7195,7195,73,7122,919,0.0174479005646303,0.0188253186158136,0.00599839677491988,0.991382904794997,0,1,0.150684931506849,0.506739679865206,0.0241505195169896,0,0,0,0.00152883947185546,11,0,0,0.150684931506849,3609,172,0.292759273374534,0.292759273374534,1,1,100,918,912,912,0.366285759269513,0.364918238199012,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP1_BC,DASCMOP_BC,5,1005,25750,22873,19530,7152,7152,125,7027,916,0.0378275985886235,0.040849299091566,0.0116276929133995,0.983640939597315,0,1,0.064,0.597694606517717,0.0462501778852996,0,0,0,0.00111856823266219,8,0,0,0.064,4200,325,0.235590803778939,0.235590803778939,1,1,100,916,867,867,0.279307707355226,0.275037683156894,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP1_BC,DASCMOP_BC,6,1006,26155,23325,19227,7007,7007,83,6924,916,0.029613236624397,0.0318735926724738,0.00791934234801842,0.98886827458256,0,1,0.0602409638554217,0.583044482957828,0.0337954939341421,0,0,0,0.000713572142143571,5,0,0,0.0602409638554217,4037,234,0.244974720705326,0.244974720705326,1,1,100,918,887,887,0.313579779224953,0.310627266414551,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP2_BC,DASCMOP_BC,1,1001,32005,29285,20264,7273,7273,201,7072,916,0.013224389114483,0.0139411856696623,0.00379146410279732,0.97456345387048,0.0298507462686567,1,0.0796019900497512,0.306702488687783,0.0615101809954751,0.00107991360691145,1,0,0.00219991750309363,16,0,6,0.0796019900497512,2169,435,0.243977473443664,0.243977473443664,1,1,100,914,910,910,0.266033110007318,0.265905613115685,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP2_BC,DASCMOP_BC,2,1002,31859,29515,20135,7218,7218,347,6871,917,0.0198632823025706,0.0207531832739462,0.00622244054858225,0.952895538930452,0.0201729106628242,1,0.0201729106628242,0.286421190510843,0.0691311308397613,0.00323974082073434,9,2.57160642363821e-06,0.000969797727902466,7,0,7,0.0201729106628242,1968,475,0.244239058668729,0.244239058668729,1,1,100,912,908,908,0.265925532211242,0.265184741611795,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP2_BC,DASCMOP_BC,3,1003,30351,27992,19461,7097,7097,324,6773,921,0.0280601555337511,0.02930747340856,0.00999042894824605,0.956460476257574,0.0123456790123457,1,0.0462962962962963,0.337221319946848,0.0571386387125351,0,0,0,0.00211356911371002,15,0,4,0.0462962962962963,2284,387,0.248009327160809,0.248009327160809,1,1,100,908,904,904,0.2656240304416,0.263015553520856,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP2_BC,DASCMOP_BC,4,1004,33355,30585,20664,7298,7298,314,6984,916,0.0184860162322079,0.0194282581037782,0.0059400384533221,0.958755823513291,0.0414012738853503,1,0.0414012738853503,0.3512313860252,0.0697308132875143,0,0,0,0.00178130994793094,13,0,13,0.0414012738853503,2453,487,0.251664077053576,0.251664077053576,1,1,100,910,906,906,0.238930802158936,0.237807210420113,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
