problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,26441,19951,18377,6946,6946,32,6914,913,0.0855525607857333,0.0939028176262665,0.0552495338235367,0.995824935214512,0,1,0.09375,0.405264680358693,0.0319641307492045,0,0,0,0.000431903253671178,3,0,0,0.09375,2802,221,0.371810304672069,0.371810304672069,1,1,99,918,816,816,0.382118554605908,0.382079135378264,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP1_BC,DASCMOP_BC,2,1002,25860,19026,18039,6970,6970,18,6952,916,0.0434989038223061,0.0474738125214872,0.0333201328274515,0.998278335724534,0,1,0.333333333333333,0.426064441887227,0.0163981588032221,0,0,0,0.000860832137733142,6,0,0,0.333333333333333,2962,114,0.345698308484906,0.345698308484905,1,1,99,919,900,900,0.411184844467581,0.410608132814292,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP1_BC,DASCMOP_BC,3,1003,24943,19195,18013,7010,7010,31,6979,914,0.0723212549757866,0.0803564635698781,0.0514756513419326,0.996718972895863,0,1,0.258064516129032,0.440177675884797,0.0217796245880499,0,0,0,0.00114122681883024,8,0,0,0.258064516129032,3072,152,0.29954158820712,0.29954158820712,1,1,97,919,884,884,0.367865746095804,0.367625216249097,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP1_BC,DASCMOP_BC,4,1004,26168,19757,18412,7048,7048,56,6992,915,0.0883035344870915,0.0963918868187152,0.0598325647626336,0.993047673098751,0,1,0.125,0.524599542334096,0.0337528604118993,0,0,0,0.000993189557321226,7,0,0,0.125,3668,236,0.377374547922833,0.377374547922833,1,1,100,919,914,914,0.369972495315752,0.369118377318216,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP1_BC,DASCMOP_BC,5,1005,25803,19465,18057,6996,6996,17,6979,917,0.0473952704863181,0.0499103898072462,0.0334112484304759,0.998427672955975,0,1,0.352941176470588,0.492907293308497,0.00544490614701247,0,0,0,0.000857632933104631,6,0,0,0.352941176470588,3440,38,0.357640444558409,0.357640444558409,1,1,86,919,901,901,0.42882744280028,0.42882744280028,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP1_BC,DASCMOP_BC,6,1006,25041,18580,17770,6870,6870,24,6846,910,0.0630298682579159,0.0695423508588275,0.0457507808765065,0.996943231441048,0,1,0.125,0.449313467718376,0.0213263219398189,0,0,0,0.000436681222707424,3,0,0,0.125,3076,146,0.37355047299083,0.37355047299083,1,1,98,920,841,841,0.414792051720642,0.41446321031228,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP2_BC,DASCMOP_BC,1,1001,32198,25740,19698,7125,7125,33,7092,917,0.0368420453766535,0.0381925081580846,0.0262756208379724,0.996631578947368,0.0606060606060606,1,0.272727272727273,0.488296672306825,0.00352509870276368,0.00323624595469256,3,2.00992171545702e-06,0.00126315789473684,9,0,2,0.272727272727273,3463,25,0.45988564737704,0.45988564737704,1,1,100,913,909,909,0.424279825109399,0.423797331849303,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP2_BC,DASCMOP_BC,2,1002,32720,25805,20252,7192,7192,57,7135,915,0.0505549693557961,0.0524640382275787,0.0380055046319362,0.993882091212458,0.0526315789473684,1,0.228070175438596,0.53791170287316,0.00616678346180799,0,0,0,0.00180756395995551,13,0,3,0.228070175438596,3838,44,0.421676630067546,0.421676630067546,1,1,100,913,909,909,0.378679800412899,0.376584651955369,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP2_BC,DASCMOP_BC,3,1003,32355,25439,19701,7074,7074,46,7028,917,0.0625499358838415,0.0671774275499784,0.040608805594399,0.994345490528697,0.0217391304347826,1,0.130434782608696,0.60088218554354,0.00853727945361412,0.0021551724137931,3,1.12799014271552e-06,0.000848176420695505,6,0,1,0.130434782608696,4223,60,0.307907494323623,0.307907494323623,1,1,87,915,911,911,0.372757655350417,0.371502789351382,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP2_BC,DASCMOP_BC,4,1004,33974,26537,20548,7271,7271,45,7226,916,0.0732514753458007,0.0783357739243394,0.0492310430191448,0.995323889423738,0.222222222222222,1,0.244444444444444,0.53141433711597,0.00276778300581234,0.00107991360691145,3,1.29263295101153e-06,0.00151285930408472,11,0,10,0.244444444444444,3840,20,0.413246112405891,0.413246112405891,1,1,100,914,910,910,0.357171316374559,0.356366864102014,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
