scope,name,family,metric,baseVariant,compareVariant,baseDescription,compareDescription,betterDirection,pairCount,baseMean,compareMean,meanDiff,baseMedian,compareMedian,medianDiff,signrankP,holmAdjustedP
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,boundarycore_raw,BoundaryCore mainline with beta calibrator,"BoundaryCore mainline with raw calibrator",lower_better,6,0.0423628857359469,0.00822666744320237,-0.0341362182927446,0.0422343497208084,0.00828157468243232,-0.034250389628379,0.03125,0.40625
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,bridge_topk_1,BoundaryCore mainline with beta calibrator,"Bridge ablation with BridgeTopK = 1",lower_better,6,0.0423628857359469,0.0465066520104228,0.00414376627447586,0.0422343497208084,0.0486132161092196,0.00505459635442659,0.5625,1
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,bridge_topk_3,BoundaryCore mainline with beta calibrator,"Bridge ablation with BridgeTopK = 3",lower_better,6,0.0423628857359469,0.0543739962261398,0.0120111104901928,0.0422343497208084,0.0567284846224616,0.0138680887056207,0.0625,0.5
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,bridge_gap_0,BoundaryCore mainline with beta calibrator,"Bridge ablation with BridgeActivationGap = 0",lower_better,6,0.0423628857359469,0.0423628857359469,0,0.0422343497208084,0.0422343497208084,0,1,1
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,bridge_gap_0p02,BoundaryCore mainline with beta calibrator,"Bridge ablation with BridgeActivationGap = 0.02",lower_better,6,0.0423628857359469,0.0423628857359469,0,0.0422343497208084,0.0422343497208084,0,1,1
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,midpoint_only,BoundaryCore mainline with beta calibrator,"Finder ablation: midpoint only, no trust refine",lower_better,6,0.0423628857359469,0.0403142824363469,-0.00204860329960005,0.0422343497208084,0.0404039602819965,-0.000891727450242859,1,1
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,probe3_only,BoundaryCore mainline with beta calibrator,"Finder ablation: three probes only, no local refine",lower_better,6,0.0423628857359469,0.0423628857359469,0,0.0422343497208084,0.0422343497208084,0,1,1
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,boundarycore_no_trust,BoundaryCore mainline with beta calibrator,"Trust ablation: disable trust but force placement refine",lower_better,6,0.0423628857359469,0.0236488079353576,-0.0187140778005893,0.0422343497208084,0.0224194514682566,-0.0190812553422144,0.03125,0.40625
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,selector_pareto_only,BoundaryCore mainline with beta calibrator,"Selector ablation: Pareto-only ordering",lower_better,6,0.0423628857359469,0.0645003120341672,0.0221374262982203,0.0422343497208084,0.0669963999305418,0.024760470981527,0.03125,0.40625
problem,DASCMOP1_BC,DASCMOP_BC,M1_selected,boundarycore_beta,selector_boundary_only,BoundaryCore mainline with beta calibrator,"Selector ablation: boundary-only ordering",lower_better,6,0.0423628857359469,0.0405495288398118,-0.00181335689613512,0.0422343497208084,0.0409177679351028,-0.00177380143613415,0.6875,1
