problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,25391,20032,18024,6894,6894,0,6894,913,0.066371352916819,0.0733987379902468,0.035666794994165,1,NaN,1,NaN,0.196547722657383,0.0362634174644619,0.414649187521168,0.414649187521168,1,1,96,920,855,855,0.465237333020418,0.465237333020418,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP1_BC,DASCMOP_BC,2,1002,27550,22550,18611,6998,6998,0,6998,918,0.131628924778277,0.149571788367386,0.0453830996755166,1,NaN,1,NaN,0.086024578450986,0.0185767362103458,0.392945833620385,0.392945833620385,1,1,98,920,833,833,0.441118052009469,0.441118052009469,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP1_BC,DASCMOP_BC,3,1003,28878,23242,18980,7014,7014,0,7014,918,0.0308416112266516,0.0326168098728742,0.0195603513750094,1,NaN,1,NaN,0.211576846307385,0.0370687197034502,0.489067505368335,0.489067505368335,1,1,100,919,867,867,0.488802953234608,0.488802953234608,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP1_BC,DASCMOP_BC,4,1004,26943,22104,19128,7123,7123,1,7122,919,0.0929388094139286,0.100962665462588,0.0658223416074518,0.999859609715008,0,1,0,0.188149396237012,0.0278011794439764,0.496842038500142,0.496842038500142,1,1,100,918,845,845,0.436165335697585,0.436165335697585,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP1_BC,DASCMOP_BC,5,1005,26595,21093,18589,7114,7114,0,7114,916,0.0819500300817578,0.0908363969852013,0.0451411255698281,1,NaN,1,NaN,0.191453472026989,0.0268484678099522,0.506309716005515,0.506309716005515,1,1,100,916,837,837,0.456419867876851,0.456419867876851,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP2_BC,DASCMOP_BC,1,1001,31066,27952,19875,7243,7243,108,7135,916,0.0756016897158762,0.0785562109267926,0.0536596123067137,0.986883887891758,0,1,0.12037037037037,0.205606166783462,0.16916608269096,0.197608871991271,0.197608871991271,1,1,100,915,911,911,0.263036078153156,0.250674746699313,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP2_BC,DASCMOP_BC,2,1002,33188,30355,20445,7268,7268,82,7186,917,0.0806065876746045,0.0833430637986344,0.0536285899576368,0.989955971381398,0,1,0.109756097560976,0.130114110770944,0.146813247982188,0.257579403885109,0.257579403885109,1,1,100,912,908,908,0.314932974730592,0.295842144907204,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP2_BC,DASCMOP_BC,3,1003,30780,27296,19753,7216,7216,64,7152,919,0.0616473475321273,0.0643991001770616,0.0397317791474744,0.992655210643016,0,1,0.171875,0.153663310961969,0.112276286353468,0.380551850750917,0.380551850750917,1,1,100,916,912,912,0.377693696380703,0.375676697127203,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP2_BC,DASCMOP_BC,4,1004,33389,30792,21280,7298,7298,66,7232,916,0.0589966780252481,0.0602096049826809,0.0385448973541057,0.992326664839682,0,1,0.151515151515152,0.0824115044247788,0.135647123893805,0.314665513300826,0.314665513300826,1,1,98,912,908,908,0.371625912662613,0.367635322721303,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
DASCMOP2_BC,DASCMOP_BC,5,1005,30888,28575,19469,7145,7145,96,7049,916,0.0860201175956511,0.0885971817278991,0.0532871099535658,0.987963610916725,0,1,0.104166666666667,0.0902255639097744,0.17151368988509,0.239004505334624,0.223990025857119,1,1,100,907,903,903,0.281623769259333,0.255837697175638,0,0,0,beta,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,171.219114291667
