problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP1_BC,DASCMOP_BC,1,1001,25949,21300,19443,7148,7148,119,7029,914,0.0710938476764,0.0716936392306657,0.0674205389871384,0.98447118074986,0,1,0.0672268907563025,0.542040119504908,0.0273154075970977,0.16610330009091,0.16610330009091,1,1,99,905,872,872,0.250270172712583,0.247278085159371,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP1_BC,DASCMOP_BC,2,1002,25453,21190,19409,7157,7157,142,7015,918,0.0645677961048572,0.0654981012496819,0.0615311641993001,0.980857901355316,0,1,0.0352112676056338,0.51831789023521,0.0382038488952245,0.180212910074313,0.167588981880804,1,1,96,868,838,838,0.259386233535095,0.255792792114633,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP1_BC,DASCMOP_BC,3,1003,24534,20404,18607,7000,7000,80,6920,920,0.0575237408540775,0.0573072476054086,0.0516828257273942,0.989714285714286,0,1,0.1,0.497976878612717,0.0284682080924855,0.246917314174057,0.246917314174057,1,1,100,915,909,909,0.291984039542317,0.287938528493254,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP1_BC,DASCMOP_BC,4,1004,25028,20687,18820,7009,7009,98,6911,920,0.0640074506707629,0.0646114967431832,0.0620479492332406,0.987159366528749,0,1,0.0816326530612245,0.580234408913327,0.03183330921719,0.207231055857062,0.141568098610744,1,1,88,884,878,878,0.246550157367076,0.243148007401792,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP1_BC,DASCMOP_BC,5,1005,25717,20858,19047,7063,7063,162,6901,917,0.0585516595757298,0.0591340306596964,0.0566616827758789,0.978904148378876,0,1,0.0802469135802469,0.499492827126503,0.0462251847558325,0.173252340321604,0.173252340321604,1,1,98,896,834,834,0.218716972112411,0.213136062069122,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP2_BC,DASCMOP_BC,1,1001,32364,28532,20185,7227,7227,396,6831,916,0.0430279301215314,0.0423573792770488,0.0439493367506611,0.94728102947281,0.0454545454545455,1,0.0378787878787879,0.450153711023276,0.0696823305518958,0.155704427453069,0.155704427453069,1,1,99,870,866,866,0.196809686677912,0.187131859395909,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP2_BC,DASCMOP_BC,2,1002,32332,28673,20138,7198,7198,358,6840,918,0.0464134293643123,0.0454208501744199,0.046734306617286,0.951931091969992,0.00558659217877095,1,0.0335195530726257,0.423976608187135,0.0649122807017544,0.18782618864681,0.18782618864681,1,1,98,853,849,849,0.201444715828514,0.192312597377459,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP2_BC,DASCMOP_BC,3,1003,32884,29261,20142,7200,7200,442,6758,920,0.0395831804004715,0.0392172707499852,0.0413387040615962,0.940833333333333,0.0316742081447964,1,0.0361990950226244,0.485054749926014,0.0766498964190589,0.22424935712561,0.219281001233394,1,1,92,818,815,815,0.192890557611762,0.184022296322769,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP2_BC,DASCMOP_BC,4,1004,33750,29676,20973,7303,7303,492,6811,915,0.0365520113367073,0.0361387637676662,0.0356496946800677,0.935505956456251,0.032520325203252,1,0.0426829268292683,0.438114814271032,0.0785494053736603,0.167761282795894,0.163328012954312,1,1,99,814,810,810,0.184265879574309,0.175602013530306,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
DASCMOP2_BC,DASCMOP_BC,5,1005,32763,28742,20735,7280,7280,431,6849,915,0.0454681956975792,0.0447552264951047,0.0452778314551847,0.94271978021978,0.0255220417633411,1,0.0324825986078886,0.476857935465031,0.0724193312892393,0.157456297064469,0.157456297064469,1,1,96,825,821,821,0.19654861218687,0.185456629190534,0,0,0,beta,selector_random_shortlist,Selector ablation: random selection within Pareto shortlist,beta,176.004066041667
