variant,description,calibrator,algorithmOverride,runtimeOverride
boundarycore_beta,"BoundaryCore mainline with beta calibrator",beta,"{}","{}"
boundarycore_raw,"BoundaryCore mainline with raw calibrator",raw,"{}","{}"
bridge_topk_1,"Bridge ablation with BridgeTopK = 1",beta,"{}","{""BridgeTopK"":1}"
bridge_topk_3,"Bridge ablation with BridgeTopK = 3",beta,"{}","{""BridgeTopK"":3}"
bridge_gap_0,"Bridge ablation with BridgeActivationGap = 0",beta,"{}","{""BridgeActivationGap"":0}"
bridge_gap_0p02,"Bridge ablation with BridgeActivationGap = 0.02",beta,"{}","{""BridgeActivationGap"":0.02}"
midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,"{}","{""BridgeScanLambda"":0.5,""BridgeRefineStep"":0,""DisableTrust"":true}"
probe3_only,"Finder ablation: three probes only, no local refine",beta,"{}","{""BridgeScanLambda"":[0.25,0.5,0.75],""BridgeRefineStep"":0,""DisableTrust"":true}"
boundarycore_no_trust,"Trust ablation: disable trust but force placement refine",beta,"{}","{""BridgeScanLambda"":[0.25,0.5,0.75],""BridgeRefineStep"":0.125,""DisableTrust"":true,""ForcePlacementRefine"":true}"
selector_pareto_only,"Selector ablation: Pareto-only ordering",beta,"{}","{""SelectorMode"":""pareto_only""}"
selector_boundary_only,"Selector ablation: boundary-only ordering",beta,"{}","{""SelectorMode"":""boundary_only""}"
selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,"{}","{""SelectorMode"":""random_within_shortlist""}"
feasible_forward_off,"Refinement ablation: disable feasible forward exploit",beta,"{}","{""DisableFeasibleForward"":true}"
infeasible_shrink_off,"Refinement ablation: disable infeasible bracket shrink",beta,"{}","{""DisableInfeasibleShrink"":true}"
no_boundary,"Final-effect ablation: boundary budget disabled via bRho = 0",beta,"{""bRho"":0}","{}"
