problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP5_BC,MainBridge,RandSectorPair,SAR,20,0.915063946631284,0.912258119061494,4.46918275566199e-05,0.575486228136496
DASCMOP5_BC,MainBridge,RandSectorPair,GPR,20,0.993610639299386,0.99390761208937,0.000838455236538194,0.88129270865396
DASCMOP5_BC,MainBridge,RandSectorPair,FDR,20,0.000137362637362637,0.000335269864573654,-9.63701134745552e-05,0.178956113198432
DASCMOP5_BC,MainBridge,RandSectorPair,FSG,20,392,396.5,2.5,0.837244643479404
DASCMOP5_BC,MainBridge,TopKPair,SAR,20,0.915063946631284,0.926592263118606,-0.00849976162815003,0.204330247339066
DASCMOP5_BC,MainBridge,TopKPair,GPR,20,0.993610639299386,0.99596807696881,-0.00243958545877482,0.0227687437189218
DASCMOP5_BC,MainBridge,TopKPair,FDR,20,0.000137362637362637,0.000365469203272246,-6.35112703038446e-05,0.171238785249099
DASCMOP5_BC,MainBridge,TopKPair,FSG,20,392,392,0,1
DASCMOP6_BC,MainBridge,RandSectorPair,SAR,20,0.886165561490622,0.870616726372747,-0.0136172915477394,0.851924594814642
DASCMOP6_BC,MainBridge,RandSectorPair,GPR,20,0.971540314294715,0.978482224101901,-0.00969151452144812,0.0168809320876285
DASCMOP6_BC,MainBridge,RandSectorPair,FDR,20,0.000334705583321152,0.000313751537515375,-2.43701703235994e-07,0.851924594814642
DASCMOP6_BC,MainBridge,RandSectorPair,FSG,20,368.5,381,-6,0.243010106903447
DASCMOP6_BC,MainBridge,TopKPair,SAR,20,0.886165561490622,0.910139632999615,-0.0229898265377054,0.00999638847597945
DASCMOP6_BC,MainBridge,TopKPair,GPR,20,0.971540314294715,0.97906127518002,-0.00829130851163623,0.0365612891685472
DASCMOP6_BC,MainBridge,TopKPair,FDR,20,0.000334705583321152,0.000667924972150787,-2.80294502097803e-05,0.334138080595746
DASCMOP6_BC,MainBridge,TopKPair,FSG,20,368.5,368.5,0,0.25
LIRCMOP1_BC,MainBridge,RandSectorPair,SAR,20,1,1,0,1
LIRCMOP1_BC,MainBridge,RandSectorPair,GPR,20,1,1,0,1
LIRCMOP1_BC,MainBridge,RandSectorPair,FDR,20,0,0,0,1
LIRCMOP1_BC,MainBridge,RandSectorPair,FSG,20,145,145,0,1
LIRCMOP1_BC,MainBridge,TopKPair,SAR,20,1,1,0,1
LIRCMOP1_BC,MainBridge,TopKPair,GPR,20,1,1,0,1
LIRCMOP1_BC,MainBridge,TopKPair,FDR,20,0,0,0,1
LIRCMOP1_BC,MainBridge,TopKPair,FSG,20,145,145,0,1
MW1_BC,MainBridge,RandSectorPair,SAR,20,0.373107861784752,0.394172179064783,-0.0226711476520085,0.000593416794721743
MW1_BC,MainBridge,RandSectorPair,GPR,20,0.679422409306668,0.658398140645069,0.0221646194869599,0.00511104872193828
MW1_BC,MainBridge,RandSectorPair,FDR,20,0.376820913660111,0.416690411834859,-0.0440806944543383,8.85745768786357e-05
MW1_BC,MainBridge,RandSectorPair,FSG,20,69.5,69.5,0,0.886610309166212
MW1_BC,MainBridge,TopKPair,SAR,20,0.373107861784752,0.409835983757457,-0.0346241958816378,8.85745768786357e-05
MW1_BC,MainBridge,TopKPair,GPR,20,0.679422409306668,0.659719231674112,0.0204687220051702,0.0227687437189218
MW1_BC,MainBridge,TopKPair,FDR,20,0.376820913660111,0.406272631068951,-0.0276691317498243,8.85745768786357e-05
MW1_BC,MainBridge,TopKPair,FSG,20,69.5,69.5,0,1
