problem,family,winnerByFDRThenFSG,MainBridge_medianFDR,MainBridge_medianFSG,MainBridge_medianSAR,MainBridge_medianGPR,RandSectorPair_medianFDR,RandSectorPair_medianFSG,RandSectorPair_medianSAR,RandSectorPair_medianGPR,TopKPair_medianFDR,TopKPair_medianFSG,TopKPair_medianSAR,TopKPair_medianGPR
DASCMOP1_BC,DASCMOP_BC,TIE:MainBridge/TopKPair,0,12,0.99757975058,1,0,13,0.997569734122,1,0,12,0.997661697774,1
DASCMOP2_BC,DASCMOP_BC,TopKPair,0.0012318160488,9,0.996048861409,1,0.00394117647059,11,0.996514604732,0.999968691296,0.0062518089725,9,0.99738048461,1
DASCMOP3_BC,DASCMOP_BC,TopKPair,0.00404448938322,10,0.976156413925,0.999093381686,0.00363372093023,12,0.984095427435,0.998941574936,0.00415486307838,10,0.986362711174,0.999622997172
DASCMOP4_BC,DASCMOP_BC,RandSectorPair,0,387,0.910967930883,0.996145292809,0.000144279324773,375,0.933094384707,0.993164838658,0,387,0.885151968112,0.994904458599
DASCMOP5_BC,DASCMOP_BC,RandSectorPair,0.00024090580583,378,0.915441176471,0.994744832419,0.000457613545361,379,0.940712945591,0.993495593789,0.000263852242744,378,0.926963950823,0.995553837232
DASCMOP6_BC,DASCMOP_BC,TopKPair,0.000366032210835,401,0.799941503364,0.955414012739,0.000296120817293,380,0.815637065637,0.972996265441,0.000402414486922,386,0.879669421488,0.98300701884
DASCMOP7_BC,DASCMOP_BC,TopKPair,0.000323519896474,354,0.832516770935,0.97508675149,0.000236966824645,354,0.787301587302,0.972938247812,0.000584055290568,354,0.873123760974,0.980919765166
DASCMOP8_BC,DASCMOP_BC,TopKPair,0.000275103163686,332,0.878072694166,0.976053987374,0.00089058524173,332,0.879716819025,0.979316167159,0.00107400898262,332,0.942061354529,0.989307395143
DASCMOP9_BC,DASCMOP_BC,TopKPair,0.000202702702703,10,0.994626114795,0.999512380127,0.000486914181376,10,0.994147483418,0.99960768929,0.000516129032258,10,0.997125256674,0.999647100341
LIRCMOP1_BC,LIRCMOP_BC,TIE:MainBridge/RandSectorPair/TopKPair,0,81,1,1,0,81,1,1,0,81,1,1
