problem,run,targetFE,actualFE,gen,variant,condition_mode,boundaryTargetMode,snapshot_file,train_count,query_count,condition_dim,condition_unique_count,condition_duplicate_count,condition_nn_dist50,condition_nn_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_pair_dec_dist50,train_pair_dec_dist90,advWeight,reconstructionWeight,huberDelta,iter,checkpoint_epoch,chunk_epoch,trainMode,miniBatch,g_updates,d_updates,runtime_sec,train_x_rec50,train_x_rec90,train_x_recmax,train_y_rec50_raw,train_y_rec90_raw,train_y_recmax_raw,train_y_rec50_norm,train_y_rec90_norm,train_y_recmax_norm,status,error_message
LIRCMOP7_BC,1,50000,50156,220,online_like_adv_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,1,1,0.1,1,1,1,epoch,32,2,2,0.935498375,1.57019775271538,1.69005115318152,1.69267500505821,23.2127889031002,23.4382446551547,23.5466740201706,0.354448593754982,0.355659345646179,0.356595872746999,ok,
LIRCMOP7_BC,1,50000,50156,220,online_like_adv_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,1,1,0.1,2,2,1,epoch,32,4,4,1.0510575,1.56350679454898,1.68207857482034,1.68647119126666,23.2030863686747,23.4337286789083,23.5351992414007,0.353707605742932,0.354982002822627,0.35583052181659,ok,
LIRCMOP7_BC,1,50000,50156,220,online_like_adv_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,1,1,0.1,5,5,3,epoch,32,10,10,1.19390816666667,1.54257052860734,1.6570738663174,1.66680383976697,23.1292270583462,23.3303295490095,23.4311365080949,0.350871220816121,0.351749744096664,0.352624754041328,ok,
LIRCMOP7_BC,1,50000,50156,220,online_like_adv_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,1,1,0.1,10,10,5,epoch,32,20,20,1.366617,1.50284271014944,1.61307388998491,1.62892890604063,22.6942571326029,22.847248037718,22.9560349767618,0.342020957942546,0.343006751550374,0.343676518462845,ok,
LIRCMOP7_BC,1,50000,50156,220,online_like_adv_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,1,1,0.1,20,20,10,epoch,32,40,40,1.68894225,1.43412140834059,1.5402472822313,1.56013201267635,21.2689538469064,21.4230401935684,21.5402918095818,0.319882492165905,0.321277174969596,0.321918635770215,ok,
LIRCMOP7_BC,1,50000,50156,220,online_like_adv_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,1,1,0.1,50,50,30,epoch,32,100,100,2.26834754166667,1.16259390515007,1.22141928135641,1.23078153188217,10.7151041764355,10.7945726722901,10.8145150490238,0.164605584489671,0.167570867801169,0.168170527249605,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,1,1,1,epoch,32,2,0,0.572140125,1.56437783363845,1.683980479363,1.68619395087384,22.871187433314,23.0884953507582,23.1863899133721,0.34955685382196,0.350643718035455,0.351426431606578,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,2,2,1,epoch,32,4,0,0.677717166666667,1.55227749943412,1.67044648684129,1.67396011931396,22.5245896896765,22.7225215226637,22.8122315297112,0.344050078508813,0.344826841536865,0.345498247008217,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,5,5,3,epoch,32,10,0,0.782419625,1.51739438604882,1.63148918248563,1.63852097087343,21.4901018423839,21.6120475247583,21.697136005577,0.327475438181569,0.328058146682585,0.32831899209884,ok,
LIRCMOP7_BC,1,50000,50156,220,supervised_huber_epoch50,ref_y,feasible_endpoint,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/single_stage_overfit_endpoint_yb_norm_20260624_203803/LIRCMOP7_BC_run1_targetFE050000_snapshot.mat,42,30,4,16,26,0,4.47034835815436e-09,-0,0,0,0.334569988277098,0.387778880050742,0,1,0.1,10,10,5,epoch,32,20,0,0.894011791666667,1.45696593392151,1.56510246784981,1.57542897586472,19.5093647175267,19.5930329094744,19.6470255530311,0.296367672615648,0.298369295110616,0.299027501053918,ok,
