setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,networkPreset,generatorHidden,discriminatorHidden,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,10000,10013,47,117,1,0.39,117,0,0.00357597910729333,0.00872728126149728,117,30,2,0.00616600790513834,27.3504273504273,0.314532416856355,0.417001658557186,0,0.895061846008125,0.205128205128205,0.462699466262395,1.57245567265221,zero,23,7,30,30,0.256410256410256,0.00537683585640963,0.0186513374234584,0,0.0329922301991109,NaN,0.5,0.00336783831547383,0.692307692307692,0.0135157081701772,0.0329922301991109,0.0330175084665382,0.0320752117267636,1,400,111,622,622,471,151,229,62,74,42,3589,0,124,124,124,124,117,117,117,117,117,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,30000,30023,134,45,1,0.15,45,0,0.00176066329872774,0.00696535459343511,45,30,2,0.00237154150197628,71.1111111111111,0.241847250267504,0.444681751541478,-0,0.835611676976552,0.133333333333333,0.539651477425439,1.49617834882987,zero,11,19,30,8,0.666666666666667,0.00710797184759163,0.0227238846798653,0,0.0287272300694292,NaN,0.833333333333333,0.0319717275481442,0.466666666666667,0.0134196440834727,0.0287272300694292,0.0271283692599105,0.0292470500989139,0.266666666666667,400,48,496,496,392,104,164,43,28,16,4785,1,48,48,48,48,45,45,45,45,45,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,50000,50033,221,150,1,0.5,150,0,0.00514421237463362,0.0101004313748356,150,30,2,0.00790513833992095,21.3333333333333,0.469409397345512,0.687237067088984,0,0.920981105037055,0.16,0.597142615200223,0.794141104678194,zero,30,0,30,24,0.2,0.0379567507739863,0.0600293730205931,0,0.0735718669193896,NaN,0,-0.0765051827139579,0.04,0.0558475733126779,0.08043549748415,0.08043549748415,NaN,0.8,400,150,700,700,304,396,268,50,100,50,12193,3,150,150,150,150,150,150,150,150,150,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,70000,70043,308,48,1,0.16,48,0,0.0051631664362216,0.0200310557892064,48,30,2,0.0025296442687747,66.6666666666667,0.147874424720821,0.427478585839788,0.403818436304725,0.647056729938803,0.625,0.435426368741084,1.0465566453554,zero,30,0,30,14,0.625,0.00112359193347728,0.0116594303883326,0,0.0452101690977264,NaN,0.433333333333333,-0.000545893310081702,0.25,0.00734326280340394,0.0537125759066583,0.0537125759066583,NaN,0.466666666666667,400,45,490,490,304,186,187,22,100,22,4870,70,66,66,66,60,48,48,48,48,48,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,100000,100173,439,78,1,0.26,78,0,0.00768052561681092,0.0162229052994934,78,30,2,0.00411067193675889,41.025641025641,0.138200000416331,0.275521763579841,0.269701207766159,0.499426687438847,0.615384615384615,0.129625175012706,0.117992248736603,zero,30,0,30,0,0.384615384615385,0.00219198514472058,0.0027977121803191,0,0.00446286619567314,NaN,0.8,0.0535377138140835,0,0.00459558637822666,0.0066180061729443,0.0066180061729443,NaN,0,400,69,538,538,341,197,259,69,100,69,4867,1946,119,119,119,111,78,78,78,78,78,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,10000,10220,49,51,1,0.17,51,0,0.00409835154486078,0.00717175715380162,51,30,2,0.00268774703557312,62.7450980392157,0.302327292288582,0.437124686937465,0,0.653471567034873,0.0784313725490196,0.712470169076036,2.73906272840937,zero,17,13,30,30,0.588235294117647,0.0394518344894497,0.0417109506990002,0,0.0560185785730691,NaN,0.466666666666667,-0.00188323647990152,1,0.0443690869033599,0.0576652807909554,0.0580120400564297,0.0547982307572573,1,400,57,514,514,440,74,182,54,42,21,1313,0,63,63,63,63,51,51,51,51,51,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,30000,30000,135,147,1,0.49,147,0,0.00184303792879039,0.00634191121785953,147,30,2,0.00774703557312253,21.7687074829932,0.362440312322491,0.491552402442902,0,1,0.163265306122449,0.539767240527494,0.853117626552966,zero,28,2,30,3,0.204081632653061,0.0140334379454382,0.0181401272908115,0,0.0181934467379315,NaN,0.6,0.00459198971055097,0.122448979591837,0.0142624435465011,0.0199101065696361,0.0198633574780844,0.0196373856048212,0.1,400,125,650,650,430,220,273,69,86,57,5467,1,171,171,171,171,147,147,147,147,147,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,50000,50010,222,201,1,0.67,201,0,0.00204652755659332,0.00522385616112868,201,30,2,0.0105928853754941,15.9203980099502,0.422698831344776,0.615033450356851,0,1,0.0895522388059701,0.591303950194043,0.779554724633625,zero,23,7,30,5,0.149253731343284,0.00698134475584805,0.0180697062319493,0,0.018449897769298,NaN,0.533333333333333,0.0222212584449508,0.0895522388059701,0.0125702199678179,0.0189137344422591,0.0191274834770322,0.0182134554637474,0.166666666666667,400,180,760,760,446,314,324,74,100,74,8665,0,222,222,222,218,201,201,201,201,201,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,70000,70020,309,62,1,0.21,62,0,0.00777901719844705,0.027842443966977,62,30,2,0.00326745718050066,51.6129032258064,0.138163512282462,0.374255319516316,0.231630029198277,0.747743050304766,0.370967741935484,0.539639132667365,1.1007924400804,zero,30,0,30,0,0.483870967741935,0.00722200754968861,0.00877725476996257,0,0.00877725476996257,NaN,0,-0.0982427407666551,0,0.00755953331736012,0.00909107325076747,0.00909107325076747,NaN,0,400,62,524,524,310,214,236,36,100,36,6918,599,62,62,62,62,62,62,62,62,62,0,30
A_ref_only_adv,A_ref_only_adv,ref_only,1,0,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,100000,100150,440,93,1,0.33,93,0,0.00817991400920144,0.0451158900434315,93,30,2,0.00490118577075099,34.4086021505376,0.173088660224337,0.443553286230552,0.0764570285959023,0.931412265777246,0.451612903225806,0.481157189030936,1.08215536463446,zero,30,0,30,1,0.32258064516129,0.00182684911715944,0.0122104114778994,0,0.013597634483173,NaN,0.933333333333333,0.0337287901944686,0.0606060606060606,0.00524307646157519,0.0137260561285599,0.0137260561285599,NaN,0.0333333333333333,400,75,550,550,299,251,233,53,91,49,6138,1320,113,113,113,108,93,93,93,93,93,0,30
