problem,target_FE,raw_generated_count,visible_red_components,red_pixel_area,train_count,query_count,feasible_generated_count
DASCMOP1_BC,10000,20,5,3202,15,5,16
DASCMOP1_BC,30000,20,5,1826,41,5,0
DASCMOP1_BC,50000,20,7,2272,39,5,0
DASCMOP1_BC,70000,20,4,1928,40,5,0
DASCMOP1_BC,100000,20,7,3117,42,5,0
DASCMOP2_BC,10000,20,5,2800,26,5,0
DASCMOP2_BC,30000,20,6,1086,52,5,0
DASCMOP2_BC,50000,20,7,2429,51,5,17
DASCMOP2_BC,70000,20,6,2797,52,5,1
DASCMOP2_BC,100000,20,10,4551,54,5,8
DASCMOP4_BC,10000,20,1,326,43,5,0
DASCMOP4_BC,30000,20,1,326,44,5,0
DASCMOP4_BC,50000,20,10,6061,36,5,2
DASCMOP4_BC,70000,20,1,326,40,5,0
DASCMOP4_BC,100000,20,8,3837,40,5,8
DASCMOP5_BC,10000,0,0,0,0,0,0
DASCMOP5_BC,30000,0,0,0,0,0,0
DASCMOP5_BC,50000,0,0,0,0,0,0
DASCMOP5_BC,70000,0,0,0,0,0,0
DASCMOP5_BC,100000,0,0,0,0,0,0
LIRCMOP5_BC,10000,8,1,326,2,2,8
LIRCMOP5_BC,30000,20,7,5136,28,5,0
LIRCMOP5_BC,50000,20,5,2294,77,5,12
LIRCMOP5_BC,70000,20,6,5434,79,5,8
LIRCMOP5_BC,100000,20,4,580,84,5,20
LIRCMOP6_BC,10000,20,5,4507,55,5,0
LIRCMOP6_BC,30000,20,4,3364,82,5,16
LIRCMOP6_BC,50000,20,14,8971,58,5,8
LIRCMOP6_BC,70000,20,8,6130,73,5,4
LIRCMOP6_BC,100000,20,7,3170,95,5,12
LIRCMOP7_BC,10000,20,3,2580,57,5,0
LIRCMOP7_BC,30000,20,5,1781,53,5,0
LIRCMOP7_BC,50000,20,5,3157,97,5,0
LIRCMOP7_BC,70000,20,7,1838,98,5,8
LIRCMOP7_BC,100000,20,7,3140,99,5,4
LIRCMOP8_BC,10000,20,2,878,53,5,15
LIRCMOP8_BC,30000,20,4,4026,32,5,0
LIRCMOP8_BC,50000,20,5,2407,56,5,8
LIRCMOP8_BC,70000,20,1,326,55,5,20
LIRCMOP8_BC,100000,20,6,1595,101,5,9
LIRCMOP9_BC,10000,20,3,2359,26,5,20
LIRCMOP9_BC,30000,20,2,373,36,5,20
LIRCMOP9_BC,50000,20,1,326,33,5,20
LIRCMOP9_BC,70000,20,11,7337,37,5,14
LIRCMOP9_BC,100000,20,4,1021,54,5,16
LIRCMOP10_BC,10000,20,6,1934,24,5,0
LIRCMOP10_BC,30000,20,5,3929,26,5,20
LIRCMOP10_BC,50000,20,5,4720,32,5,20
LIRCMOP10_BC,70000,20,3,2066,55,5,20
LIRCMOP10_BC,100000,20,7,1331,61,5,4
