problem,run,target_FE,actual_FE,gen,figure_file
DASCMOP1_BC,1,10000,10012,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE010000.png
DASCMOP1_BC,1,30000,30200,141,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE030000.png
DASCMOP1_BC,1,50000,50219,232,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE050000.png
DASCMOP1_BC,1,70000,70019,322,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE070000.png
DASCMOP1_BC,1,100000,100159,459,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE100000.png
DASCMOP2_BC,1,10000,10069,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE010000.png
DASCMOP2_BC,1,30000,30081,139,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE030000.png
DASCMOP2_BC,1,50000,50101,230,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE050000.png
DASCMOP2_BC,1,70000,70121,321,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE070000.png
DASCMOP2_BC,1,100000,100041,457,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE100000.png
DASCMOP4_BC,1,10000,10090,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP4_BC_run1/figures/DASCMOP4_BC_run1_targetFE010000.png
DASCMOP4_BC,1,30000,30104,139,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP4_BC_run1/figures/DASCMOP4_BC_run1_targetFE030000.png
DASCMOP4_BC,1,50000,50124,230,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP4_BC_run1/figures/DASCMOP4_BC_run1_targetFE050000.png
DASCMOP4_BC,1,70000,70144,321,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP4_BC_run1/figures/DASCMOP4_BC_run1_targetFE070000.png
DASCMOP4_BC,1,100000,100064,457,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP4_BC_run1/figures/DASCMOP4_BC_run1_targetFE100000.png
DASCMOP5_BC,1,10000,10000,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP5_BC_run1/figures/DASCMOP5_BC_run1_targetFE010000.png
DASCMOP5_BC,1,30000,30000,149,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP5_BC_run1/figures/DASCMOP5_BC_run1_targetFE030000.png
DASCMOP5_BC,1,50000,50000,249,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP5_BC_run1/figures/DASCMOP5_BC_run1_targetFE050000.png
DASCMOP5_BC,1,70000,70209,346,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP5_BC_run1/figures/DASCMOP5_BC_run1_targetFE070000.png
DASCMOP5_BC,1,100000,100129,482,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/DASCMOP5_BC_run1/figures/DASCMOP5_BC_run1_targetFE100000.png
LIRCMOP5_BC,1,10000,10035,45,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE010000.png
LIRCMOP5_BC,1,30000,30055,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE030000.png
LIRCMOP5_BC,1,50000,50075,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE050000.png
LIRCMOP5_BC,1,70000,70095,318,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE070000.png
LIRCMOP5_BC,1,100000,100015,454,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE100000.png
LIRCMOP6_BC,1,10000,10080,45,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/boundary_quality_refdir_runs1_20260622_120345/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE010000.png
