problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10205,47,13,1,13,0,0.0232660166378083,0.604843877712782,13,14,14,0,0.0136645056930355,0.0190624443938026,0,0.0154131029539287,0.0415350298304361,0
DASCMOP1_BC,1,30000,30043,138,42,1,42,0,0.042737229196679,0.346822783062892,42,20,20,0,0.039278479739151,0.0412326949321959,0,0.0822716339731757,0.110601126015071,0
DASCMOP1_BC,1,50000,50063,229,43,1,43,0,0.0195072129804135,0.423432661142619,43,20,20,0,0.0244386726445225,0.0434369554649483,0,0.0717190613785752,0.0950026583950838,0
DASCMOP1_BC,1,70000,70083,320,42,1,42,0,0.0297834128282379,0.246743362988743,42,20,20,0,0.0248562035189753,0.0503892552694623,0,0.0837139771217566,0.103030570938593,0
DASCMOP1_BC,1,100000,100003,456,43,1,43,0,0.0354265292067796,0.303879817007919,43,20,20,3,0.0305211924433012,0.0543124132787226,0,0.0656337675798758,0.0995281022819981,0.15
DASCMOP2_BC,1,10000,10012,45,18,1,18,0,0.0277287746061747,0.209308683823659,18,18,18,0,0.0574754023078984,0.0580910159247369,0,0.116214536977886,0.118502618345825,0
DASCMOP2_BC,1,30000,30131,137,46,1,46,0,0.0536643703646984,0.305523022444674,46,20,20,0,0.0170426630511974,0.0200314052525209,0,0.0492106948192189,0.0854252920843879,0
DASCMOP2_BC,1,50000,50151,228,49,1,49,0,0.0501092802602523,0.310843186491575,49,20,20,0,0.149408871277395,0.156593350799676,0,0.23383278799174,0.23855628803384,0
DASCMOP2_BC,1,70000,70171,319,48,1,48,0,0.0351754057686315,0.336652682644733,48,20,20,8,0.0304134824923641,0.0363802310016159,0,0.0453134459003562,0.0548974364599984,0.4
DASCMOP2_BC,1,100000,100091,455,50,1,50,0,0.0353014120083185,0.285011158637,50,20,20,4,0.0148318697552058,0.0282760101859314,0,0.0384511881751787,0.0880329228820133,0.2
DASCMOP4_BC,1,10000,10140,48,26,1,26,0,0.0132738156783197,0.0323980190391869,26,20,20,0,2.14161962760201,2.19613344387624,0,2.15794286342075,2.21477359139438,0
DASCMOP4_BC,1,30000,30160,139,52,1,52,0,0.00992556151054258,0.0595698768198095,52,20,20,0,1.84729969823956,1.87403256336281,0,1.86685939743031,1.89179218729884,0
DASCMOP4_BC,1,50000,50180,230,52,1,52,0,0.0111808400251509,0.0673727819042242,52,20,20,0,1.09415585353228,1.10918209061508,0,1.11771520884206,1.14858685157147,0
DASCMOP4_BC,1,70000,70200,321,46,1,46,0,0.0139583424914098,0.0760174281455412,46,20,20,0,2.42172269010711,2.47452094842694,0,2.436029917675,2.52094196811126,0
DASCMOP4_BC,1,100000,100120,457,46,1,46,0,0.0260139178627648,0.0845269282665695,46,20,20,0,1.09519901975494,1.19336050788995,0,1.10652031711363,1.2134161127055,0
DASCMOP5_BC,1,10000,10000,49,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,30000,30000,149,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,50000,50000,249,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,70000,70020,345,43,1,34,9,0.00445055545705677,0.153123152159661,43,20,20,0,1.75408199344376,1.78022745126082,0,1.76094721223387,1.78886440451048,0
DASCMOP5_BC,1,100000,100160,482,64,1,56,8,0.012300395424044,0.0301413405347199,64,20,20,0,2.01632328305556,2.03256379938259,0,2.02734593536387,2.04472986950312,0
LIRCMOP5_BC,1,10000,10100,45,98,1,53,45,0.00545371812138611,0.782220336316195,98,20,20,18,0.00257638477570573,0.00370220019753531,0,0.102153578229824,0.13739028025002,0.9
LIRCMOP5_BC,1,30000,30120,136,98,1,24,74,0.012339728379291,0.123094595010472,98,20,20,20,0.000352298307484536,0.000764507636022509,0,0.00472944200964669,0.0271692581314558,1
LIRCMOP5_BC,1,50000,50140,227,83,1,62,21,0.00247372960140344,0.336523363209955,83,20,20,0,0.000521221922276467,0.00250477182699003,0,0.0114950575703706,0.0418032103596585,0
LIRCMOP5_BC,1,70000,70160,318,90,1,89,1,0.0222433328551775,0.531950428538407,90,20,20,14,0.0015352598826397,0.00436807222168542,0,0.00717573527057796,0.0143376564418247,0.7
LIRCMOP5_BC,1,100000,100080,454,96,1,94,2,0.0323832544705158,0.268533477420456,96,20,20,8,0.00022755074949362,0.00113291277972869,0,0.00454626126939387,0.0176157816566772,0.4
LIRCMOP6_BC,1,10000,10100,45,98,1,28,70,0.00670266221476814,0.98936226950689,98,20,20,20,0.0466109076506101,0.0861074576026313,0,0.240026599683095,0.385016858749474,1
LIRCMOP6_BC,1,30000,30120,136,97,1,44,53,0.0150065466006812,0.36722484366057,97,20,20,16,0.000254224692388607,0.000703227040901311,0,0.0153637694346375,0.0400628966933644,0.8
LIRCMOP6_BC,1,50000,50140,227,91,1,85,6,0.0567651206423951,0.704013844716766,91,20,20,7,0.000498767365253819,0.00519951087108752,0,0.0118910902320448,0.0289940642841317,0.35
LIRCMOP6_BC,1,70000,70160,318,89,1,83,6,0.0302833472705448,0.579947559454276,89,20,20,5,0.0032170449277325,0.0176104316332053,0,0.0156931177258565,0.0363476570758896,0.25
LIRCMOP6_BC,1,100000,100080,454,93,1,80,13,0.0210604891150093,0.71120290651604,93,20,20,2,0.00129499922088459,0.00406816780691727,0,0.0198991826445946,0.0430752925357871,0.1
LIRCMOP7_BC,1,10000,10100,45,93,1,67,26,0.0138912486755228,0.917749109523283,93,20,20,16,0.00264385094864278,0.00466737644414464,0,0.0405657708016998,0.0621734187838185,0.8
LIRCMOP7_BC,1,30000,30120,136,92,1,91,1,0.00905614423987593,0.300543202167946,92,20,20,5,0.000272189698412835,0.000938576317116702,0,0.00502779527094823,0.0205655142126823,0.25
LIRCMOP7_BC,1,50000,50140,227,91,1,84,7,0.00884214434649173,0.20567907049904,91,20,20,7,0.00210096434025911,0.00813819988086324,0,0.011207404105665,0.0476637006489497,0.35
LIRCMOP7_BC,1,70000,70160,318,94,1,85,9,0.0109491166469895,0.48084166791513,94,20,20,15,0.00221095016498352,0.0216137829033271,0,0.0154368210582817,0.0528544034888208,0.75
LIRCMOP7_BC,1,100000,100080,454,86,1,47,39,0.010241722212199,0.260584678394125,86,20,20,15,0.00157719478490221,0.00345696987056358,0,0.0277646356078152,0.141326027954648,0.75
LIRCMOP8_BC,1,10000,10100,45,99,1,60,39,0.00973065711962285,0.0549794652411982,99,20,20,20,0.0846887430441256,0.10801026621843,0,0.127600614633995,0.160234803731057,1
LIRCMOP8_BC,1,30000,30120,136,90,1,64,26,0.0205263618918295,0.2689418291897,90,20,20,9,0.00106672304907416,0.00536370700060863,0,0.0178107091842685,0.0396216281213319,0.45
LIRCMOP8_BC,1,50000,50140,227,92,1,88,4,0.0194440272253389,0.543325796568151,92,20,20,5,0.0007849203483766,0.00126912812684338,0,0.00793073832492357,0.01478008364014,0.25
LIRCMOP8_BC,1,70000,70160,318,97,1,97,0,0.0195933909330637,0.724755171091617,97,20,20,5,0.00273047563815538,0.0109696317716436,0,0.0107365361001556,0.0358339666126357,0.25
LIRCMOP8_BC,1,100000,100080,454,93,1,87,6,0.025396627771328,0.147252920717073,93,20,20,1,0.00173901654259532,0.00611086018483422,0,0.0123196370650574,0.024734896857185,0.05
LIRCMOP9_BC,1,10000,10100,45,99,1,36,63,0.00434887071081482,0.991833819922261,99,20,20,20,0.013412826755573,0.0811827247456332,0,0.0594212637252063,0.360546653233799,1
LIRCMOP9_BC,1,30000,30120,136,49,1,19,30,0.0529843470638847,0.673490376340538,49,20,20,13,0.00594875571957272,0.00851015466454669,0,0.02373565369208,0.0517116896404703,0.65
LIRCMOP9_BC,1,50000,50140,227,56,1,28,28,0.130621293496327,0.85358719526293,56,20,20,10,0.00136499709187887,0.0198933986871487,0,0.0256817772752624,0.0462429688618021,0.5
LIRCMOP9_BC,1,70000,70160,318,65,1,41,24,0.0411536503484934,0.66373843830405,65,20,20,8,0.00135638820136135,0.0305364178053625,0,0.0211145604697227,0.069861493962934,0.4
LIRCMOP9_BC,1,100000,100080,454,70,1,57,13,0.0478846759385003,0.213901254052762,70,20,20,20,0.00881646270076029,0.0317170350126367,0,0.0178182377520169,0.0476429252328484,1
LIRCMOP10_BC,1,10000,10100,45,88,1,10,78,0.00716815955983055,0.492516145699402,88,20,20,20,0.00602036639452419,0.00981736203555413,0,0.0925469389093609,0.151250804419544,1
LIRCMOP10_BC,1,30000,30120,136,81,1,31,50,0.00500780766504682,0.0707370172100582,81,20,20,20,0.000867197183375494,0.0521722852555717,0,0.107594522129646,0.164172653656831,1
LIRCMOP10_BC,1,50000,50140,227,76,1,61,15,0.00879195204347217,0.430069379501781,76,20,20,0,0.00065707538136447,0.000912824373610126,0,0.0193415873412973,0.0277968608217231,0
