problem,run,target_FE,actual_FE,gen,bmem_count,chain_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,feasible_rate
DASCMOP1_BC,1,10000,10092,45,13,3,13,5,20,8,0.0429499281480013,0.120474606863412,0.0215904229708741,0.4
DASCMOP1_BC,1,30000,30112,136,40,9,40,5,20,0,0.0324236717825608,0.0763886337961046,0.0170584423949747,0
DASCMOP1_BC,1,50000,50132,227,37,7,37,5,20,0,0.0728106066668562,0.0822310370585875,0.00351650347288874,0
DASCMOP1_BC,1,70000,70152,318,35,3,35,5,20,4,0.040611005917214,0.0741232788065165,0.000415455996714271,0.2
DASCMOP1_BC,1,100000,100072,454,34,6,34,5,20,4,0.0092449865670536,0.0149320535981041,0.00234151974321468,0.2
DASCMOP2_BC,1,10000,10092,45,16,4,16,5,20,4,0.161040592187829,0.18958297787854,0.00745082758024012,0.2
DASCMOP2_BC,1,30000,30112,136,38,8,38,5,20,8,0.0498020067079699,0.0916833767747926,0.00336031811063648,0.4
DASCMOP2_BC,1,50000,50132,227,42,8,42,5,20,12,0.0315977720311817,0.0651229074868297,0.0032479918095286,0.6
DASCMOP2_BC,1,70000,70152,318,48,7,48,5,20,19,0.0624095913938105,0.18928957103089,0.00618032272633832,0.95
DASCMOP2_BC,1,100000,100072,454,50,2,50,5,20,3,0.514474961607618,0.565394719776572,0.0123314236434047,0.15
DASCMOP4_BC,1,10000,10132,48,20,5,20,5,20,0,0.805129324375996,0.849590335056577,0.0319085405997855,0
DASCMOP4_BC,1,30000,30152,139,32,7,32,5,20,0,0.816449267033145,0.866508440395296,0.0205865321081817,0
DASCMOP4_BC,1,50000,50172,230,33,6,33,5,20,0,0.190932561232725,0.21075709339756,0.0171612353571657,0
DASCMOP4_BC,1,70000,70192,321,35,5,35,5,20,0,1.64549165746171,1.72962050181643,0.0310254380222725,0
DASCMOP4_BC,1,100000,100112,457,29,6,29,5,20,0,0.107161343749351,1.63830944833351,0.0152875592619231,0
DASCMOP5_BC,1,10000,10000,49,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,30000,30000,149,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,50000,50000,249,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,70000,70020,345,28,6,28,5,20,0,0.490206569459623,0.506111387028305,0.00985422685342266,0
DASCMOP5_BC,1,100000,100160,482,43,10,43,5,20,0,1.17832159654417,1.20102055167138,0.0159270841050083,0
LIRCMOP5_BC,1,10000,10100,48,54,5,54,5,20,16,0.0152558081652212,0.0202038239837824,0.00175692673792489,0.8
LIRCMOP5_BC,1,30000,30120,139,33,5,33,5,20,4,0.00690250915066788,0.0359921473324889,0.0029611541929244,0.2
LIRCMOP5_BC,1,50000,50140,230,71,13,71,5,20,6,0.0348154321598722,0.105554855300754,0.00919798311937285,0.3
LIRCMOP5_BC,1,70000,70160,321,54,13,54,5,20,12,0.0204175371845925,0.0342015301790056,0.00587369259048442,0.6
LIRCMOP5_BC,1,100000,100080,457,87,6,87,5,20,12,0.0237706007062609,0.0675618220322105,0.00418578131829746,0.6
LIRCMOP6_BC,1,10000,10152,49,19,3,19,5,20,17,0.00569754702164646,0.0067087235794151,0.00325245113998784,0.85
LIRCMOP6_BC,1,30000,30172,140,65,5,65,5,20,4,0.00469204900447937,0.0150067685331837,0.00088568908432145,0.2
LIRCMOP6_BC,1,50000,50192,231,72,9,72,5,20,11,0.00175951559444515,0.0263508445842674,0.0020992460877173,0.55
LIRCMOP6_BC,1,70000,70212,322,61,16,61,5,20,11,0.048386743625951,0.061613541344144,0.00865620895934544,0.55
LIRCMOP6_BC,1,100000,100132,458,85,9,85,5,20,12,0.0106819391540086,0.0652010843516753,0.00302856819789872,0.6
LIRCMOP7_BC,1,10000,10120,47,55,9,55,5,20,2,0.0299998265453617,0.0327246237649712,0.00245086331852989,0.1
LIRCMOP7_BC,1,30000,30140,138,31,6,31,5,20,20,0.0376068811318351,0.107320677335431,0.00259796891250419,1
LIRCMOP7_BC,1,50000,50160,229,41,9,41,5,20,0,0.271374884310596,0.307604677710685,0.0116470339454849,0
LIRCMOP7_BC,1,70000,70180,320,91,11,91,5,20,8,0.0155270673921219,0.0341853744923771,0.00168550009765042,0.4
LIRCMOP7_BC,1,100000,100100,456,96,6,96,5,20,20,0.0172552667557949,0.0204607923035557,0.0079177114409394,1
LIRCMOP8_BC,1,10000,10172,48,48,4,48,5,20,0,0.00353509752305154,0.00615424948506881,0.00150239064801301,0
LIRCMOP8_BC,1,30000,30192,139,61,15,61,5,20,12,0.0203611178347589,0.0462137006237979,0.00321570344046191,0.6
LIRCMOP8_BC,1,50000,50212,230,87,8,87,5,20,8,0.00725158232212252,0.0230696315687267,0.00365847118911206,0.4
LIRCMOP8_BC,1,70000,70012,320,76,7,76,5,20,16,0.0386028945457598,0.0586845465090482,0.00670260423389402,0.8
LIRCMOP8_BC,1,100000,100152,457,83,8,83,5,20,4,0.0140120807271448,0.015826989862618,0.000582673486724166,0.2
LIRCMOP9_BC,1,10000,10020,46,32,8,32,5,20,20,0.278138319709286,0.297275505111817,0.0224521612683639,1
LIRCMOP9_BC,1,30000,30040,137,28,8,28,5,20,20,0.466152828342633,0.501573276727994,0.0236492150593232,1
LIRCMOP9_BC,1,50000,50060,228,40,11,40,5,20,20,0.0811362330523004,0.1733997790427,0.00759599203393492,1
LIRCMOP9_BC,1,70000,70080,319,29,7,29,5,20,20,0.160472475194857,0.250418409787977,0.00399020045383678,1
LIRCMOP9_BC,1,100000,100000,455,32,6,32,5,20,1,0.0401417437298196,0.0463729046431022,0.00092904098502142,0.05
LIRCMOP10_BC,1,10000,10016,46,24,7,24,5,20,20,0.326413641271249,0.340299539290773,0.0104963921085301,1
