problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,generated_new_ref_hit_rate,train_dec_rmse,train_obj_dist50,train_obj_dist90,train_feasible_rate,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10048,45,11,1,11,5,20,0,0.0292929892195712,0.0302113945762854,0.000997601874487569,1,0.147186840544372,0.0305595298795732,0.0333340301387459,0,0.0319054825914585,0.0336938197864564,0
DASCMOP1_BC,1,30000,30068,136,27,4,27,5,20,0,0.0088937689296921,0.0105662431159321,0.000416141874060683,1,0.083128433483318,0.0112777540016162,0.0141944766655789,0.0740740740740741,0.0139318121277101,0.0144578698093224,0
DASCMOP1_BC,1,50000,50088,227,26,2,26,5,20,8,0.0303406092523684,0.0323860545838032,0.00105929714702153,1,0.0939621002981268,0.0140850452610299,0.0338223030142149,0.576923076923077,0.0334287494682777,0.0349359572579773,0.4
DASCMOP1_BC,1,70000,70108,318,30,2,30,5,20,13,0.0489503967192214,0.0628572302911083,0.00177674620917547,1,0.074717282288918,0.00713911697612144,0.039543770299445,0.466666666666667,0.0497300291139705,0.0630527647114718,0.65
DASCMOP1_BC,1,100000,100028,454,31,2,31,5,20,0,0.0296490322126819,0.0319632344742653,0.00013113914896447,1,0.0859368194550461,0.0272196414853531,0.033785654687207,0,0.0332037372433197,0.0357240223274463,0
DASCMOP2_BC,1,10000,10020,45,18,1,18,5,20,0,0.0118967672012311,0.012470850745412,0.000518785257428483,1,0.124048507291118,0.0145098786433684,0.0177622563423703,0,0.0172592945797548,0.0178064880840627,0
DASCMOP2_BC,1,30000,30040,136,37,5,37,5,20,12,0.0063841356046557,0.03209659108111,0.00079345951497903,1,0.115590334763383,0.0135627618232901,0.0319240281179253,0.162162162162162,0.00837048495456833,0.0373033963373221,0.6
DASCMOP2_BC,1,50000,50060,227,46,1,46,5,20,8,0.037953381816996,0.045186920702952,0.000730633095172208,1,0.129048558819278,0.0279722047433049,0.0556852536903282,0.456521739130435,0.0398267097741166,0.0524633610760979,0.4
DASCMOP2_BC,1,70000,70080,318,44,5,44,5,20,0,0.014454197303503,0.0203087330700829,0.000400587399224867,1,0.10887984936284,0.0170741627443415,0.027026190061479,0.181818181818182,0.0171636922990116,0.0207006450245777,0
DASCMOP2_BC,1,100000,100000,454,50,1,50,5,20,12,0.0194686225085133,0.0304695681657292,0.00026029705823079,1,0.117326171422557,0.0249207700146521,0.0770163396231922,0.68,0.0204979784991355,0.0306761021144921,0.6
LIRCMOP6_BC,1,10000,10124,49,17,5,17,5,20,8,0.00764631614218228,0.00851016711913998,0.000778958443665061,1,0.0727250961549051,0.0165554517182266,0.0745607650800899,0.0588235294117647,0.0143923522952011,0.103375488060647,0.4
LIRCMOP6_BC,1,30000,30144,140,43,9,43,5,20,16,0.00626972639958756,0.00753922740392587,0.000506753573309756,0.4,0.0522540869268914,0.00613302564161808,0.0107513354718139,0.325581395348837,0.0080276129064432,0.013473228326131,0.8
LIRCMOP6_BC,1,50000,50164,231,73,14,73,5,20,4,0.00518095940669534,0.00825209271116527,0.0131904511291327,0.2,0.0546682518152109,0.00444602552573761,0.00776368429460653,0.0684931506849315,0.00696692771059251,0.0170637468682225,0.2
LIRCMOP6_BC,1,70000,70184,322,27,8,27,5,20,18,0.0114852549790085,0.0157061312138459,0.00597690609747368,0.4,0.0421432511062032,0.00243444642054339,0.0132327534521314,0.296296296296296,0.0164085703171478,0.0220638473401081,0.9
LIRCMOP6_BC,1,100000,100104,458,50,13,50,5,20,12,0.00636584820710853,0.0156917458400481,0.000403667028440936,0,0.0483548327694269,0.00224413193399947,0.0224145292647124,0.62,0.0274425266178876,0.040829347901394,0.6
LIRCMOP8_BC,1,10000,10140,48,41,5,41,5,20,0,0.00920663685741087,0.009785637342926,0.00247211273045113,1,0.0703430052686676,0.0208570439639358,0.0442727021921119,0,0.0287920981663842,0.0709127109862815,0
LIRCMOP8_BC,1,30000,30160,139,49,8,49,5,20,5,0.00285886210028005,0.00330661580052441,0.000976819838607752,1,0.0598571365482613,0.00446672598171642,0.0149554547012664,0.26530612244898,0.00428556476196222,0.00951921728331987,0.25
LIRCMOP8_BC,1,50000,50180,230,64,14,64,5,20,13,0.00192441227244196,0.00325843489184603,0.000924883033342146,0.8,0.0455322954053573,0.00338467185372871,0.00849322239558905,0.21875,0.00875728363815863,0.0262205557931833,0.65
LIRCMOP8_BC,1,70000,70200,321,38,6,38,5,20,13,0.0582332692008839,0.120152423352477,0.00637376363446265,0,0.106471051513438,0.0130038044859104,0.0964870394447008,0.342105263157895,0.100686750752332,0.176559017567824,0.65
LIRCMOP8_BC,1,100000,100120,457,77,12,77,5,20,10,0.000981844937339399,0.00454727908856876,0.0019254809850899,0.6,0.0663524908659246,0.00488303780993472,0.00653186831768922,0.0649350649350649,0.00304790647336205,0.00647903821518208,0.5
