problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,generated_new_ref_hit_rate,train_dec_rmse,train_obj_dist50,train_obj_dist90,train_feasible_rate,query_obj_dist50,query_obj_dist90,feasible_rate,branch,ganIter,outDir
DASCMOP1_BC,1,10000,10048,45,13,1,13,5,20,0,0.0785962384609671,0.0817565369379329,0.00257515299222534,1,0.133160024741528,0.0784298192948867,0.0835844022233013,0,0.0844529592961304,0.0855989598374871,0,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP1_BC,1,30000,30068,136,34,1,34,5,20,0,0.00468189581017569,0.0544526534201819,0.0038654720246953,1,0.105754003875857,0.0237824796857886,0.0745019570899544,0.235294117647059,0.0445013255942764,0.102335491290205,0,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP1_BC,1,50000,50088,227,32,1,32,5,20,0,0.0288543731596926,0.031164101265162,0.00146473120994307,1,0.0766253976715023,0.00868241996116597,0.04234548304601,0.6875,0.0863862863585512,0.099322905001905,0,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP1_BC,1,70000,70108,318,33,1,33,5,20,0,0.0220335543506449,0.0456685832709551,0.00113667096899278,1,0.0629250218330372,0.0106055012823208,0.0255549262266604,0.121212121212121,0.0404029566637861,0.0886352434382656,0,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP1_BC,1,100000,100028,454,35,1,35,5,20,0,0.0228892565436589,0.0381671291873274,0.000692357675923792,1,0.0822933253832767,0.00735498959017466,0.0308299084726742,0.628571428571429,0.051487481231169,0.0828403238005428,0,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP2_BC,1,10000,10040,45,19,1,19,5,20,0,0.0238230662432085,0.0271680823123316,0.000505704389499862,1,0.11089134228835,0.0285865640002606,0.0369654042161846,0,0.0293365038197078,0.038088813027515,0,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP2_BC,1,30000,30060,136,40,1,40,5,20,12,0.00914075629836528,0.0189785303575261,0.000839549689477125,1,0.0903090827657421,0.0211406058935553,0.053851540643135,0.375,0.0144610013303474,0.0190838489338357,0.6,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP2_BC,1,50000,50080,227,49,1,49,5,20,4,0.0166931230912854,0.0211803480483477,0.000635713730099335,1,0.0962457022315402,0.0200230036164358,0.0421391593294932,0.26530612244898,0.0206209296158987,0.0252227006702742,0.2,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP2_BC,1,70000,70100,318,50,1,50,5,20,4,0.0298743590394687,0.0409860549343724,0.000270229439006665,1,0.103227707757307,0.0165081320162611,0.0478470829854646,0.44,0.0343680956023653,0.04987993323357,0.2,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
DASCMOP2_BC,1,100000,100020,454,50,1,50,5,20,5,0.0139707039750826,0.0315164537920283,0.000393245425903321,1,0.107965399092879,0.0257737194144819,0.0562244011518281,0.26,0.0172150355016801,0.0318883512906472,0.25,single,30,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/branch_ablation_chain_vs_single_20260621_195647/single_iter030
