problem,run,mode,sigma,iter,reconstructionWeight,repeat,n,dec_rmse,obj_dist50,obj_dist90,feasible_rate
DASCMOP4_BC,1,true_train,0,NaN,NaN,NaN,30,0,0,0,1
DASCMOP4_BC,1,perturb,0.005,NaN,NaN,1,30,0.00510380512540645,0.101922670612454,0.149151404344592,0
DASCMOP4_BC,1,perturb,0.005,NaN,NaN,2,30,0.00502051522721321,0.0926237669719368,0.149641459716053,0
DASCMOP4_BC,1,perturb,0.02,NaN,NaN,1,30,0.0195781439955658,1.10547577395743,1.3595102765544,0
DASCMOP4_BC,1,perturb,0.02,NaN,NaN,2,30,0.019608712853082,1.10864903129358,1.42304416616855,0
DASCMOP4_BC,1,overfit,0,50,100,1,30,0.0917090799213356,0.823437133971026,0.825653691831148,0
DASCMOP4_BC,1,overfit,0,300,100,2,30,0.0583331291416789,0.116335672836321,0.149117588270594,0
DASCMOP4_BC,1,overfit,0,1000,100,3,30,0.0690426504642444,0.0605980526783903,0.190932291337391,0
LIRCMOP7_BC,1,true_train,0,NaN,NaN,NaN,39,0,0,0,1
LIRCMOP7_BC,1,perturb,0.005,NaN,NaN,1,39,0.00495891344948463,0.000860652943846032,0.003387071531445,0.794871794871795
LIRCMOP7_BC,1,perturb,0.005,NaN,NaN,2,39,0.00502258460101414,0.000772962902911285,0.00220226551667933,0.717948717948718
LIRCMOP7_BC,1,perturb,0.02,NaN,NaN,1,39,0.0192385779457348,0.00428847905370698,0.0102724285213077,0.615384615384615
LIRCMOP7_BC,1,perturb,0.02,NaN,NaN,2,39,0.0188054767559808,0.00272620049751581,0.00750043181528511,0.564102564102564
LIRCMOP7_BC,1,overfit,0,50,100,1,39,0.246133019435614,0.267996611469482,0.271460007733125,1
LIRCMOP7_BC,1,overfit,0,300,100,2,39,0.0867484371307269,0.0129310491714215,0.107831060367459,0.615384615384615
LIRCMOP7_BC,1,overfit,0,1000,100,3,39,0.0568148310039169,0.0128712541726573,0.0375448800401679,0.282051282051282
LIRCMOP8_BC,1,true_train,0,NaN,NaN,NaN,54,0,0,0,1
LIRCMOP8_BC,1,perturb,0.005,NaN,NaN,1,54,0.00502896514127823,0.000994285361161641,0.00288836005808223,0.925925925925926
LIRCMOP8_BC,1,perturb,0.005,NaN,NaN,2,54,0.00497959333181925,0.0013058161938535,0.0033226431189222,0.851851851851852
LIRCMOP8_BC,1,perturb,0.02,NaN,NaN,1,54,0.0200692186054786,0.00536763357097465,0.0133633880682989,0.740740740740741
LIRCMOP8_BC,1,perturb,0.02,NaN,NaN,2,54,0.0200817638720029,0.004650831039696,0.0113064512123407,0.722222222222222
LIRCMOP8_BC,1,overfit,0,50,100,1,54,0.206341109951809,0.229002836168798,0.255836841476102,1
LIRCMOP8_BC,1,overfit,0,300,100,2,54,0.0772051703383382,0.0264855127226325,0.0699673448907561,0.5
LIRCMOP8_BC,1,overfit,0,1000,100,3,54,0.0540988393139729,0.00849095035833409,0.0156132742361755,0.5
