problem,method,feasible_rate,holdout_obj_dist90,holdout_ref_hit_rate,target_ref_hit_rate,novel_useful_rate,generated_count,status,source_dir
DASCMOP4_BC,cgan,0,0.962734118881395,0,,0,15,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
DASCMOP4_BC,interp,0.533333333333333,0.0178403391763966,0,0,0.733333333333333,15,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
DASCMOP4_BC,mutate,0,0.45724403668896,0,0,0,15,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
DASCMOP4_BC,replay,1,0.0100526070030484,0,0,0,15,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
DASCMOP5_BC,cgan,0,1.14863891635502,0,,0,12,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_DASCMOP5_70000_20260621_232752
DASCMOP5_BC,interp,0.916666666666667,0.0463865271540446,0,0,0.25,12,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_DASCMOP5_70000_20260621_232752
DASCMOP5_BC,mutate,0,0.490506372453213,0,0,0,12,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_DASCMOP5_70000_20260621_232752
DASCMOP5_BC,replay,1,0.00179124842939629,0,0,0,12,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_DASCMOP5_70000_20260621_232752
LIRCMOP7_BC,cgan,1,0.2867583730127,1,,0,21,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP7_BC,interp,0.80952380952381,0.0360660119879178,1,0.0476190476190476,0.523809523809524,21,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP7_BC,mutate,0.714285714285714,0.0174193724853283,1,0.0476190476190476,0.952380952380952,21,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP7_BC,replay,1,0.0166271205450768,1,0.0476190476190476,0,21,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP8_BC,cgan,1,0.28849598337914,0,,0,25,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP8_BC,interp,0.6,0.033024899699837,0,0,0.84,25,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP8_BC,mutate,0.92,0.0154935305362966,0,0,0.96,25,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
LIRCMOP8_BC,replay,1,0.012700469979618,0,0,0,25,ok,Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019
