problem,figure_count,combined_file
DASCMOP1_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/DASCMOP1_BC_run1_5stage_compare.png
DASCMOP2_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/DASCMOP2_BC_run1_5stage_compare.png
DASCMOP4_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/DASCMOP4_BC_run1_5stage_compare.png
DASCMOP5_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/DASCMOP5_BC_run1_5stage_compare.png
LIRCMOP5_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/LIRCMOP5_BC_run1_5stage_compare.png
LIRCMOP6_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/LIRCMOP6_BC_run1_5stage_compare.png
LIRCMOP7_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/LIRCMOP7_BC_run1_5stage_compare.png
LIRCMOP8_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/LIRCMOP8_BC_run1_5stage_compare.png
LIRCMOP9_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/LIRCMOP9_BC_run1_5stage_compare.png
LIRCMOP10_BC,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_runs1_10problem_figs_20260621_225359/combined_figures/LIRCMOP10_BC_run1_5stage_compare.png
