comparison,variant_to,variant_from,metric,matched_count,median_to,median_from,median_delta
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,train_x_rec90,18,2.53234879163338,2.55166521058034,-0.0211648527522423
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,train_y_rec90,18,0.0488851267788485,0.0488851267788485,0
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,query_y_err90,18,0.0393532553340362,0.0393532553340362,0
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,boundary_dist90,18,0.0308484053916949,0.0308484053916949,0
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,pair_violation_rate,18,0.975,0.975,0
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,side_rate,18,0.65,0.625,0
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,feasible_rate,18,1,1,0
Huber_vs_mismatch,V2_Adv_Huber,V1_CGAN_mismatchD,z_sensitivity,18,0,0,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,train_x_rec90,18,2.53668023630702,2.55166521058034,0.00100217552858295
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,train_y_rec90,18,0.0488851267788485,0.0488851267788485,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,query_y_err90,18,0.0393532553340362,0.0393532553340362,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,boundary_dist90,18,0.0308484053916949,0.0308484053916949,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,pair_violation_rate,18,0.975,0.975,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,side_rate,18,0.65,0.625,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,feasible_rate,18,1,1,0
Pair_vs_mismatch,V3_Adv_Pair,V1_CGAN_mismatchD,z_sensitivity,18,0,0,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,train_x_rec90,18,2.52107541293091,2.53234879163338,0.00128889910460339
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,train_y_rec90,18,0.0488851267788485,0.0488851267788485,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,query_y_err90,18,0.0393532553340362,0.0393532553340362,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,boundary_dist90,18,0.0308484053916949,0.0308484053916949,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,pair_violation_rate,18,0.975,0.975,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,side_rate,18,0.65,0.65,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,feasible_rate,18,1,1,0
Full_vs_Huber,V4_Full_current,V2_Adv_Huber,z_sensitivity,18,0,0,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,train_x_rec90,18,2.52107541293091,2.53668023630702,-0.0189874085477129
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,train_y_rec90,18,0.0488851267788485,0.0488851267788485,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,query_y_err90,18,0.0393532553340362,0.0393532553340362,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,boundary_dist90,18,0.0308484053916949,0.0308484053916949,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,pair_violation_rate,18,0.975,0.975,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,side_rate,18,0.65,0.65,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,feasible_rate,18,1,1,0
Full_vs_Pair,V4_Full_current,V3_Adv_Pair,z_sensitivity,18,0,0,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,train_x_rec90,18,2.52107541293091,2.38870726427653,0.0750356964414639
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,train_y_rec90,18,0.0488851267788485,0.0488851267788485,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,query_y_err90,18,0.0393532553340362,0.0393532553340362,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,boundary_dist90,18,0.0308484053916949,0.0308484053916949,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,pair_violation_rate,18,0.975,0.975,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,side_rate,18,0.65,0.7,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,feasible_rate,18,1,1,0
Adversarial_effect,V4_Full_current,V5_Huber_Pair_no_adv,z_sensitivity,18,0,0,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,train_x_rec90,18,2.55166521058034,2.52370103979713,0.0405971732309165
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,train_y_rec90,18,0.0488851267788485,0.0488851267788485,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,query_y_err90,18,0.0393532553340362,0.0393532553340362,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,boundary_dist90,18,0.0308484053916949,0.0308484053916949,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,pair_violation_rate,18,0.975,0.975,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,side_rate,18,0.625,0.6,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,feasible_rate,18,1,1,0
MismatchD_effect,V1_CGAN_mismatchD,V0_Pure_CGAN,z_sensitivity,18,0,0,0
