problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_y,10000,10100,48,121,1,0.41,121,0,0.00343726315734085,0.0106082788831452,121,20,4,0.00629192449690604,26.4462809917355,0.30208734442964,0.433624373913545,0,20,0,20,20,0.165289256198347,0.0236135903570245,0.0248184256262757,0,0.040962404285815,NaN,0.5,0.0032320194047003,0.51219512195122,0.0311156222044069,0.0415116777780959,0.0415116777780959,NaN,1,400,106,612,612,466,146,225,56,83,48,3323,0,139,139,139,139,121,121,121,121,121,0,20
LIRCMOP5_BC,1,ref_y,30000,30120,139,54,1,0.18,54,0,0.0016655332784516,0.0105331340772105,54,20,4,0.00280796630440435,59.2592592592593,0.28089178519031,0.45730717704716,0,16,4,20,7,0.37037037037037,0.00965968430769852,0.0180913884835331,0,0.0180913884835331,NaN,0.8,0.0191902230646901,0.166666666666667,0.0107031821414263,0.0181644658121671,0.0167298643317858,0.0194763499957326,0.35,400,44,488,488,383,105,182,50,36,20,4106,6,60,60,60,60,54,54,54,54,54,0,20
LIRCMOP5_BC,1,ref_y,50000,50140,230,105,1,0.35,105,0,0.00284931950766898,0.00959103804078668,105,20,4,0.00545993448078623,30.4761904761905,0.397202273492725,0.937643140838562,0,20,0,20,12,0.19047619047619,0.0279893825520061,0.0398188946217395,0,0.0432133040910018,NaN,0.55,0.00696179994845084,0.257142857142857,0.0357530321322933,0.0526440281409967,0.0526440281409967,NaN,0.6,400,129,658,658,335,323,222,41,98,40,11733,6,119,119,119,119,105,105,105,105,105,0,20
LIRCMOP5_BC,1,ref_y,70000,70160,321,101,1,0.35,101,0,0.0125626847485295,0.060951620159822,101,20,4,0.00525193697675628,31.6831683168317,0.135319045008264,0.315209116755371,0,20,0,20,0,0.198019801980198,0.00298355130580326,0.00314791233648066,0,0.00479053970748918,NaN,0.6,0.00770146541577867,0,0.00512856664970299,0.00559183466582739,0.00559183466582739,NaN,0,400,93,586,586,348,238,237,45,100,45,9383,2026,101,101,101,101,101,101,101,101,101,0,20
LIRCMOP5_BC,1,ref_y,100000,100080,457,100,1,0.34,100,0,0.00725766743085822,0.0221721591537287,100,20,4,0.00519993760074879,32,0.148183235464821,0.302028039579156,0,20,0,20,18,0.2,0.000232377815955985,0.000872495372752001,0,0.000872495372752001,NaN,1,0.33699168134462,0.0588235294117647,0.00178831521910248,0.00254865384482996,0.00254865384482996,NaN,0.9,400,84,568,568,361,207,275,75,100,75,5277,2220,133,133,133,133,100,100,100,100,100,0,20
LIRCMOP5_BC,2,ref_y,10000,10080,49,27,1,0.1,27,0,0.003088517557304,0.00716975597339017,27,20,4,0.00140398315220217,100,0.257136727978201,0.544323851287113,0,13,7,20,20,0.740740740740741,0.164980485458809,0.170612212876286,0,0.178206713615421,NaN,0.5,-0.000469060493118567,1,0.176782118430699,0.178994331876155,0.178957306654474,0.178921591827469,1,400,21,442,442,415,27,125,43,29,12,340,0,35,35,35,35,27,27,27,27,27,0,20
LIRCMOP5_BC,2,ref_y,30000,30100,140,90,1,0.3,90,0,0.00202293975533598,0.00734911274764611,90,20,4,0.00467994384067391,35.5555555555556,0.392738859361484,0.558764180841482,0,20,0,20,12,0.222222222222222,0.0163349759940466,0.0249956688788529,0,0.0249956688788529,NaN,0.25,-0.0470415717486073,0.0666666666666667,0.0176348531384022,0.0263134372135837,0.0263134372135837,NaN,0.6,400,85,570,570,420,150,220,55,71,34,3544,24,96,96,96,96,90,90,90,90,90,0,20
LIRCMOP5_BC,2,ref_y,50000,50120,231,120,1,0.4,120,0,0.00287752237056129,0.0102748533495641,120,20,4,0.00623992512089855,26.6666666666667,0.565320612047326,1.20285106406336,0,20,0,20,15,0.166666666666667,0.014352916175048,0.028710416964489,0,0.0288619803039619,NaN,0.3,-0.0219374712584197,0.225,0.0256678831589506,0.0348872823955404,0.0348872823955404,NaN,0.75,400,136,672,672,329,343,254,49,100,49,11027,40,146,146,146,146,120,120,120,120,120,0,20
LIRCMOP5_BC,2,ref_y,70000,70140,322,103,1,0.36,103,0,0.00941080412527852,0.0338727491240041,103,20,4,0.00535593572877125,31.0679611650485,0.136104623300379,0.245486289800071,0,20,0,20,7,0.194174757281553,0.00217429098832896,0.00335155920790615,0,0.00500433262254225,NaN,0.6,0.0354822001736852,0.0555555555555556,0.00377073648074628,0.00537781671101412,0.00537781671101412,NaN,0.35,400,88,576,576,355,221,257,74,100,74,5657,2553,120,120,120,120,103,103,103,103,103,0,20
LIRCMOP5_BC,2,ref_y,100000,100060,458,57,1,0.2,57,0,0.00765479699900145,0.0131709034304516,57,20,4,0.00296396443242681,56.140350877193,0.0998578451225008,0.283262348307656,0,20,0,20,0,0.350877192982456,0.00187124283845082,0.00371433222682101,0,0.00552860775267629,NaN,0.05,-0.0848112340055007,0,0.00571902323677051,0.00951052571416812,0.00951052571416812,NaN,0,400,95,590,590,371,219,279,69,100,69,7316,2824,90,90,90,90,57,57,57,57,57,0,20
LIRCMOP5_BC,3,ref_y,10000,10001,49,2,1,0.01,2,0,0.0123823663026776,0.0123823663026776,2,1,4,0.000103998752014976,100,0.271710359808823,0.271710359808823,0,0,1,1,1,0.5,0.357131967874319,0.357131967874319,0,0.357131967874319,NaN,1,0.0483351936593375,1,0.357131967874319,0.357131967874319,NaN,0.357131967874319,1,400,0,400,400,399,1,132,37,9,1,2,0,2,2,2,2,2,2,2,2,2,0,1
LIRCMOP5_BC,3,ref_y,30000,30006,140,55,1,0.19,55,0,0.00127183026345917,0.00693528974168052,55,20,4,0.00285996568041183,58.1818181818182,0.238520209555585,0.422359206332999,0,20,0,20,0,0.363636363636364,0.00434757576617835,0.00635012006148439,0,0.0172310736281648,NaN,0.8,0.0182554552085694,0,0.00843963874296368,0.0182313853825259,0.0182313853825259,NaN,0,400,64,528,528,404,124,222,60,41,22,4112,11,64,64,64,64,55,55,55,55,55,0,20
LIRCMOP5_BC,3,ref_y,50000,50026,231,141,1,0.48,141,0,0.00412683652532022,0.0141702316680323,141,20,4,0.0073319120170558,22.6950354609929,0.395712831273958,0.706096656827224,0,20,0,20,9,0.141843971631206,0.016844739559499,0.0734942081351903,0,0.0854003532226721,NaN,0.5,0.00066548902144975,0.104166666666667,0.0175252482569528,0.0865512788067584,0.0865512788067584,NaN,0.45,400,129,658,658,354,304,235,58,100,58,7845,20,174,174,174,174,141,141,141,141,141,0,20
LIRCMOP5_BC,3,ref_y,70000,70046,322,117,1,0.39,117,0,0.00206487157158167,0.00510994261243731,117,20,4,0.00608392699287609,27.3504273504273,0.620860716325803,2.08531228358077,0,20,0,20,10,0.170940170940171,0.0144549855509765,0.0610580840750354,0,0.0610580840750354,NaN,0.1,-0.135226493244868,0.128205128205128,0.0149785459171236,0.0612686149661929,0.0612686149661929,NaN,0.5,400,114,628,628,310,318,250,41,100,41,10636,3,123,123,123,123,117,117,117,117,117,0,20
LIRCMOP5_BC,3,ref_y,100000,100186,459,113,1,0.38,113,0,0.00767896376872909,0.0153966869857934,113,20,4,0.00587592948884613,28.3185840707965,0.130845233577359,0.287897450902106,0,20,0,20,14,0.176991150442478,0.000595384006503588,0.00341163542851841,0,0.00341163542851841,NaN,1,0.17057531998992,0.0526315789473684,0.0022870230156705,0.00379588794398728,0.00379588794398728,NaN,0.7,400,111,622,622,379,243,306,81,100,81,7031,2653,153,153,153,150,113,113,113,113,113,0,20
LIRCMOP6_BC,1,ref_y,10000,10172,49,47,1,0.16,47,0,0.00472129065096756,0.0160893658748427,47,20,4,0.00244397067235193,68.0851063829787,0.292191380605775,0.353898020422649,0,20,0,20,20,0.425531914893617,0.115497874493604,0.128027964666146,0,0.128620858075726,NaN,0.8,0.010530543896104,0.875,0.118763112012172,0.130706955507785,0.130706955507785,NaN,1,400,39,478,478,419,59,192,38,50,21,832,0,63,63,63,63,47,47,47,47,47,0,20
LIRCMOP6_BC,1,ref_y,30000,30192,140,99,1,0.33,99,0,0.0013838958309925,0.00468864558711457,99,20,4,0.0051479382247413,32.3232323232323,0.33643172996749,0.498117909450267,0,20,0,20,5,0.202020202020202,0.00293696997728156,0.00619801269471037,0,0.015688895678206,NaN,0.6,0.009127847521928,0.181818181818182,0.0114514731882679,0.0162607521303971,0.0162607521303971,NaN,0.25,400,108,616,616,439,177,271,63,72,41,4884,21,114,114,114,114,99,99,99,99,99,0,20
LIRCMOP6_BC,1,ref_y,50000,50212,231,132,1,0.44,132,0,0.00176730985894485,0.00588993927582518,132,20,4,0.0068639176329884,24.2424242424242,0.388838670923488,0.676075335252276,0,20,0,20,6,0.151515151515152,0.0172188666046868,0.0289913925744063,0,0.0292795900141311,NaN,0.8,0.0807526326614251,0.113636363636364,0.01817524051307,0.0293198474747057,0.0293198474747057,NaN,0.3,400,156,712,712,463,249,295,62,81,52,7719,2,156,156,156,156,132,132,132,132,132,0,20
LIRCMOP6_BC,1,ref_y,70000,70012,321,54,1,0.18,54,0,0.00207002903529712,0.0058144278068459,54,20,4,0.00280796630440435,59.2592592592593,0.21796251092858,0.581073506738075,0,20,0,20,3,0.37037037037037,0.0196337371082616,0.0251086136356203,0,0.0329515040285369,NaN,0.15,-0.016771017361084,0.111111111111111,0.0284815362815297,0.0344016191660714,0.0344016191660714,NaN,0.15,400,36,472,472,309,163,185,21,100,21,5686,10,60,60,60,60,54,54,54,54,54,0,20
