problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP9_BC,1,ref_y,1,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,2,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,3,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,4,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,5,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,6,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,7,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,8,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,9,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,10,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,11,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,399,1,5,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP9_BC,1,ref_y,12,2,1,0.01,2,0,0.0339916710026055,0.0339916710026055,2,1,4,0.000103998752014976,100,0.293848133455329,0.293848133455329,0,0,1,1,1,0.5,0.258349954956073,0.258349954956073,0,0.258349954956073,NaN,1,0.0612468360575202,1,0.258349954956073,0.258349954956073,NaN,0.258349954956073,1,400,0,400,400,395,5,4,3,5,1,10,8,2,2,2,2,2,2,2,2,2,0,1
LIRCMOP9_BC,1,ref_y,13,3,1,0.01,3,0,0.0071959333678298,0.0071959333678298,3,2,4,0.000155998128022464,100,0.305419218620196,0.305419218620196,0,0,2,2,2,0.666666666666667,0.369649841393613,0.369649841393613,0,0.369649841393613,NaN,0,-0.00540388732076069,1,0.369649841393613,0.369649841393613,NaN,0.369649841393613,1,400,2,404,404,386,18,4,3,10,2,18,0,4,4,4,4,3,3,3,3,3,0,2
LIRCMOP9_BC,1,ref_y,14,6,1,0.02,6,0,0.0219871159688933,0.0418381839998822,6,20,4,0.000311996256044927,100,0.352021853938551,0.3963745681353,0,20,0,20,20,3.33333333333333,0.382193966826236,0.405210664163322,0,0.405210664163322,NaN,0.7,0.0179780046557375,1,0.382194597961378,0.405256768428607,0.405256768428607,NaN,1,400,3,406,406,377,29,12,7,19,2,30,0,6,6,6,6,6,6,6,6,6,0,20
LIRCMOP9_BC,1,ref_y,15,9,1,0.03,9,0,0.0299173380436289,0.0478851548922458,9,20,4,0.000467994384067391,100,0.3963745681353,0.504342678203481,0,20,0,20,20,2.22222222222222,0.313002478128559,0.324995947514372,0,0.325207577012415,NaN,0.45,-0.00301577931783337,0.666666666666667,0.313588586115373,0.325527242700358,0.325527242700358,NaN,1,400,6,412,412,367,45,19,6,23,3,274,0,9,9,9,9,9,9,9,9,9,0,20
LIRCMOP9_BC,1,ref_y,16,6,1,0.02,6,0,0.0153138143111227,0.02879693663957,6,20,4,0.000311996256044927,100,0.292358587436839,0.307669139741802,0,20,0,20,20,3.33333333333333,0.374668190101225,0.414354460066655,0,0.414354460066655,NaN,1,0.0535942781057018,1,0.376979868762133,0.41567721743285,0.41567721743285,NaN,1,400,9,418,418,362,56,20,7,43,2,469,0,6,6,6,6,6,6,6,6,6,0,20
LIRCMOP9_BC,1,ref_y,17,9,1,0.03,9,0,0.00606339691291336,0.00771094551298615,9,20,4,0.000467994384067391,100,0.272216025681674,0.281683238450761,0,20,0,20,20,2.22222222222222,0.303076514371853,0.317440349724441,0,0.320018778453193,NaN,0,-0.00519591836316402,0.666666666666667,0.311294692438741,0.321417765819006,0.321417765819006,NaN,1,400,6,412,412,373,39,23,6,50,3,334,0,9,9,9,9,9,9,9,9,9,0,20
LIRCMOP9_BC,1,ref_y,18,13,1,0.05,13,0,0.00968012110108507,0.018006419954371,13,20,4,0.000675991888097343,100,0.271365835478556,0.3827747998559,0,20,0,20,20,1.53846153846154,0.185081920599659,0.191914300555412,0,0.191914300555412,NaN,0.65,0.00623937971183502,0.4,0.189669549658579,0.199005056367471,0.199005056367471,NaN,1,400,9,418,418,352,66,26,6,64,6,611,2,13,13,13,13,13,13,13,13,13,0,20
LIRCMOP9_BC,1,ref_y,19,16,1,0.06,16,0,0.00418882943185492,0.0140061277970208,16,20,4,0.000831990016119807,100,0.234514100474232,0.511172889583432,0,20,0,20,20,1.25,0.169320715792559,0.184259998333553,0,0.186143527573297,NaN,1,0.0215734885781451,0.333333333333333,0.17364319192255,0.189282793200571,0.189282793200571,NaN,1,400,13,426,426,358,68,18,7,62,7,244,10,17,17,17,17,16,16,16,16,16,0,20
LIRCMOP9_BC,1,ref_y,20,13,1,0.05,13,0,0.00868453124626028,0.0167713082670553,13,20,4,0.000675991888097343,100,0.342171600841971,0.497661540402454,0,20,0,20,20,1.53846153846154,0.102411489111963,0.120943894710715,0,0.120943894710715,NaN,0,-0.0198160734991834,0.4,0.103336477092331,0.122943644816616,0.122943644816616,NaN,1,400,16,432,432,355,77,15,6,65,5,233,22,13,13,13,13,13,13,13,13,13,0,20
LIRCMOP9_BC,1,ref_y,21,13,1,0.05,13,0,0.00533617006270876,0.0203763361312396,13,20,4,0.000675991888097343,100,0.243530305954755,0.36833157079181,0,20,0,20,20,1.53846153846154,0.0892257677124313,0.139557771007588,0,0.144919810450384,NaN,1,0.0559292545116362,0.4,0.0995391753661562,0.154977900579173,0.154977900579173,NaN,1,400,13,426,426,334,92,22,6,57,5,426,2,13,13,13,13,13,13,13,13,13,0,20
LIRCMOP9_BC,1,ref_y,22,12,1,0.04,12,0,0.0114415157155743,0.0160254797683694,12,20,4,0.000623992512089855,100,0.281559891247959,0.320998395661377,0,20,0,20,20,1.66666666666667,0.0223525460725645,0.0413253682274778,0,0.0434087123239897,NaN,1,0.0148376242209773,0.5,0.0245448630186543,0.0497015556820011,0.0497015556820011,NaN,1,400,13,426,426,324,102,14,5,66,5,391,8,13,13,13,13,12,12,12,12,12,0,20
LIRCMOP9_BC,1,ref_y,23,18,1,0.06,18,0,0.00772154907727989,0.0142997317058797,18,20,4,0.000935988768134782,100,0.320998395661377,0.405299717842353,0,20,0,20,20,1.11111111111111,0.0236782014418736,0.052868855851209,0,0.0563074979986613,NaN,1,0.0771207906628531,0.333333333333333,0.029488292389325,0.0645109801429507,0.0645109801429507,NaN,1,400,12,424,424,317,107,18,7,72,7,448,1,19,19,19,19,18,18,18,18,18,0,20
LIRCMOP9_BC,1,ref_y,24,24,1,0.08,24,0,0.00422844722605486,0.00753746076007181,24,20,4,0.00124798502417971,100,0.182524910328351,0.320998395661377,0,20,0,20,20,0.833333333333333,0.250653253700032,0.317053166189337,0,0.324768680308576,NaN,1,0.00858146811672977,0.5,0.293685422136605,0.354975471533433,0.354975471533433,NaN,1,400,18,436,436,311,125,26,9,69,8,794,5,24,24,24,24,24,24,24,24,24,0,20
LIRCMOP9_BC,1,ref_y,25,25,1,0.09,25,0,0.00334447904632424,0.0081786945190001,25,20,4,0.0012999844001872,100,0.301623885284601,0.396724991673864,0,20,0,20,20,0.8,0.266166547692563,0.40735010604593,0,0.415526573654594,NaN,0.65,0.00630356409168636,0.333333333333333,0.307756744746081,0.44035861100983,0.44035861100983,NaN,1,400,24,448,448,273,175,32,11,73,10,1250,6,27,27,27,27,25,25,25,25,25,0,20
