variant,maxCandidatePairsPerRef,problem,stage_count,train_count_med,train_count_p90,train_count_max,ref_cov_med,param_ratio_med,sample_reuse_med,raw_generated_med,feasible_rate_med,boundary_dist90_med,pair_margin50_med,missing_ref_query_total,large_gap_query_total,figure_count
pair1,1,DASCMOP1_BC,15,26,27.6,28,0.26,0.0013610427681516,100,20,0.05,0.112863976681298,0.0446340405505922,225,40,6
pair1,1,DASCMOP2_BC,15,44,46.6,47,0.44,0.00230330314610271,72.7272727272727,20,0.1,0.14111985589416,0.0400974081127436,82,212,6
pair1,1,DASCMOP4_BC,15,19,23.6,28,0.21,0.000994608176726169,100,20,0,1.90116598700087,0.00034423143965609,243,8,6
pair1,1,DASCMOP5_BC,15,0,17.4,30,0.295,0,100,0,0,1.79972713397991,-8.47233040762835e-05,40,0,6
pair1,1,LIRCMOP5_BC,15,23,44.4,47,0.245,0.00120399937182641,100,20,0.45,0.0186609775018498,0.0381900386719519,271,6,6
pair1,1,LIRCMOP6_BC,15,43,63.6,67,0.44,0.00225095534732764,72.7648578811369,20,0.425,0.021331712863166,0.00575720176801876,262,18,6
pair1,1,LIRCMOP7_BC,15,51,77.2,83,0.51,0.00266973773752814,62.7450980392157,20,0.15,0.0255463936212561,0.0107232317611797,294,6,6
pair1,1,LIRCMOP8_BC,15,52,77,85,0.525,0.0027220855363032,60.9579100145138,20,0.175,0.0258240555431412,0.0230271521941495,252,28,6
pair1,1,LIRCMOP9_BC,15,21,33.8,39,0.21,0.00109930377427629,100,20,0.55,0.0128712413090476,0.00555853927237744,277,15,6
pair1,1,LIRCMOP10_BC,15,31,41.6,44,0.31,0.00162278176202691,100,20,0.25,0.00059887506404752,0.00917817461050376,300,0,6
pair3,3,DASCMOP1_BC,15,28,31,31,0.28,0.00146573836570172,100,20,0.1,0.0739120313267243,0.0458977484421116,241,29,6
pair3,3,DASCMOP2_BC,15,45,49.6,51,0.45,0.00235565094487777,71.1111111111111,20,0.25,0.143275990151574,0.0177456621392833,55,235,6
pair3,3,DASCMOP4_BC,15,22,28.8,37,0.22,0.00115165157305135,100,20,0,1.62922474807755,0.000212085296855936,249,2,6
pair3,3,DASCMOP5_BC,15,0,16.2,28,0.275,0,100,0,0,1.83631878486547,1.23771941777165e-05,40,0,6
pair3,3,LIRCMOP5_BC,15,25,39,53,0.255,0.00130869496937654,100,20,0.275,0.0163870361149959,0.0306609199592086,270,10,6
pair3,3,LIRCMOP6_BC,15,45,69.2,78,0.47,0.00235565094487777,68.2086167800453,20,0.3,0.0232535710915402,0.0197718684956216,273,7,6
pair3,3,LIRCMOP7_BC,15,44,83,89,0.44,0.00230330314610271,72.7272727272727,20,0.05,0.0186649072493469,0.0141536730737624,274,26,6
pair3,3,LIRCMOP8_BC,15,43,80,82,0.47,0.00225095534732764,68.5818513451892,20,0.05,0.0167082372501989,0.0170404336079885,260,20,6
pair3,3,LIRCMOP9_BC,15,22,31.2,32,0.22,0.00115165157305135,100,20,0.35,0.00260696420720034,0.00492048091527966,294,6,6
pair3,3,LIRCMOP10_BC,15,29,43.8,46,0.29,0.00151808616447678,100,20,0.35,0.000269851576808912,0.000766093239630311,300,0,6
pair5,5,DASCMOP1_BC,15,28,30.6,32,0.28,0.00146573836570172,100,20,0.05,0.0770786989644914,0.0608482646116433,243,30,6
pair5,5,DASCMOP2_BC,15,43,49,50,0.43,0.00225095534732764,74.4186046511628,20,0.1,0.154596724116204,0.0475989735111506,40,249,6
pair5,5,DASCMOP4_BC,15,24,28.6,31,0.24,0.00125634717060148,100,20,0,1.79449741271397,0.00011398753734064,249,2,6
pair5,5,DASCMOP5_BC,15,0,8.99999999999999,20,0.175,0,100,0,0,1.6903431623617,-0.0022471824128868,40,0,6
pair5,5,LIRCMOP5_BC,15,31,41,44,0.315,0.00162278176202691,100,20,0.275,0.0144814759377583,0.0381791334313309,269,10,6
pair5,5,LIRCMOP6_BC,15,33,57.2,60,0.385,0.00172747735957703,84.8484848484848,20,0.375,0.0199618602784385,0.0212152608567208,280,0,6
pair5,5,LIRCMOP7_BC,15,46,74.8,88,0.46,0.00240799874365283,69.5652173913043,20,0.2,0.0219630209279308,0.018135446249921,280,20,6
pair5,5,LIRCMOP8_BC,15,42,77.6,85,0.425,0.00219860754855258,75.3045404208195,20,0.15,0.0137968004279584,0.0253653071675396,269,11,6
pair5,5,LIRCMOP9_BC,15,18,32.8,36,0.18,0.000942260377951107,100,20,0.25,0.00151837616080116,0.00280273571445435,300,0,6
pair5,5,LIRCMOP10_BC,15,33,41.6,44,0.33,0.00172747735957703,96.969696969697,20,0.5,0.000737041139388898,-0.000105905892602093,299,1,6
